Npts=20, Emin=0(0.000735), Emax=1197(0.4406325), step=63

k                                                                                                                                                                                                                                   E (rydbergs)
-0.7786440890951144291461339398958714044863551799713130052047356604394046091005289974610124023268311191+0.2071150421320123454223778751431329811450834973538153583297586834591404721963593431503093680832601593j                     0.5633899768054152481247639115919993232088186549762544378921860627783436100873639106492586475750966573-0.3225378066375539988762491495576622516885946557391072892240689442364527733117117796513742424846750952j
-0.7194338159174319187495223875005893767726691524612294881099731658547872748489517745700239318531973762-0.00000268156259117058968589987751867396171221934424237001458674778382762070905185878433247404166540848103j                 0.5175850154783265385287936397540767035270097794893150926535917914401095956678854843546751739332227601+0.000003858413615174587533582351495169862911144548382397639529545463526648541270577041008190694118828467774j
-0.7193875139704926633130931556723485632295331906943564016411728370757282419237629665765303082527419674-0.2018701291574640092617456505154253029989538800992424081008922618317957125876567441989452683719701406j                     0.4767668462105945760831143680551873766527436417780898149170669851023525727542521199801179570086317397+0.2904457007189805965984030360236843340315233740429612651490035787752395514179242204028959813050633952j
-0.698483994246305179470568221336317263122599921501959302212395952011202499191465843927349655455581979+0.2598166313556356833689417241829400034802028652967289176582888132468822437851841349474292309191732053j                      0.4203752082892821957005657579005830475625638126592043752550820678727567030909896651349245957561875174-0.3629555168818084570878922016042719098539534573049509755397320747193665767425270271304079605337834988j
-0.6852709532712159198082451578879119626365066385891656754031581738002748949102109292354176512473109583+0.3231296964155573339807827123918459802584397079228052517280277088466006502030288608892408702550291609j                     0.365183478691630746572844075144721228483518002314519747651527959058178603910713572205147715894388895-0.4428627901858551522277093074742766271557251911515088236892265761038454176793840039011579712954523861j
-0.6252278531275564968998610301989629431006481254817690451075966521057238070143209011789269673754619847+0.3090060126659700056749634564568858691500385313204072563152705690735391737338814568042167896087610551j                     0.2954251524627717428280814954110290209619591770930533391462906672001782402296812265890632979398852479-0.3863983318053019146144408779885395068800049354026429216475253836226681602374063887404147571541960135j
-0.5922152542144763405265051307657346029018464214779192827029409863303831183272785236439771414996086106-0.2060977149069026913787770904267611394518456170515251250794076240028472627367011985466456615596727122j                     0.3082426392344698971600901356079839349931788886263497478537617507163335249018600646338811372219757289+0.2441084212532280948245470382742257438666658749004081710149434990784042291037933711390089246707439638j
-0.5818155178004112044583657743291128453793453787544901482620422779195266523848927719284952342358036827-0.2817231234119921256586764991525450879879318330446569917179645437756100735325445979997010180357673705j                     0.2591413784883520613560526097746096576346338629577480675081028073165590568697344223485328191550187058+0.3278217698485946942479945516726452445628487132835051327408950727179539146537328439048394033946462982j
-0.5790523087495805748757268939717620905159094537753112532227347346899904076383219751628680517491285999-0.4880226084452115000649654316523641186176576436997582524467832805512133370785511602867999907309188313j                     0.09713550991455136944457750193530377552912848872071701222081398412272692989442397267817290919694635639+0.5651812362843845561029475799806760399431692467801617463715954988018015546497300564280426207240900887j
-0.5602899912237656341743716964216965843237378048187758751544452243009627618248467182810760168100269212+0.2949973907521458965392037747467538022488793851456179449269290185679345492038528936745192029723460625j                     0.2269014137149531180431333373373497711745835829487424580680805653213947831982198116646886253751626449-0.3305681709511071716481525459300876826724347602144287719139266518370910100151685580125751746930789335j
