Npts=14, Emin=0(0.000735), Emax=1196(0.440265), step=92

k                                                                                                                                                                                                                              E (rydbergs)
-0.3873848950134905057595842157405897059289238000833927594926180148462008459627629368795018963773968149+0.3261491089327375242356470847585316833535107110293841369391427300489405956649863619859487355312242067j                0.04369381562699437338936020095146541519893779347045966356432255954854525347974442905026402268616944645-0.2526904766453040086422529130875882150125949472269984133423914116871133358498120539802942001137876833j
-0.3507367219988180054622152301998136671742009804288385602479514706772431360388096089856286373034309398-0.165085308542625402987005404928494321584466426817935744917748747132559775384501067936948890848499612j                 0.09576308906186231836488218400122303396734030066636303150191703744001878751927387488975853500509396992+0.115802959936807802369250775396671967273037930893021090608185433184049483615641604127362321213195563j
-0.3496088394721546116894417694264688831471070768981853735234232130683820135297089802388916102675779861+0.1676610681167484575900189847732991267170754910916743182292326391689716091176396280335099882261875723j                0.09411610687501780627799232786981190615831055398151462902240326648915565148800424449270537286274970057-0.1172315828979165824503753785983199614508150796480273602133122066519554760811984610933168064624946633j
-0.3275644342948687868580511232484044407331580084043288838440524840379500813680267054971880951129728343-0.3204110634018258121354071117189843399661596154349371514959525943678940117827546941325226666777407328j                0.004635209064628570254043742017435918326057958804092893200852579965428845824843030131047831012250454551+0.209910537450072816559838884341575608772884024581066726903085992255746158309146758800316331361094018j
-0.322167431295677519717223384794960399206775752622046628633227397651832690711881810729352131389147798-0.5526209492582189417058288814471798867098099719622424998348961487130070526633178119043447505702684603j                 -0.2015980597713998993462540881184136082190958572724365850512428602146283666489662214925203443921860813+0.3560729434053986874107067664788209348330244382323961734316760879331596288303364730196418811961584062j
-0.2876162438518554474005042213109091259371077933379713226522693489564845514661819610731348247839345258+0.3401641942753225680855661464947544229910729084292270349196953434653714226780080792451471165206882749j                -0.0329885753395294185549839948652976838966322423399086196739406853941809798975107085824691556594783665-0.1956734957007222130998383612692352945815038433316222117995666190451845338837804094123228193570373503j
-0.2769798351232696359010755110857961498980564804291998813716591815547701447364653477257002694631468843-0.001184406310025359131984392829452851112530472641798844705774276262844020003879046469210986175626605907j              0.07671642624660640395284346838288968099143832101913667563742470106934622033882680152184401891138773389+0.0006561133289395683055770854611200183506760396640363009575861648474665753712156416509836003966273580584j
-0.2615415518202463794533227286192283061091312838543808473059141383361115877585365250738146853138277771-0.4086161895974252104647854011377854629227033267247216273919384526940833555898277379378345518393821128j                -0.09856320707257632454068670063087503774561376275444225562957345911498770217699132109419851549576896545+0.2137402246523732105095238146581668721808794752324789292904237390014545213374726793359954363288880927j
-0.2069586489532541574106568446574742809967018185879150483084019028895591499740573258201936900859746177-0.4606484883705404181864994214206408740813052759353795851358419424151575514389792690538775751366818601j                -0.1693651474615076227534265911451967941589909649686795074531961565272670251529115526623870921650275086+0.1906703775910517092427695936265568274625452347203131318941057519911819693829857529219674836103223708j
-0.1704214346157010932804800289462165627650453441121214865094548367045591899676509149568620173105172168+0.3377632412617523850183731689663056919293252973665135349317800318075295604727297743800796405670053665j                -0.08504054177117106603154326550827688634548401941144554439175425660574121391020129893878630088613596698-0.1151241922725540154451415160791910727389642089114218139671118120023422153021408293494253434097931774j
-0.1402281544472965007320749802890332776826031959227752088646973491098309591580537012458738372524270836-0.351106500466030902401961790666313132122118210640966325862165010308445189706703131476551581348749816j                 -0.1036118393698081169088623911845563800303138442545219822310612773833539342551598411447217539454336233+0.09847003314960072438704308765586329760576151848982506112899462479262439060875082226166296324268434896j
-0.1373490273705810699555604842151860443407694654802753205738416660264718160973496203098214219138670025-0.000003851260897227155478281907343434901642872936032234475966014652894512526221744226610236873968379603016j           0.01886475530481241740484974627147285241069600991172612415278978341513276765506107002842083485988082318+0.000001057933876769002373784381492178493260294520750079516975961299661314809110508961695042432521916135992j
-0.09607507861047469152786616195810550442270803902263486377869831198406901998134715656202874138493982254-0.00000008131490012719860513295737333861594720355650224248781780343427259685299254892114102748620602954828445j        0.009230420730002279470828014079685352323203195643123419541762944713189649008097898421981825820174112552+0.00000001562467084384700896282178683701361344845926092623050148142897843879621753254491147003097769164623735j
-0.05404930631060931623298876997893679458830926980317670458640771589354051686809145168458548931380429138+0.000000008578095628187874410021748883613458760479193844284702859626782407290954731453128782138340391155785939j       0.002921327512657998471808695641111463266103133959366234290471094202517767933527896149663314497987654496-0.0000000009272802363392501342589218224590583631485124085445952122327720720308414719679894999610347575768812822j
-0.01488641885324512603581075222548823459884083080600731295287182076847717118861436497043475191408854803+0.00000000000005880742967973092510790911309276513433566314510014686457913837481759088908925157456688486700347098345j  0.0002216054662742519332907652985988862830085052947617609950384411109550427393272479495970317183569466722-0.000000000000001750864059790466855214242593162632896958758104089669863787134497447753614054934235674103502050991933j
-6.537817272246481779108879981797882648871788380357137850675618023273248627337302307055501014968409447e-62-11767243265285423474054154.12411534979184009643857580951818414211569816337750714430652043196713300285j              -138468014064405155130554761284077790234774846845346.4165554118241274796347054468906450253657279190914+1.538641725330182613074800600983602558682450835499253949087440244556296366729086735693555729996533573e-36j
-9.208132944950925388589936293428736010241618337118088437634085485632400981780194744352515405380973974e-87-0.05491090818474158973499040322172403941169773274889953384858976468388980947716796467492938582872435898j            -0.003015207837673120909553059802193496181123146202430638693408421433332983748078810929275188084830624192+1.011253885386188894538198141943191052897119358716445220837231181197396196831220195005600587033150257e-87j
-2.987123423425632855191450344105125571930690698346947905543746003552189231522360005932755854093200109e-87+0.3003160962079172354331972181290493807092298040239061010265201602123521677708894108160546763295932352j             -0.09018975764156300091605089148333662920545468244840713095859329352378412516285065694337264039750468839-1.794162490828830898993670137064352574383147948135284976919737784496244257507692033960490655319060643e-87j
-6.3392648823858531842388159425847571420411276707672030425949231766287367912854275717885470479567619e-89+0.656866604967004598607339635109339045234749111240293711927671558898420100026696366679928220504333581j                -0.4314737367208788704142705249054834584215116743254697735847198815384293388371792939171931864582052925-8.328102802558706183661346826056511448843797711255529859332832123901910657818271220693846733187865722e-89j
2.301522806825205951327010519417250584409674661563627757436246279221582290606151590898107905880815483e-87+0.4353101875511658771643032891018012687067484574884736796572455888840054680986526625384454638167446616j              -0.1894949593858312114166076131575362065256970862851434820085575669158181451308332001286675901006434796+2.003752649384732231246275676662904954491587331003381301135233307993033567723025615713158236270518354e-87j
2.429792758542784382979327705463809497884733462396387482551678249047807220442177831300224131971234105e-87+0.5046108583253315025448537717725901686686798488409658286335164250840726108487218473808867327345656127j              -0.2546321183398277813730162770654980079676840691235478311022162251464858167997588490428051091146294837+2.45219961888189877242705654682366929820724175929525893720886659849681715408207591751783303385074393e-87j
2.979580804288499512746497773819536501466203862894144536350733134633283956804874362344410689783741938e-87-0.2978022279529000160319724316825727465590411446256540751238331229174038338100261380446432371633245266j              -0.08868616697371102367333262726908435935436527033054301467347818914482927338686534905495288996642294309-1.774651603765617803118780843027898813607287922999632126426626289794855431011136449561729997854568376e-87j
9.208125613335645752697878117155803105565868597942694611105056058971908197111953699322059108024928344e-87+0.05491090414365372931280793569294045294614716554053151164634723788568466198215022086351160228062567053j             -0.003015207393873528299711559000023947322899803067541390723594608287306642711594534219768735379290019361+1.011253005793192696081706664003439204744649487313591569473655569145650237986054585026730777905545515e-87j
6.537817272246481779108879981797882648871788380357137850675618023273248627337302307055501014968409447e-62+11767243265285423474054154.12411534979184009643857580951818414211569816337750714430652043196713300285j               -138468014064405155130554761284077790234774846845346.4165554118241274796347054468906450253657279190914+1.538641725330182613074800600983602558682450835499253949087440244556296366729086735693555729996533573e-36j
0.01488641885324512603581075222548823459884083080600731295287182076847717118861436497043475191408862779+0.00000000000005880742967973092510790911309276513433566314510014686457913837481759088908709328167447225639035720623j   0.0002216054662742519332907652985988862830085052947617609950384411109550427393272479495970317183569493008+0.000000000000001750864059790466855214242593162632896958758104089669863787134497447753613990675731665231419917320419j
0.05404930631060931623298876997893679458830926980317670458640771589354051686809145168458548930971362176+0.000000008578095628187874410021748883613458760479193844284702859626782407290954731453132209502042410161763954j        0.002921327512657998471808695641111463266103133959366234290471094202517767933527896149663314497486658277+0.0000000009272802363392501342589218224590583631485124085445952122327720720308414719679898704542958940850367465j
