Npts=26, Emin=0(0.000735), Emax=1175(0.4325475), step=47

k                                                                                                                                                                                                                                        E (rydbergs)
-0.004458946021009814068949137251996761235141643307361244900061745341216576776536531583470142396307190504+0.00000000000000000000000179335809554337110507045413883510998474452939602999753657895933806199841649294604578339464016589794j  0.00001988219961827925324838124671829700404860946860159699865587207618207638917976324879361465067992781824-0.0000000000000000000000000159929738887377051237608610452927445111757560309358965207566418337817881789901930313430545744634783j
-0.00005678950022625172945742539549572733380578178639681710640881998026694483201961727416890103971637557394-9.96843462944401516252128949055755933843761885259806221000439823038224488751473934516191203295955854e-34j                    0.000000003225047335947445231234764077485229294399124733823217069342235020323099693688517331226510986596656757+1.132204841288372947934001323186818099544356287840795866326166387494678225316921092624413401328355418e-37j
-6.925313070108628461552337863155066269850936754109524057990828515855309134325173843154738063968209496e-82+0.9783862884691803684708001190973881754044290197333795082521740235749735097471739329242767401544951328j                       -0.9572397294644982224413669479856988253448299908451518563136729087855744091375106296354177905783184128-1.355126270230137139055711375882875642535368700469016018549332993974469766736781820297830046419398064e-81j
-5.606722868095487691388866913825468973732650995400832305981195884748693266492245889533133087225570465e-84-0.431524650742980066566972031927150246925491180320652763132973767988553850685228672801755724300323972j                        -0.1862135241988509269165979945901668633281059956247500901816938603440969672643091627571490564182992535+4.838878254935169644732077210223843762389762558706619347597887421385018892276017723804374695634326553e-84j
-1.198142062751388869824683430945290972164934296270888785117301202977820292350704017423573061414322782e-85-0.3055193068979555608846535830690686814267472916308224267739619112936100163314247514162036429254302216j                       -0.09334204688740715636696440682302323519586597980783148054339582491399396425041973606286543026684367546+7.321110651541822120447616514241520563879688949141334593091760946755330630769121377004774054680272783e-86j
1.294033463236010710637060656141180741955748599681672443732143151877814983850458786688534855618183148e-83-0.5719969095533871767272999093953336981741548549240976733130838467992023581711774655328094939910746053j                        -0.3271804645386257904427419355464337312179553652347790267743050280082053018310624895068268200180450128-1.48036628365932957757223665077908775880650160038996950309545683682341005800667170847997299601871246e-83j
1.766621385308652911471390429805237528233553024153009418141007321473041552784103814217464063913807717e-82-1.797000680965049056366338992234830190024614872765829805941707572875134744261755392449873415052920662j                         -3.229211447388850021978658677506570475716156953835360657800198377698430966324339753744269136861408285-6.349239664814135185293556923414185126336132926119043586262580492699842536517426443745943113204000499e-82j
0.00005678950022625172945742539549572733380578178639681710640881998026694483201961727416890103971637557394-9.96843462944401516252128949055755933843761885259806221311944240932033886908616539154193918472938868e-34j                     0.000000003225047335947445231234764077485229294399124733823217069342235020323099693688517331226510986596656757-1.132204841288372947934001323186818099544356287840795866679969991703856267291881017211110796336720113e-37j
0.004458946021009814068949137251996761235141643307361244900061745341216576776536531583470142396307190441+0.000000000000000000000001793358095543371105070454138835109984744529396029997536578916588110534522001534038065200118594924398j  0.00001988219961827925324838124671829700404860946860159699865587207618207638917976324879361465067992781767+0.00000000000000000000000001599297388873770512376086104529274451117575603093589652075626059432983158895295977250664711474265754j
0.01218453630557271935272771095546884035089792999926551118126743987735784667879595287430181302581977937+0.01836587620885891434770145206765384267706623453177609936686785307889796271893437693114699082254979987j                         -0.000188842483937310195913955812599538146802007074978408079827369059573420746973133838848439030086368148+0.0004475593709009913944541373588563116089113121558671130103089214592475229978823017022998223870823757111j
0.0121845363055727578433011248443168983137548879628298989653882274865201102807640932769536903847339299-0.01836587620885892543424869513911113412312515218540191670785822194425392040936933919029735677174767644j                          -0.0001888424839373096651626859447495957696966742243768421629388447875011795676959107810826075897237093584-0.0004475593709009930784492251871170616612939976271245816568650342508470629854765114777500027154192533187j
0.02844042274076439319133148085499920216474262351166347169490200827454523519660121774955506627927674844-0.00000000000000001632240794124356079161242307011913763885665011216335006667436800378021343702618913894094973279789636j          0.000808857645673388438602674334923475408753132677527620035645545302835616071269928784138935944432514669-0.0000000000000000009284323639923533754255356600632584508420926411091900849834391935798597739035597804471763470598165064j
