Npts=8, Emin=0(0.000735), Emax=1197(0.4406325), step=171

k                                                                                                                                                                                                                               E (rydbergs)
-0.3449482180375770204721520861493474356978031840030682570885897090820429626324842092508540057817897978-0.2638068061149473119754323243258652649141900729538663957818820035059859849882149578203805694898000936j                 0.04939524217473037402638720552246169171947557159880938552186745863623264982081145714008430864487353749+0.1819993753510713043677797426888422670845507846207275774402874992735372617873356692427944676056740509j
-0.3167514495487725655053226351610606344238079104525266198071937924848031740255348784959362176377949749-0.5806278801298211840339490749868515011485331359953808369304047654280400195360824836453289338095375589j                 -0.2367972543928013858546288862483074729791882500208428330560318041171146723529519670998980791955986802+0.367829445359103639072815898566247654858499282948076871055026670662576039541722214979241235800011714j
-0.2771519022807583571042339407131340443976841182069619480576732856991694779711666855474105343139723304-0.001163415856132405238916606708467404273338678460971981317331050443424132355243868809833294874940217164j               0.07681182340138872912904778929890923600003061219323822959807691193549425296276068542514109431944325376+0.0006448858353413864003945037146938895467444892848911035409076862347792784266746345494205025539970701155j
-0.2215176765618161766284945892509260366487866067572644834659185894801116556810565801030542376130944538-0.5571523706107715360009389181848098886952114505038995698207512988247541208901555995465353811410766101j                 -0.2613486830478571141084320602724128170688192871858603372745304728587725541802668091745206840100074278+0.2468381972572120517558480441142872642567885424045682287206318859091717279667545712589134727222323606j
-0.2025609116472567624935381475136851369628772880196113108788991378493300007751936741116855870312218465+0.491335688982101972814827374973979509635445270279661365157721396908150868100742123273920851909772444j                  -0.2003798363401490816206405406340589937655966821141198780448147893390996448277824195023102884291039991-0.1990508101700951713127119440159836951986037789091880507293498565539856727397141714963533199199327605j
-0.04079627833457262606503712654233181593211676570740965431199907557244708879770779423259741344774766977+0.0000000004393718252581084906552859679475439591050004309902915475592808752298759578466073116244180114888340198j       0.001664336325951919647169842670897633254740392656560240505361134340348228001573432173053069240450116896-0.00000000003584947055119800226905483005553896828017232678194751350322969201545886873013327969700846401001833388j
-0.01137566271919678706505243393943692701297376912756229046803629959060972549099186538640692383486177599+0.000000000000009257261716111254251081930737427419364263651941216013376607109421012845566003159540991556952513108062j  0.0001294057023009236395200354405422033792348344855572610329972662135183579081032474448772633180301007138-0.0000000000000002106149739716289320077975530840136383746719453328001216879487935457666007803340014189732048319668921j
-1.927483983777339652081534170368106051756200931982258283138582226779904575225572158815773668412926101e-87-0.1667398481156079759522430560059741803669108741210026537764840416476034696324386663616178174423348874j              -0.02780217694961601668909452893875765258469797026156975806119370863923113450995530197528364467178155011+6.427767734006012029546244367060765565375708431787165400440353770631346653397486385120864829741027381e-88j
-1.748757869647649867636615231004037219197521583888829954708353122736324792735486689463961942534866308e-87+0.08510914950180022112469623116110265992782989819100439055205284863149630002074527734714332037418889134j             -0.007243567328919780827672900156051492300753960880314970215709030744971732746751921072425409766759619619-2.976705899405829915345167496404941495438317464720069034701453244527868970960088075870323997271322712e-88j
-4.026051694264823520917792349951549530911723363922700457304668539328228377864123220258680505621932201e-88+0.6636629823216456742493266977669474103706309901289183041615585874318757754019822073204955177933975616j              -0.4404485541040609787428734752277541023685533679429441003881267848950384973501825103227030431285281853-5.343882948793814374720989435344723097781653754100691879579512176104392711230039265191233154968169088e-88j
-2.000258740101426900197208633775730258924028826645856954943580736574009035194025839706114108877820051e-88+0.5942112026598577314674846334416210774721953867742006956342675899667062691223835177929846033115535188j              -0.3530869533664745159639867616851651747654281774971083467444683870157815117169695093685644518137622212-2.377152303173121349745307734903724748883339238806293136824992801566831375023246476912010323711807784e-88j
-7.73148435898984924569008196771917451680419242764934262225613352328123665040168006466031425655015565e-90+0.2337996739966790833462573904706877568746179324480441669961412440566999806561504674834276938971781414j               -0.05466228756095341753795864251169611323726855347039025386412213079993674566808201626697403803210694073-3.615237045284500215571134349014670844380355235227240125205984303740334941349298179812803586157383174e-90j
7.590758519467823487142127382350594781579490772326343537701302473158712354608642023707722297609964036e-90-0.2347379051691593235449404676046614821060555984893444117191441052890617241529406997720161181959709003j               -0.05510188412320523546892787417265905953511700715348081277964098881798237428429221955428412640814577426-3.563677507009652353255416514834875373114945693387349355253425283543019607755934290655902342643064088e-90j
1.288617257173804500163151010148516288770351192027773719675932631158496492895829391915738808902741354e-89-0.5180700552031467413775033000947002690262097154122129649193104665511079541014216843408074517833847748j               -0.2683965820981915119982964194177839585703219710416638594975096078530058189988510430024797733032686022-1.335188027119520877272891349444635522373593073412614459740032684460094898441720708055901543979054673e-89j
1.748791280882451122309630189109134878746569618202531547165488694752165401440372646154941186378277974e-87-0.08510927044468315011469540878971930939741801836264844969280328686610333506851782808955000401389223763j              -0.007243587915626216772867389024817919210891951890160923601779909062019639697547090012557793264509635549-2.976767001518567730127496300068632436437623192981905658799588833879507455632293432134945192503484815e-88j
1.927463075285902511481998604698761188583965660858829185496390832215376342655900170554187891546551197e-87+0.1667582609045559615899565915624446704705940002134082255359911512392537217767762865972687436136925695j               -0.02780831757991195727295747701689893379405131402574528707813028014482227346410195216684131123647328044+6.428407807848486416774851018520895045868328544671437564627640038332880547333535354926824959564330291e-88j
0.01137566271919678706505243393943692701297376912756229046803629959060972549099186538640692383486177898+0.000000000000009257261716111254251081930737427419364263651941216013376607109421012845565635244156715809233221101665j   0.0001294057023009236395200354405422033792348344855572610329972662135183579081032474448772633180301007886+0.0000000000000002106149739716289320077975530840136383746719453328001216879487935457666007719634387775240385622497134j
0.04079627833457262606503712654233181593211676570740965431199907557244708879770779423259741344757467763+0.0000000004393718252581084906552859679475439591050004309902915475592808752298759578466089602109943521494461279j        0.00166433632595191964716984267089763325474039265656024050536113434034822800157343217305306924043455334+0.00000000003584947055119800226905483005553896828017232678194751350322969201545886873013341420940211807737267228j
0.2025609116472567624935381475136851369628772880196113108788991378493300007751936741116855627225849569+0.4913356889821019728148273749739795096354452702796613651577213969081508681007421232739208294181230294j                  -0.2003798363401490816206405406340589937655966821141198780448147893390996448277824195023102761751631747+0.199050810170095171312711944015983695198603778909188050729349856553985672739714171496353286920673032j
0.221517676561816176628494589250926036648786606757264483465918589480111655681056580103054723888931046-0.5571523706107715360009389181848098886952114505038995698207512988247541208901555995465353733370658646j                   -0.2613486830478571141084320602724128170688192871858603372745304728587725541802668091745204598765742734-0.2468381972572120517558480441142872642567885424045682287206318859091717279667545712589140111242499604j
0.2771519022807583571042339407131340443976841182069619480576732856991694779711666855474105350225914208-0.001163415856132405238916606708467404273338678460971981317331050443424132355243868809833276372984648274j                0.07681182340138872912904778929890923600003061219323822959807691193549425296276068542514109475528444849-0.0006448858353413864003945037146938895467444892848911035409076862347792784266746345494204922999415438231j
0.3167514495487725655053226351610606344238079104525266198071937924848031740255348784959367005425822089-0.5806278801298211840339490749868515011485331359953808369304047654280400195360824836453282979130848747j                  -0.2367972543928013858546288862483074729791882500208428330560318041171146723529519670998970348355973712-0.3678294453591036390728158985662476548584992829480768710550266706625760395417222149792413937337312451j
0.3449482180375770204721520861493474356978031840030682570885897090820429626324842092508539778942683281-0.2638068061149473119754323243258652649141900729538663957818820035059859849882149578203803065593602457j                  0.04939524217473037402638720552246169171947557159880938552186745863623264982081145714008442813105099793-0.1819993753510713043677797426888422670845507846207275774402874992735372617873356692427942714970647254j
0.3511986691080278483323809967318142063913955417367888953181551252893070748977374109034471982532723488+0.2767575467442899217092333508389957993643242754106304603060270781862448226957569783748848574165920368j                  0.04674576550333221306667558432448516226762941209353522418696425523636274937540173257192181959792765409+0.194393764164394852277861907190642129156573059740848444415028529492049028557068209150947224336488309j
0.3652359996679624734913624480957916923902325216030607122681315417596436995175920301112989263700622183+0.2686632785757054579446110015540781315501638048919962398512192719599340795038756844025252400332404423j                  0.06121737819840876872721398666342561736543899597126826548361010066385354761777551685067557221038541966+0.1962510022493401363117593350033488756046936051621438720096533842080515219236242417826304719004835307j
0.3823056359997566948802936507667903114184042841879198491024711491780165184873811754642471758502296797-0.3853568987078029395989321269849114727194702064531578207013078895539353170047609615070505080146712652j                  -0.002342340064517432736299423196084126013343910593927016061127099798367500031366748980669273813391353721-0.2946482284947608433593391244748747094985714113972998840220776657022347160116168476358399515618777378j
0.4083294042213280596428480369071319700920997092867121167265848374104435526416694230022177658272245382-0.2721677265764255522939908639162962992924143182833235142528073937285247286563899908199643351339502975j                  0.09265763096196478552930172239980646692908095334259783054646414463169847602628403984142201832932102197-0.2222681712824503220782831872615011704979446309464067375238185107341516721284373553559979973426593825j
0.4586969111015967390732668206768729026896722042371077724961741910544551933582710371494497360562235634+0.4455182284676976463594050837524130376224621853842763810012253190016229349700493290970583563849780688j                  0.0119163643571505042611161875316060864440583747284423378532638258476893745106467760997276015445427714+0.4087156704751767457540925191528796468342929640739300661525700002904304622719033908150816673944024327j
0.6022167218443674795792452764302565428553655757191902542029085049158428839677542111871211504577229533+0.3583323017061800892432812106714513117284251159994013382267219212867800737484950706108143314474477811j                  0.2342629416229273973589006121605601276045792921652473925397915006725252314858612876731446105756615551+0.4315874081288852424461063116030047296557963480046628055373655947189274007946384633875751542904233075j
0.6331305228180832953016632195385790093012908776378683751266576453041821199573662100244845111374431722+0.2798443345807947388091025987504424965476423584334186507118786625081640265191986790467609877364752411j                  0.3225414073269317021741075729626432272554408666122498577915691012832238333969260443378550134675948002+0.3543559797216343991248370665626261530270768140327198836721168883482126437387907129662464156646474006j
0.6331620414319581644109597648754083546785550722486085094775757523447610578258615335183879581053815739-0.07748526393264609335623723313573859934389268639279701084677454035395174981132660309216842609428842067j                 0.3948902045835728816676116259435918597131609911077335581206283385468951525310739728901091428779266346-0.09812145578497655875471251721483822521825297186193005631852629445270977579897664927473194331835048226j
0.6358555815491921428994593205622439180716587220264216456767202086283216744800401933298485718511963949+0.07281648950819908023759437411859435490972322642056867979226865745924922340713526765679590365849970499j                 0.3990100794429636727794253501331679471738218200376107267944087031507025911052230225687847529810272482+0.0926015425652131486791300768287940143804564304895003186070467477086163193559057412085521883970765336j
0.6830945233640472014724235941807011459087968687549538234539044340669290899853688037096522316020751066-0.3523200409431535741800106690909393273068008970198361645457409295864583332804267995260830379166718494j                  0.3424887165997694171590832335839047229356026055020826832112927784671206064777992295811302355531209472-0.4813357808793301715964885259504423879488040679936251425786447694315539289513404347015651254277300769j
0.7665117274352994628093228828651057757518655636632746310642493512125116769985963292944681943241028255-0.1837987085941283221374677364308934772724607176271972970280654592753277978632513695418842941450400952j                  0.5537582630149775148466411317519388080792583600496139212631698470352163135279132977145761505180857483-0.2817677312497250427545481235002215949170181917685015113772980958032338467751114851281099600567451899j
0.8181878460165480921627718753585922775386553975408957216375465736759184101963442871004982773780067419+0.230028463232715162013709450085559772223742626097785702135230938299886088176499188762720261208306147j                   0.6165182574719940206406339574377016746726739239998439894893140614774524429536459868512161504167404714+0.3764129857097438946983474193847809475450326146609863172649789828590308530718674964645507755544273962j
0.832580752814814558838415923696992644008774351482669040802000843175050324189902136607582634535997109-0.1028577106553591528703415352340415503799890172654502105977272598023002607574339860095831386164762657j                   0.6826110013164217571273337840608285350980979515194213526649530817388952856142649739582454346879918629-0.1712747003404945929152956297355310522240757803925866003869171261715848785116387517128945177130832024j
0.8388788309088348768802477536667802681999796413428169569539493371733413416138283059960864961186931243+0.06139166891868867670106325045832071836436115726302439619000961144669015345751664259918716964413665826j                 0.6999487559343516918722024995091419134284554282641184276472088891590686041161334470037632899138204073+0.1030003429001036242168511110644367142484032469261333406305737021877947645832167524681580972464743216j
0.890019104622794519383861636799364057773446666765868105073712095608490364248692428681306543435795495-0.07739327426053649706060486406843156358790722643443075757787779061275508978663875318669396367861281252j                  0.7861442876927942355482409054610897365152412472379346063162636755834802400519991687082979277396778146-0.1377629853223781254396247842398864136661122144003076344162745679100236447904050451323530199671162101j
1750330814213626593119330.330336734217444399994934358540003811267353462386989082716050074343335949669-1750330814213626593119330.330336734217444399994934937137312299648994905874961356012226743792731445966j                    -2.025473396136563839621647191215023518509624558250299527007758599823163764940480853052992557416760686-6127315918371474026597689667508283413358522321455.453685741711711347971308957056315073170282057402978j
1750330814213626593119330.330336734217444399994934358540003811267353462386989082716050102012069819587+1750330814213626593119330.330336734217444399994934937137312299648994905874961356012226716123997576048j                    -2.025473396136563839621647191215023518315906808319126527823006781609224888254986133220026129933351799+6127315918371474026597689667508283413358522321455.453685741711711347971308957056315073170282057402978j
complete
