Npts=36, Emin=0(0.000735), Emax=1190(0.43806), step=34

k                                                                                                                                                                                                                                 E (rydbergs)
-0.6397126639930698293503173317604888211764443139696669850528449099882389372743845639018640680441853423+0.000000000000006353149932592596284100618683571243761033213592578867911691718759605000054158692898252061998766720431j     0.40923229247311026014348180631661943650399869734905642672720497086308128760689371746529772446056073-0.000000000000008128380936252403564765241978385838510164379050695607653463577778443086585412609043806642476347408038j
-0.6364736811789526897476200248145860162387270552427640685733449365772935010249789579173086563500538408-0.5609965294307618128731178367261929205412098509102139094766529910260672435592173982991435014731597444j                   0.09038164080012751048837243448150886638003842368879372734999769519634601213009962631943954593983616505+0.7141190524308272871086024009479180617205189087592585686609077131799589835744635689616671434592080487j
-0.6117851397526753296533069239225775539341210279954851772107131679093219020130354417071585227551781773-0.000000000000001130394339290061428253621579392203700575120729062667751064189978651153636173807011392033207899398145j     0.3742810572222004839141585483907095260110514441120172623881683549154094078376499553396791719578220709+0.000000000000001383116917676406648332118931527895749759503370263447050185399560097460821721133393125695976513254382j
-0.6094207134996934248424858162228919080671089169976805492402202740090001997061308998739131957465954515-0.000000000000002739825150267063318248460323185789702518665398122394946326183364905245477991315362006189253960545316j     0.3713936060424754157475327564531898862878255599833842566040931749206561962975352969782856760102549171+0.000000000000003339412395880316961259299626518447053418675489218232826630888888656733795415584000929343023221450004j
-0.5944874565397549022712418787398275218746395000024766820393569023617723217332796201178223677458065879+0.00000000000000199136120822166604920956022283683014560242968655195258681920533252383344762558246572990644908806361j      0.3534153359831069737208537674272734506830626528550755990158329415899662205588024543273777587079694169-0.000000000000002367678519455263016013179551577102358432108285127383936010408619236750494530238842338650576881967924j
-0.5924178839196049181918963905013034810686812536572837048870783117381088930542167566460611658480250888-0.2055117224871769607157935757310670163162881891823774576105958806318253520271274578828497060489708865j                   0.3087238811081360510407365286526356271523285886742446945124985772997522481575994747249112337870525403+0.243497639513052920917841355122260587176183550449740911082794424980913168220842657415093248550936938j
-0.5847843687586153006394844814388978971561857954903927451819687968292751959763757971781315143754400371-0.000000000000001378993163948826571978174669105024668903376885183167374123996738780202799244384936764584053902489808j     0.3419727579444121628546790310105410765369689419738858281003491906018185822761491101956384877881621874+0.00000000000000161282729380452048976939273314197203494989407904251502330784765452081714603686020718170463878578724j
-0.5799963226874674178266831943243302746180705863506861432795551655895177565266732191032165864307389421-0.2833290981362188110835330949164655294050048661950689955937166949529482925455904351649224132566247709j                   0.2561203564803017223728231895432606726926347354392994153166095435028703305399058810751589738092595324+0.328659670058726977813062587823030780652303833806055327825575951779216078343357074518769935442832793j
-0.5699438293964243509519317782114587602515799185479042597508800619766529036201722451613069346846872845-0.0000000000000005763236477795870166389677212426694010077606741612047016791033554708218004448358581469800430785102177j    0.3248359686670604661379198512685633797895844682165338750717495676482835647315649890901327180094286792+0.0000000000000006569442135744278006223449896962606101481875881795738817054381934389753746007760691136779727858071383j
-0.5446699529971845984099031774980406176703113140492566896613061261423160270799885951144114590081595727-0.000000000000003046709434866452567711433610701561268470376199029936547549579188538540476714852227896830688584628108j     0.2966653576979552796964996033216479629732065448769328570265029291926719213776979746119731201945727597+0.000000000000003318902169369579141489259720552836589083042399413136086785052105363970194619890044282009158951014628j
-0.5425004298590735217949736254449952246014750063284604350105343257494855489576558400529857467003693971-0.000000000000002805175700592307575788041689603264663953214157981366145331863305152356901747912929049469050351351326j     0.2943067163972795499706353995365404644456270903008405975210668933758744772865829310477936652202249808+0.000000000000003043618046803109164652957562073868871096561665713729434669677891415915484570820989885586489159326214j
