Npts=10, Emin=0(0.000735), Emax=1197(0.4406325), step=133

k                                                                                                                                                                                                                              E (rydbergs)
-0.643343261311753407130532642484594707817222293277034072583550455854173140697622874631698454920352189+0.3150250835567478241880343540104221457230655314269664876846071305926728199280714206880838473095706021j                 0.314649748605307079879847232927388594693210473045868645213365719872595785545564422909316442040040865-0.4053385293008115337963631342502853369043625586348104294098296515865607557249992619955226604153644869j
-0.6430860014606553027944742419293990209096488838923390563996441160595328059184078588752503593533278284-0.1322338339606723282406326212871716179108819673523263093189104622190364423346656070489619911649862244j                0.3960738184307152958758111203098782511481911867508055144025487393767478342461818173743275886887124816+0.170075455079161951324911081231539169671920272364489773157039911039092156349375301849914905045805623j
-0.6364816609485278796980445367528337649215529661277774573411009696324175067686745821891310383711224891-0.3246800516377508484315752580273659832819784976916251220952433976050079242467772562631039762208181499j                0.2996917687923042423578481153286965666301957137164926973569555173994475824440719532942970897533817074+0.4133057970864989192726896829515974386776371629225895071779523017042139105013331650451961543206352676j
-0.5661225251137503655223177447392021967365578040873154927950350205552335211726426609691475658247229073+0.2618659067628171220472121264074834057274171418284816201824753456884531697628394807050245576897044484j                0.2519209603164564831749725584644304664739379892722484513402697585545325124156908350929016270671350367-0.2964963767555358957174090482359688939180795491240259556063431979786462566751682884383195805650723375j
-0.5481103366036311666755092092426880668238119776328864371284632297569439530130244964148741929424362621-0.000003531632276562310825216058811124471417753666169022902783461366345378340538524700965796190135469274468j           0.3004249410792734330006846063849738539881784057298733732911646754988573535857338821168153817538608029+0.00000387144831173363284543160709823469436675263847291389258611096947872557160805959966085492607117202099j
-0.4656014496067282967638606918037339461535264155730529673345682350528903454919279272653043306600507276-0.2621610021185741780910438804247149734479229750666195451544003487989963798982047104632760620499555382j                0.1480563188440716949198214664237077897196517449491075666300929970448705626902118383528159021945331782+0.2441250852335214108529669402267276917047419955576446403665163698699066166739851899607557391361637557j
-0.4419591178535918491964454196649562429590932323432319759549918222369648717398117406709442329548543629+0.3550922117820601999871609456557077042680744054825352642229339886585580406730853844766710041815102467j                0.0692373829856495969184309394268138528609313542346874392068589360701065068873487721895196095167374665-0.3138724813517602802349473051570327731431887791921167728840713924736439144318807693442661652520276463j
-0.3768472165210176529536871474693237246067639422174105369739511823659721553149434094252616051026511979+0.3284517313786400260268648693104736506583004946381000852896048325040226767552473022078597408069233086j                0.0341332847540124551841758446411083639788815405985323723171257768594531343905358138739534094488596304-0.2475522414630989717317310226028952622141942203334062488043658654377471972358799063670506031261274252j
-0.3484107811391130283522897760472617821721227768720864720039964445681947095731353998335370580900916239-0.6067201093482122960287685130186748812361947577207334871967579812137017101914494146330024739057122236j                -0.2467192186735397667943359191353152819417338983894796174401452460694630008752876381000982958265373069+0.4227756544616374375736972928441828706591048298377548034295576150031914797905876084749317786107277737j
-0.3445723204040453335174947858864388305364459699248664742714784650765081611663722415222729231671873514-0.3021791683324460681504240214938604062191512097674255602511202645655844711372810436372708214758506719j                0.02741783421453929940619326190571648190008025409273909636074469786509940247419280023826661341304733768+0.2082451544201511116567841687915788978668994269301040755745532753433019537954593114125862147314141251j
-0.3261435716243816510351980570505570001972916797645399492391753227072525596225161161697080997705455329+0.3514515424495775170204550724858223809732525111753146020488153103421534299238475386427167491311498657j                -0.0171485573782790233520171771571050501447409394285292897609495743295081374277350727085289714359947178-0.2292473226148063863517974063138975638066553706105576433665358547904327075705508274918177222162467504j
