Npts=4, Emin=0(0.000735), Emax=1197(0.4406325), step=399

k                                                                                                                                                                                                                             E (rydbergs)
-0.3088055143413368832367404697212881843177279031765560943098103201833780502010551684497308168958725664-0.001241100372527874231490038544884395440571684058762806250090334115979411395565852586595841570540869571j             0.09535930535748293063847569507843089416345433427031324096961704765117412615358944851699689618904726158+0.0007665172777753900286505168893783654049166857827735678587431041615953298602338331048654335135382812788j
-0.2305626273154100563965114714811701944537560019882879449970342724302103758496795720481998791561956091-0.721189934240231096401638705987776341205901825035486084005726153816289623564472187339339077631003646j                -0.4669557961348441817055227107279541687333602688212897062594476117175311801314063491613794571971358518+0.3325588920637109770095195135388140123497464287934141974914449317113706607693839231221576833334981826j
-0.225943728587017794506660914811163403991578011427015053754722688719947546391287146470428899214676878+0.694671906354899183447369395340638240259087991726715994557301215937213833563142015534626005710467211j                 -0.4315184889909458584014732605901931939221637387135728273246911255832349175124489062930093120914374625-0.3139135213329551658928902726068675766778598973666165730013932539569297639277747450949978845511429772j
-0.03635866879068074909131635485605543339873217838023498063754608495482637399191908506699584593609789822+0.0000000000489926145259881672170903710555576692433782548144903457014747572264301852363369438205931971064528355j     0.00132195279623042232318071676387611653375902342706562985788603979443482322384165468190291820176479086-0.000000000003562612489479796594250207441866325153117802045923607228218142345245841005158389773605513971762199819j
-0.02905747988236755855366859173540288305850182331990737159062846587046406735953608787410575325845479434+0.0000000000008218049255299639451466683509105414854706527132050617739126943346785576913232171607201482391259431305j  0.0008443371371141953844808239792482311207198338348243298846872724904879401110488468522657908525046793306-0.00000000000004775916018163499390822037086610434411616778443862368083984349591702094723147027880653037087041819473j
-0.02735854626447663588977119531932058742004912893454341019728010182911068429066149216491932917660196446-0.000000000000136282525766421278201163407275211502596472337488305852398401303954669127782821657334833995732444856j   0.000748490053705508487778984711881013791733368380969828836478076980712246050180259859521830518639261477+0.000000000000007456983572440731480618975669645854712190807932234537241091782724747551794722275312881053667779856481j
-3.594163752598317386785083439119346513894002782431190069417105858462752039314653169692294111345716739e-93-0.7297600226364689426283941915961194020994492134511997594436771906351545410503905539386393672090365064j            -0.5325496906383796635547200810982187569445758827436189242907922294690714008705416011683237098934214079+5.245754042910648513185634887457942719918781854449384133463205743520022011522968123931508691968175206e-93j
1.193050630269330474177357616241323789178543983533958996858580307055309952993302530728104725238270512e-92+0.6977659931379274483266812816615427208250725996237389448152139320282104438129488802228745388278494471j             -0.4868773811797582149062698867880674281014693577878849069535350063341543643071270864819321863843831389+1.664940315787419329834224818336298542258511492163785645338518625582615958731662139292162238228584163e-92j
4.131112787520707803513560512085987391392293542688193710624248201899563878077276194021110148911409862e-92+0.7697298692092436438602624662256262755483732633552309923975455500568608023496311085639752664235422837j             -0.592484071552879326199067867362856829520095024832172581628484724107843639972968065241398062877081104+6.359681811253896690488659572572022612392867970937371993830882749649265471298274348171403761412576289e-92j
0.02735854626447663588977119531932058742004912893454341019728010182911068429066149216491932917660196433-0.0000000000001362825257664212782011634072752115025964723374883058523984013039546691277828219203295918738044415956j   0.0007484900537055084877789847118810137917333683809698288364780769807122460501802598595218305186392614702-0.000000000000007456983572440731480618975669645854712190807932234537241091782724747551794722289703189555111907725147j
0.02905747988236755855366859173540288305850182331990737159062846587046406735953608787410575325845479568+0.0000000000008218049255299639451466683509105414854706527132050617739126943346785576913232153517630687127198839601j   0.0008443371371141953844808239792482311207198338348243298846872724904879401110488468522657908525046794114+0.00000000000004775916018163499390822037086610434411616778443862368083984349591702094723147017367906247806058659712j
0.03635866879068074909131635485605543339873217838023498063754608495482637399191908506699584593609791686+0.00000000004899261452598816721709037105555766924337825481449034570147475722643018523633694167964679853090628498j     0.001321952796230422323180716763876116533759023427065629857886039794434823223841654681902918201764792425+0.000000000003562612489479796594250207441866325153117802045923607228218142345245841005158389617921591962944057367j
0.2259437285870177945066609148111634039915780114270150537547226887199475463912871464704288992219335213+0.694671906354899183447369395340638240259087991726715994557301215937213833563142015534626005704876825j                 -0.4315184889909458584014732605901931939221637387135728273246911255832349175124489062930093120803913082+0.3139135213329551658928902726068675766778598973666165730013932539569297639277747450949978845586987244j
0.2305626273154100563965114714811701944537560019882879449970342724302103758496795720481998791074743574-0.7211899342402310964016387059877763412059018250354860840057261538162896235644721873393390776511499835j                -0.4669557961348441817055227107279541687333602688212897062594476117175311801314063491613794572486611229-0.3325588920637109770095195135388140123497464287934141974914449317113706607693839231221576832725136149j
0.3088055143413368832367404697212881843177279031765560943098103201833780502010551684497308168956562711-0.001241100372527874231490038544884395440571684058762806250090334115979411395565852586595841530969537031j              0.09535930535748293063847569507843089416345433427031324096961704765117412615358944851699689618901189924-0.000766517277775390028650516889378365404916685782773567858743104161595329860233833104865433489098052994j
0.3226528485917752157227679931264607313237092102262807070565935595328738694977408442769027970207998896-0.6437070852867637661318392280653773918360785835375045149449277830423863848516085476680417796524657413j                -0.3102539509439939392352005191446221709369441098939072502172224593661305712548852364045200718592274915-0.4153878494529662502069854259285843373607873183843666662347849223667277883571165608975902835170137051j
