Npts=40, Emin=0(0.000735), Emax=1170(0.43071), step=30

k                                                                                                                                                                                                                                  E (rydbergs)
-0.1493320360572791891157219309181251332021528902157869605834850536293052144328338274654317543163092357-0.3779986984098236024144999181155838025089735909709180470465718408454327453484103422883407077981585103j                    -0.1205829590065082485472161392201280962239422833642694222055475841213626028930043248491870356677609627+0.1128946305210807597622496270758344665324645728860983925438968378359118898318469796092932375862627238j
-0.09740053472853382859356147811968727690101465420387510220932662852734893718933804744968030991059593732+0.3865825181467112749788476116522010330274264010342049402632199294538284897335678593498057104704039356j                   -0.1399591791712480278072345578409405391183406448619413520744146746609965541454890726094943806202466249-0.07530668796838562107904823547408449309616910640486624963579380277980585104880783182569907443156052249j
-0.08127418035744546602483293031894290534647491274145227410182842640849494903146992501963592321762636238-0.3749487225556512002600925934819088830985251464993984422804577868646797344999550875632231561146160936j                   -0.1339810521533401247197842541268476162044751089490595041461906178881523505972324344576573533665070169+0.06094730020356355307295068394028949975432315770988791682111658916710157578236855188629962590261791537j
-0.07600506778748165800865635390945511762065988140309589961732057389366624274022288983967968410661275262-0.00000000000007120901267127376801286592240317817708884494828191576460027378325765312204661475457304386688912624022j      0.005776770329379681976565382147066614536654143969276103748232893070004260129547058461297753959216729666+0.00000000000001082449167031960615338883503234959991698688232533691867783089743597485198179474170056691208657727722j
-0.04820904313239246314980605075183323580443286730485881098715726246011728862610784857199720551334420104+0.0000000000000008015121511917654874357225801765351520262023440035252519511935928115556675559751744259836754432844733j    0.002324111839740876915257594982940952944060296392023494530192279103866606454572023695874424940840581449-0.00000000000000007728026773588098314096459560691410335095257577335744992683624277286279965380274239710498689258698447j
-0.02605028686564113909726115238971380670625167781756745354236778474754264052100056821257569984973768839+0.000000000000000005439163498321523590145706982408207465004343178078953693541565790459048239268661766310826790663072232j  0.0006786174457821952430334513704870571408221817236464346881873566605412003160699373943643661310050520622-0.0000000000000000002833835388807997918046600544716966088482260591946945387037004661563869846634789333344984170360471018j
-0.0185000652665908186947120063569112571493841696565357381202058565494021904899719976975640499043202281-0.008999456845334491452688563091340564549878329579480214192450166351100474563465104759136493185057185995j                  0.0002612621913570821827693431100202713808657193660455606911927492328429674734114773129269338989584719345+0.0003329810780051112136442702461548349389832494714467755944884168886711867179986375735616855542202602572j
-0.01850006526659081684712350035395148425979224584213601411081599721461671713652290869876635981927841059+0.008999456845334481163606821534203474779892886312988760566158185954851039763834794314832571024825143729j                 0.0002612621913570822996006214388296285744201820619276945272778885452008804379232365101258729792676598567-0.0003329810780051107996923166865456230491206516256045905321464863314740072507932168105220385693941801938j
-8.83591773673784138034010482041509494050967746698508834189425335213327495141292477646004550229234585e-72-13.35829396382541205795132473222970495009498043699474284363101596594146157206951288195428229419928196j                   -178.4440176239744391911184797022047593863643955610938305016056119739165626293636149054018594872315279+2.360655731350460057352364046154604694509359727827952706526348102943267217416154747467402514407458254e-70j
-1.326303917296501271129504556828990380357840830793839884401381791377797487685914495029977447671069943e-74+0.8137104529505715185983830698923718137929566309228470104366359141127844000844052225901043023608831926j                 -0.6621247012410242650176196005129750504512993907782414117568595940924818887333389792591238854972463426-2.158454722586906792273766365004078032353875306624251575548502147740647737972414842297408414264571492e-74j
