Npts=30, Emin=0(0.000735), Emax=1189(0.4376925), step=41

k                                                                                                                                                                                                                                  E (rydbergs)
-0.71167381290407766562086620198244117255113071486413172236792285480178590494972995260477739592349475+0.3999238252987037253426765842911598041246851910952313403155604482264487812237154634221615453503939985j                      0.3465405499318800442394735926991822357701995002057557823859006773443147475435922631556119400883981532-0.569230627243025434550885658111465781828725089793202322724734705279318336436369093187318798043229318j
-0.6926675499544532332807917821309804680540467951284243578942260532090372854888535449200013520908524341-0.7110211297397250204866342924168137550128153812313623744158131970073531848592928075392090625037161994j                    -0.02576271217644991460465927440641561982604785921946023771509127089951998936221805698856420945626023675+0.985002527805325508170987294149126937644326861187157793676498518504921861404136845229903105488423039j
-0.685557478493608917872716017157240632661676317562682539067432773844539029132253210130483747098005852+0.3234485530743724344141715010410777405033120410865737216432070748412158205034499516439340319959708527j                     0.3653700898326099323596727908566795221741711222796658731611290556706388162010800318510996471716208421-0.4434851489361460056804731050267340502359748047807259600703204389935166904985286164435214235375193318j
-0.6575985550442977770537606278489507410365017669574763956039562555582099176793515877410246338279089216+0.3709315285245803857896083630897865284296505508540416147235472677426217792242689280835006492812328858j                    0.2948456607427667409677701709905092325444685337070452931497316637952875490742182939111743417401600231-0.4878480743562735716587630127889868380119741262724836289779937759946932874182756824570899890824334548j
-0.6098311369549994407777339089304243070156093092471700368050661915496234397263262624749182048538744964-0.000000000000002198575678193283855029269589018083509365553357377868770566477673988845828051327816551556937038849071j      0.3718940155998272846097243182584731608059429889562692506505763426977489211901357641558936184099565711+0.000000000000002681519811028438528130143872631531831820281253804816116805269934318201614178281803237211158785498485j
-0.592414364569167984811269765713709751190730029491034253284378122049570523948384942085336119694679633-0.2055173096192043881209206959049131851048792762825844914090313477722738152249065488689891066109461634j                     0.3087174147947751552675918211917805969994758715741288912516342835655792505030258446316747557131718472+0.2435028127720518454689214761091368421854730775115689247181448928851858243062712396818379399016114917j
-0.5819665366725412361564502728119612864948962716172021507730803210530354123714630625964777147482269818-0.2822548041672166061342189044752371760347682896647959615365781940691474622564303702524972518145831294j                    0.2590172753311584866906866504615583149553371968833946682391676313629618209835689373087122180338950515+0.3285257016807628158786487499736983728986237595216526522970340166140076945603421347166013199765641699j
-0.5770719523843848465370382057045290704245664133305653064326244170972271561775853235163403303067327753+0.0009794626648004082233365700822773851831946236231002264970530028179609632082292274614946072575216518325j                 0.3330110788816139936516117914351558590830044822913724592596914861021949835499793599712361607925547538-0.001130440864527967739871499716175920413283420165297659019739519957721737901193080015932734384369824848j
-0.5770719523843848403562408965411041971623545599320992337803685455569022773058867180618201374734456021-0.0009794626648008209489529636878890685244667572950496890362254368682097823680863024031783380302418148332j                 0.3330110788816139857095835863242617426390112670415059744235508908384498639647421245951422417974217074+0.001130440864528444072518281923448760245697927188714901223106941517159978144708379638519633172312645263j
-0.5704422942938117724488466939278595739768844685699109091614001084332781188240496347411184526126439992+0.458332563402344889334249968031944898860537538963223801440252101643746776640404691426865466592314127j                     0.1153356724442232612072598560716924445556010580094503875044404623046141950478729843079074613146636704-0.5229045580335951329505440824532655716547485835407187660523012315190319811646600671542220522490802649j
-0.5378614024548219972391379790889687911254047613660619979264488699342817648193511195558725530799501119-0.000000000000002395741034359231991862612980276820606961882157051145138651318206165414379352865547802904428534089412j      0.2892948882506679983978288145753377338269631082716814200198455980954127283671450406481088825972985985+0.000000000000002577153265318044825803003576515025894586542870590549473229415688610143162691134862303140177078043234j
