Npts=22, Emin=0(0.000735), Emax=1197(0.4406325), step=57

k                                                                                                                                                                                                                                       E (rydbergs)
-0.5347171664292218342674534915503507391704154570957763155896333992640493620683035905348920576599324277+0.3501497177839460265459809603730122772489372039947009837810311454095547161338431654477043264212005901j                         0.1633176232099190735025894030279054882450910389382349522722641202103374007514144401189728955362634575-0.3744621298388466474941684033567607309443039482048259286456230733288890311721127894589658823545702381j
-0.5279458463284509518393143583804705903062269661414107794883058197492143727515448779155908470113203638+0.3814954510899887021963778591862482435026765855400926051052327166304594846393447768430306290385114546j                         0.1331880374531103853177824873180681568111645296666642618615080514524749058446402169552912496326972548-0.4028178775923165030887683051521417287473126538564719642321204152228627232670754299255410824238558957j
-0.5144550675657580691060408977231757610744270273318773646181116434708245505932717079673997426466260317-0.000000000000007692800714549101227107286006118789203242685568345818062641269213722544880640998630721671282060993255j           0.2646640165440887000155599929852496324718990365011471004965810755097855263389751808703589125105368872+0.000000000000007915200622746539649724264496352054704739560899424144390850653180650015860425196675694231494310467872j
-0.5039204435833443930623487185836291910837397455065753504667024937383386946753324166067334201835325101-0.4690977725851879003952865381334441695621701942740038719172342387939723702357447471876120861198719238j                         0.0338830932168499143913619192465423131247567272597642059547303351303798304258743155004923789138571991+0.4727759152901733948820775779325912592437927846250767114583503291268169696924980894481346498514369432j
-0.4825159031527324547803456267525881880213402919526433315458106948227566340355240595805184221018319634+0.000000000000004508771300382344728207590902993804504171023701382264858450831990197407034733302651423051293012584194j           0.2328215967952970856948174762121533973144710754166981929010365296900768802119368077681330069275590766-0.000000000000004351107712226214041077883821813384446432383759329454195919670082208476148879213884329262826062292657j
-0.4731294871586522507447538568465911007292778138847050147703419313595270295113291093426178828989142863+0.3686449614480720392725702619019632552093951319727135839220630862620582793861018392292386144567609167j                         0.08795240401795876495126923961347661390120558321458112034774192569548194939724963121785607743917079104-0.348833603107094907879049330446655386537125152001457713707908475770856807039883039434298952893157466j
-0.4658533151814964853455384788197495875350165194100079663847203956036573328607375755080475387194943161+0.000000000000016661933458879417370945522373600379237026813030294673924384528491741825851950847356208295736275021j              0.2170193112655907037510770155516385028534746608767247027448265046683723851910304457559108987472670662-0.00000000000001552403387830495025874280343080008226891801592113635770675315174534031911571497956335301128309848258j
-0.461775297664547648541695467078214179107256870155011260113102855187101174934961196843009902861707205-0.2526916669062209327715280441557711810632721337564230727243381233940484706792301970822441513336604494j                          0.1493833470093370736401504428893038334367932582640839062632745560430131809249888935668505256463101947+0.2333735394059417908535997674141665983729081901949717428836092415646772931229807266643676770501524957j
-0.4185942556049818347975651766781066263647017216746175000123396845544139615969804971678057224711747874+0.3707771353788845377382193048979955904433694352879457714571801340734879325420591563916160673413932972j                         0.03774546670571719427693660164541460626511418786842721948377047582474931431024591082736645596414216403-0.3104103579585434949361041579243334951522542213630677722393143994375684344994171656141697348808038542j
-0.3894598693737927858467685027228003967280877429346331808661291815225941871089436944264801595015871893+0.4033935747629730797062863694690531977054564979655477693817531282274275689481435632200278007133097318j                         -0.01104738630739861160136330101312280594614970891046110522890096303166644575439548837419837760405827836-0.3142112178668296195525504871667671552584634578744350654007084091317368211865325354292498294855080283j
-0.3600954991755671232375144201862427151111679384652803089398657956201501252601329306442237254973686747-0.2479133095202270107059699549684201912535084366341968553541207656910839022219391120232805387285381938j                         0.06820775948922898215001129822554460439213272656107658063183274081159229677218270680780971646727138188+0.1785449338879060451564046915140947730455146532868443508972830579243031464875338953650451199937987573j
-0.3490008185941743609928622894234294633042819440679789528662059424056947893348561296552745936141269014-0.3183283761224004125295331370780366718819545340805121798246022718344956420012406357100004351818247452j                         0.02046861633467937529582110148566200324569965532977496866993872346361648821260006527240954138562629859+0.2221937276969439431295346021642825847151651961448674362914848220980029555296435774998074667376205964j
-0.3260582991210847653066867523683542284831230014753361719350389991905531638629294510410674342659196496+0.3777519304406082976545448658249157330779775725704941065853940248214507557382510427850852451948450177j                         -0.03638250652587138358408675264044691311633359448701994898807616855943965730471444228527780240104759496-0.2463383038583421318001510069926249612269841061513127764229723525144122501639626499679634446663665311j
-0.2768441147963344471491211884488261178173698359184276644642523103603928731542712400059589105031532578-0.001179337361316384283075095013729098897649287673793054688679691495360811376251450063589341766557303773j                       0.07664127306075420887957308688772988114503444938567888208066974564175121550193298534492418059216399782+0.0006529852156797584923152722670906986904036262413488841182459070677703931873468660984913900448498651806j
-0.2745522606741533312491724254589769016469539421183615268008580532544937070843833093783688454193377532+0.391099561115301767090603568923995135533601270886433089326861417458568826301921544997908099852031013j                          -0.0775799228632934201801525644433875783766870622872478280970867358402759796038670445665325795610272867-0.214754537305750585425377644411012636378583077708674448048729245131989307957749147375949755593835709j
-0.2536977187751283794425466969403680155150478682886420947168953524021190640276011393412832234604264525-0.3325794432930280618889295883233544196683719073980609982665300015563688048620353613560227204985028618j                         -0.04624655358939634165459648289433683853288463785445647301298365388541570529004405625504354659825874008+0.1687492921498867790536268074667762638641856246677084045103937868795953418569451251990772611147338672j
-0.2360889173916329642455319128380743983258624707094484844788322953362182254346021906866008915191241943+0.4021495138287076620522769778552947978999537363233428128241474593695489958987939570550819284557433131j                         -0.1059862545575126411803088420498872433309324253993268627823536008771740123132082066875370442536688402-0.1898860866987822432283207568843946638602862204873785725997854883680084541603591210210401848498587312j
-0.1684185822655838193561114025022038712314592320608036251905783148717851708517879297813882431271725064+0.3728455322962414888625585305108363624587194584101000061678032754520562064787709903644773789078868584j                         -0.1106489721009184305318888041117229511327823494773654539629564911682032473507422304645844552528112568-0.1255882319067798719617981999633967241267422907890711336877875446556155060170046714892250906185673399j
-0.1668893663533483069618126093097397667364408495288687062874295919613251598563467520203912386236577383-0.2843015095944223675959356215494175840171628898710640873818727368311313967580140398890490916412857771j                         -0.05297528775584532755817673885526660535718741140531425085407411192144878795171506622976554672735028347+0.09489379757902704629236261493888155023083625731851229173209204355742089346579667160249190237159405061j
-0.1486845729732489251134293697866010241930232328123977557003494065864313404451557951372717458499092392-0.377224916211173656595865257032184248573941833514324399588332743953916945536745431539004627583929236j                          -0.1201915351702896010790564834702899922433014914413905614426146269995911355872961770439718433450591485+0.1121750511634559219543188429907642602714168353085525961818319752655032648580244171208836318720051425j
-0.1018710270007111971799294346585902527686500893117913342808382709872317093657824551025757192292612432+0.3860986920715972093680690346760751314404825886200683946503303470404252009859744781388276437732590696j                         -0.1386944938772184120066110257037369098014136896040118642933527323736637927216562441329881842185069641-0.07866454056992991509926995335344987424982206534000978165826336992240936103244788074838194707732930716j
-0.08044377365016380217597280343300445241632781708358634620946069160200404232204735437049495098389666853-0.3596742345127905249910339180593669816697556929783301128333378283676167290687956720108521006468975523j                        -0.1228943542532830467673353910456293929384379471977635976837073684756055719923653044955245017795222701+0.05786710541788570888899589653450115814311602411302643796592163538049209444886723979204766772692251973j
-0.0742926220092351495940514325662542419100652265264643578432490209773610206658804409530140951133503305+0.3816584648606000249890910549975613044372577879070752118413280871360998125376559244581624481057224398j                         -0.1401437901147427730961346995798107496712298627006318748807914101512768659859516515195778597949705841-0.05670881613302702673305751826833972418411489934044876710696607555601907041933633034767814297049576941j
-0.0278027522149751242536276571405889984322255702999397680781107178130451160494460269155002492638380369-0.000000000000000005869099786146249793580778665403520354216844792061525928498930411413099185827298079304031411407108182j        0.0007729930307273041777998937515042658199290121448916822441028715747894853621850376431924096975182137832+0.0000000000000000003263542541583753490494142819914252181252729269077919737826452549680660652849082691014054966355645685j
-0.01868007915549919601979622513427536329075305313936517268958734203614007021562473501694139402924809229+0.00000000000000001614267290525003165938285862990534367036440118048575972208609587508187355057685798625423834745524648j        0.0003489453572557155563525580616228483869829207089784108059263540355917819221429506870387380380962382452-0.0000000000000000006030928153028055290534019591246810644780198802439942030071410930733333798860669054892835332114055964j
-0.01742371266627156535259838678458328763962176858344232941958065241204193619833268155726420781644450407-0.000000000000000008238471134136519488024062259603191746035550164680853129870765021624913599088399856319283609370831434j       0.0003035857630767921809035042834000856984901031888699175332985975356590792521760360318891836382102381796+0.0000000000000000002870895077011342857901082085761580186134798745005063223857077724596883761610936762241870069811743044j
-0.002113318568951245986450890316104205844340729505939595646240153792142903634246541014011611520169575981+0.0000000000000000000000144726537007426648478398299743282292358369570637641916300239344446185147305489388937005452802124836j  0.000004466115373874142236709154777047742670322649320880356096722378911666839874602753077526805194212694709-0.00000000000000000000000006117065561556088551773178386431262778263673861485539172500551790567205849304482787573697898526380623j
-0.00000000000000001681473854840438243664832558573767812848992019075148210528856963805231459292243168785697685845067253+1111985003241400700016542607609839522057593300400393909573589423688.141604499683110524337186382918531j          -1.236510647433777925322468761113787241643417737528293892005507305467002346828850908295608984307990554e+132-37395474198501505010418994123088793033512756377981.50894923205646295648579451923385650376395306157588j
-6.690743793052885006186118278340954278728937891694149181934399801197297206598520886777696872977079362e-87+0.3665079585147012019725096263621565586046569945508038793089757460744420189712709059922437269476260974j                      -0.1343280836546139372950974778986200848321017854212135475600022121202592474260283476810464376857679846-4.904421697073442684001039387213771260086038138459245360452617035331175255813001107391473158945894201e-87j
-1.219948862268139890977480668357884957017018071808183936179098946984783677971975186197814111799466204e-87-0.0006473789806729620827317777305967834930437005671225160724564336489504813952376748257194837988155484644j                   -0.000000419099544617163413848025726435613032837727628099613121349733071774665807671222741729148421714065662+1.579538501856576432593085422450823296449823904521967609630293330023097343232837217755376604434266306e-90j
1.21994886226813989096676323725082498402957777701726700408580069835638840356537522183812384124145029e-87+0.0006473789806729620827312065383073772855316015128562821085698024573535707388094279846883106768527612674j                     -0.0000004190995446171634138472861706714449404825876400438816635698431556942496056025822755632943837608749588+1.57953850185657643257781529243258606081162070167343709762215274090196697116808853809905002397618644e-90j
1.379581724796700205077436656853371762851477085323422694718588355086915889513571983681737381165095115e-87-0.3025610393666339376188067564870891063423084820796500978950831910009873799658048155045749360774953062j                       -0.09154318254261781133163516057977842433006602732331968145238996468014143246415371331252091918726632592-8.348153610914063156978030471616013309155655958862065340831593595783249589807323505356359911976820656e-88j
1.993438617841817988510003108219455245957124431999687254245275955424276565453852934982577678939491306e-87-0.4308608571400152404857332717563667048894432759191456067907541646735947809353917455979959460373374813j                       -0.1856410782154286220370925350530018288277058629481746140426820474223129224831145613231321753101133336-1.717789343078665952876211963734878739732623365737507114507108514916454555552907600912070562470007018e-87j
9.810021648556680999742327036703486225949973427336028095556357952358043162373611958853402825272766047e-87-0.6163282405480019467450848060841938242087598409221633115298307391769619622295081501275835881901036241j                       -0.3798605000969957510082498280056277068804017699491591020805488916290323724912665571143296847002099228-1.209238676478549740366623246578498772609104146072891133933420892573624841102923294960365340691429929e-86j
1.340988333649021797756487350586810737464309881964119233043241225551112131366378767535079121232039498e-86-0.8760570191671424098792781696323877000565378211207669324637615112423349989182530120544078026395092497j                       -0.7674759008320189237225697515001044134076592588745489303470083470222893777157435573111067923823179783-2.349564484628950900229328455092233819253297220668370801418799443388994033326641939726661146630035181e-86j
0.00000000000000001681473854840438243664832558573767812848992019075148210528856963805231459292243168785697685845067253-1111985003241400700016542607609839522057593300400393909573589423688.141604499683110524337186382918531j           -1.236510647433777925322468761113787241643417737528293892005507305467002346828850908295608984307990554e+132-37395474198501505010418994123088793033512756377981.50894923205646295648579451923385650376395306157588j
0.002113318568951245986450890316104205844340729505939595646240153792142903634246541014011611520169575981+0.00000000000000000000001447265370074266484783982997432822923583695706376419163002393430884583864377940518815005725423971562j  0.000004466115373874142236709154777047742670322649320880356096722378911666839874602753077526805194212694709+0.00000000000000000000000006117065561556088551773178386431262778263673861485539172500551733181022343229913204798101400461582759j
0.01742371266627156535259838678458328763962176858344232941958065241204193619833268155726420781644454642-0.000000000000000008238471134136519488024062259603191746035550164680853129870765021622678561602843291403677848841076916j        0.000303585763076792180903504283400085698490103188869917533298597535659079252176036031889183638210239692-0.0000000000000000002870895077011342857901082085761580186134798745005063223857077724596104908592003088823423527988420635j
