Npts=16, Emin=0(0.000735), Emax=1185(0.4362225), step=79

k                                                                                                                                                                                                                                   E (rydbergs)
-0.4855154277095389664393901627337609334003598563675094109456331555293831937411714254542696271381936726+0.3574058447309455301804866254266278331892241130044918599005836673249237149895750413041034016839728478j                     0.107986292696135813232713956380976647674918153423799851759637646780953719268268446997308521341499494-0.3470521031408681857382252059534199846693846501916344956788319653477480111145751285989675355235454582j
-0.4657771750336556287747277757746161433002719215297531046035402317426571005547456325308255808608490187-0.2542333310105056015534872655193702864291309287776052783347164553472567607078688634990085045055662619j                     0.1523137901856353632339014789147480321880631967544224263123397109416925930406169506002850413173432049+0.2368321654349391540478219472228566759705351998936376569777847273757970134476230849104809349225091221j
-0.377662200104235986458445424626669412939837475834149014080492055211154465952052920689910466324712605+0.3313762933061921729083828490394389759997021264049543980291359049156202495592090253369855817605021586j                      0.03281848962222048043925503513255669899558453382152064421452519651511000011540802062695438246016913549-0.2502965999848062889301487035101184081994910226856258433324030864462221179397833816688540825716455009j
-0.3502216169505871107852857351673095651381870047211346458890789350571450238408753356837283449940090056-0.246305551889898336687951857330763806062303592382258253410047910289518175982024355463972633438651032j                      0.06198875608769636298386540937256580854756061351009253551688637463482420616669542414882266187084934958+0.1725230572935738649839206433244748074634588526000504851279728159121142695323392249158082996752061322j
-0.3417740520123648679511847343033819520835178042221384734308740956870133439628584955176764846486685456-0.3161856552317450836323652080007386634145179828165834916160435032815439736298032633245787422087236017j                     0.01683613405462271886803145087664919532358269714279647522898705842543043549400652543289682087970641635+0.2161281051534762202782233721628030434325449154845786744857089934679446608401099807209903537448524907j
-0.3147192073851662505923696716849372337162465429088177632745906888776742648406116201158711763133979917+0.3586586763948144389282875127743263298822638815993788793961747884914634107829826872963728786047455549j                     -0.02958786665613294097174259050175269616952835768364027426116550592874818986432681949523040874679861398-0.225753548713577673522146590318302499338149563748551795566999001793936878918025181773106460389722138j
-0.3126883079927198983814916206451763725743970755919712687257334575930279191463005883979273417544930788+0.2828609143316458611312631038627102363690981520367858887960419357933593297792259511763285896259909969j                     0.01776368109881535976793281835934859776195291241019188966040588486430738130394917147374762378233722717-0.1768946013992720779441981015566033456008107954655288336423661391117791620788184100026777515333862938j
-0.2768451703825398659161811909652471078383076275477403047302770791839327008661006360491453314197635606-0.001179285471016271385765297780884569176553928672282513598271205032452693494561012957852659619679222015j                   0.07664185764991537849996287177378651722611562716672649293006052791367081377223375330710465671054470263+0.0006529589743063068610355889605746623132636139257384324730149668290792465526647983493410570480131820405j
-0.2319344484490307638860111050438806594261572338946639839511050968048033555355499784452611716465115552-0.3672210076051957321583980948536926202427769899048580232248847768665939525558254988631900962480919022j                     -0.08105768004921911284141106996434896142047114445716073533496826307173791740702189693465834991800836461+0.17034240371561680726013128762635749277476459641424561404732960609043439139206234546144425016284451j
-0.1783078819873413635730356677110362024697787928217033842075304033969449302065092679061909456322533673-0.6003969371061747964193156559062284561390201653567364992856035593355279954237919566210788637177744262j                     -0.3286827813076643594252243367629627983103632579105219232043240499905084034739642874756434854282858528+0.2141110124141780610652386420679145047298752721243673294683568921084908820574395826755659058934170454j
-0.1695522586275152211333736551945476003225276994578652430919977001381378599752375694677248307371056178+0.3429371997582141800802781869092150887181189086544961945626509507375526462720032063766956469606144564j                     -0.08885795457231348615367213844773311065792608918729378826316778024421874000757058008681512602948308864-0.1162915535728011620427309869418975484881311802606617273023624993711807873707736925580782330603520549j
-0.1562164243704675651283080060408922142920241585121791630147691082334219032477476456660059400782823748-0.000000005299795202855062959260483353567783108854881751156468635469909223529122732003723530779215880104713713j             0.02440357124309398451407978035511635060030065887729397000929618958009535044324257347754964701609064658+0.000000001655830112971549500541865542696462368076731533001562413706698957772444311111711068276281180245581264j
