Npts=18, Emin=0(0.000735), Emax=1190(0.43806), step=70

k                                                                                                                                                                                                                        E (rydbergs)
-0.6367228589492916215701856664695847661514650596421160549564937644284824631181153242260702684236051327+0.3105821486852318037040681913597880076809261116547561402094175681337862385527562462733930635407794788j          0.308954728026624078210210377844123514870401426025317386992733387481017885998033371640613225002019245-0.3955095072989495360062109843402567804315121887996887909952721892761664407397827273856213141176632634j
-0.5951061691767944991277856100951477287951832551193201046940405872255752849391575856945370512733494878-0.2061698793975780257071001447609407553996286512213108369855457446498752532528240034199832515970057271j          0.3116453334214676871194252275782999050970475860450801895662989834930967947981727600317955234955560145+0.2453859342558687746409333118767746018518218665111107831463365645448472103050670358399915161264620815j
-0.5811058222191125919085081188519591466084447505683346521057190669815204704566581457894656853883243534-0.281864781338829207301163415744385101527983836771897367228160072114166422721525313898071036441253539j           0.2582362216577648879716013601628063609558441286041610162051411877397990308771969461991080664071750694+0.3275865310290214596664534540909224033263031309677659889530735123293100155021164565035643395076280732j
-0.5805104412191800269354788374981278257221163010839470488296892288014475601875445775838039670572010912-0.4721846323756520894249177659015972573801608925291728952407548767837380506382606709244154527024021057j          0.1140340453127573578860670150775261579089610993828853180208785297166982606073502345705930661455973374+0.5482162185546122250744900927572693109216883071503392021361993558095175498866205843033107122221555353j
-0.5446624349887894989771158977446004160978023350947296175288247388561726837352366472974778574174300671+0.3569115531072272087392404026756908153311234052027100423787765118035216969997873932544434348491405987j          0.1692713113465042792292849810060932650894132249626562413541316150350648773119135028514986089208295542-0.38879263118202606055796046712696908995302349727115604493132255594005941582597717754983984177374656j
-0.5272020481027563255610273426994050084072697142146392884542873720269629940809325786849623548749551247-0.4864281766549147885160787550008784116990714784131259575514495003762141327100352774590314521386593486j          0.04132962847991600611649833940113568935004564753922561095168583392125170840294335747545933140857843257+0.5128918619747208757071458895692827894834692481004699980450145339628534327500791349969163455238364878j
-0.5099389047907044777225248845908851282562688289976278785802750707825703216069685667412751434737960817+0.3437957952644925335061156132596678000253834583915863642429276777887859050203084803513731474424984168j          0.1418421377775982994140924730869319970564825802049197588000619633193234617048442868601794576089585566-0.3506297026176491747802050715911800546045060262166440821637276322205018725913187924007105338253359464j
-0.5039868599118196068226529161090439938472070477849467036335248967958230037191427005312408688123151381+0.2925071680037403153369532169554221128554630060021219695445683080887153992509865444216807688201380348j          0.1684423116302077189724503294211324638543488631015705524781118923230369593658565328883561411791725613-0.2948395382078083054006375080824803846973234711140536581074319213403180090537565244703248974883405417j
-0.4618483743493941395560101629131473282808789103005410838893092073486074213799876736428653187923994758-0.2530445931412396879912100217310879334976516052132003699269252211329700082361286814942491578708827299j          0.1492723547711625788539069115771261395977912096113382076263233349637443676832161962612628243107425675+0.2337364679603708002657835729281537088229649215566315447798618767043547635332587428273239541600157753j
-0.4270161059803214632805926081284868630720007327362467476164688091522139946189821927946509501350904854+0.3779476028107826739612050445597746898538594774553805889179629497300008422785734449360944204678664812j          0.0394983642961799923660494069592161809555368135822085230525003517392445732255341685106179225330616903-0.322779427233715232934514771911107810327049550308666849717157933347419876781251862926671566941135271j
-0.3745674229902558274834958358121484909797027708096768954045450739398242815170866779448361427668844828+0.3725102843414521370421035239994595284159796358460975545650324551709627924195749169780178846037085486j          0.001536842425411708622034800145308124770163425835415552628875035834042255987341686784743391546503905732-0.2790604344862903491498168601308594706876900147819347735566291012328026589356479247790533268636177928j
-0.3543981878957171785412528195646745234635250414819781179545773057920611109828515012712354480510222201-0.2427948673279837715132435886874176014720579107598344783219695915712458525881993698174868824286600937j          0.0666487279829548166088537857746400424364080696254583965783088266625324918061431580204726199701936858+0.1720921220228370330340704101738722689697725654438232776188020014772149376006172104525355273172545052j
-0.3470584293942129528532822519514799541375334993910723249914676922892078604709135450583791037409385551-0.3191329013462348501663600554385009466149256810172632262529775722648174911650333510930701337660725191j          0.01860374469191223193116605823408870372792828897869394187164945119715816134846824691785154168984317294+0.2215155270184851511122435291814445897155541160179566599527951624977762552892900690692000906741007256j
-0.3317690268751033919065721411725019544741348917984002201231228439299639739645588458182725837232443184+0.2837739811280675595499049799198434214026711184262736652565047415383711182936352241998929221628329017j          0.02954301482838023329282188262123201911306216342588964849415829768993367836281345933419639108393554627-0.188294835142665857828144971800179321348427830226713891572356145530171916596800670084813394910481396j
-0.2809383156319622130503274219857947914912205509329170160442038896070669867618158887075028119033152802+0.3914425077119341150625648894842561813211727943137174528283246977547001508994539278755303833064560254j          -0.07430089965368357518924767758427402448459273959523071743589716606975035614265410564754947459753979997-0.2199423975666842982645936835275990636539569033171552402162397902593269254933808643430763237076709452j
-0.2768440661703261607602783562165105502232192153792925880000015526993261224771446629153231199308405125-0.0011793640604811776123203043557724277997187903951388284522789232499337701109318498383239721331226734j          0.07664124607413277516033609800066098340146433397483568566666415843500942835843327541806026703541100653+0.0006529998839975113584466729129549893188054622826798639531613110347703367478106248914048408020608895276j
-0.2535860129693622970796528368180726637459015392071115323226414172459701987535848652223383334989078081-0.3402435126374876278275898687282916022049046055086172929540199416442673588248395537306572768190226291j          -0.05145978191819861996476660903080879438470154989460501997306439074879326798555868672962978030056235964+0.1725619916168626444337272691859325205552185026952037966087655005163271376196379674340999423833656309j
-0.2071616394493061040953405660470963704667689931022392692004675659670459709847385705007915269144988536+0.3752583041338889923267221081645517184093418533501096235808585048974736884070139059714987806845235006j          -0.09790284996211802931144906361619202993009629439264680812058605387183657594938496247595538211258245443-0.15547825100268553150856854413141528323569500753762019988892446681196123176629012242122992623162897j
-0.1463804857489686934170024077483362538858470918738608991682348608347354742608559574336502383216110501-0.3748478706796165351081760405335186940960035370713186041828072609454215397480974375002806186263579235j          -0.1190836795449384949206903084469787854947312850399324181597727639219340069727896220146550407433663346+0.109740826784097735912424437865144840378448530209830695905419208579995113137518270086289043254882888j
-0.1364646345588299204435833600021768433978388888483186959802476141453635738573573992983023857731476232-0.2503860620200325805791010599955641435480169620013980400106313011038510177091285884505685676657874662j          -0.04407058356862460449074257038393195206444689600910815978636569337889370876872621673156583435382119222+0.06833768490437653979127894058455758430161497458294995847474295330575305373021311271750755031539600332j
-0.1280572956874673883717882864704651470496282552154087869779654244591112322791351989451677763557782372+0.2545345507017019631484227431165982107444494351124209572475779227877688385443559869745220652270391123j          -0.04838916652212983355676364271333535886301531155773783038407463774920211385452972500133377631220358267-0.06519001244376901623652456042605076197362282092729589138970367091323965834340605861851543988621904484j
-0.1028103261607701359505236442175539169469882199154094057151226077218589298428978869654316210342129459+0.3802084143375261174995583750856996541247635411092182112777813558381069192005205481611851969990290242j          -0.1339884751677719995479710028988483241604348806418957872181401350781378162489061409387527969468592184-0.07817870217422058527244199686660784545549478295856409809201742090041433135601979576092190319836403699j
-0.05951501556886487211365222533335641961479138238975969597018086814470667507541923811170116449623387196-0.3910208073686967419615247144606201792233995512875627676694623738195261639631817581162208421888459973j         -0.1493552347171052161788281706148376076766309450494734152192290222106373657586590758225890656208522381+0.04654321887659619741172397327170477781150497886793977989607091771073383679730484892040175423226932923j
-0.02166304168381507297887571524297458783454441181091789279043815000722919612419384893395479782012335037+0.01129302761717624038269355447654252423554768608133801755875343039070294607113257570697107314275399883j        0.0003417549022324041186147985597554178902155580487983310430886980529099210373696838089291271561226111907-0.0004892826560147274076559518021280641307591253397668807675364543273974697551936298889946697810971753798j
-0.0216630416838135411316026115472834525142604644246723463251088522169768430828056319540682179127040936-0.01129302761716956942867276808778263773785292988701377289674495881876729517034001172414992571569511608j         0.0003417549022324884202081168571202547466685199908143841330953006544566855048814289473910034683414545523+0.0004892826560144037829587846916606205340085364406951855074066393608805819668427859532215452009061277958j
-0.007297621567039090941919646493970782836643880265633304845179067133655146054846355090637623314172406889-0.005284462471403200950991221006566897622384425985636096034119843318035346433964576958983277297202103958j      0.00002532973692404525086192403504635495069187348906355941248340729013169950364011833316488598210398439123+0.00007712801460304138925666923709023702888191909387235506410690448228759916047628414848909067053738331639j
-0.007297621567038643749864482290615764177545499871376804987955678819777722146533504788907614018064092358+0.005284462471403466485076213074657596303518981674293106484994821172896781870003177719410400974779080106j      0.00002532973692403591757533724758174298166981758275485330311686978178035783336648405788046428384325128648-0.0000771280146030405384519340312616795285145958714991595592557777353817211801777821527089096620502295035j
-5.055130137082187428794343328806902346930494275801713033506098076312416352543846319499263491240161918e-60-10391416492182505592393238.25474411088110136825322714431030830014565273867175944494176384044148918667j        -107981536714002569309387959790521308924619696235431.8471104208315428818363079887989610894775773420021+1.050599253532093054546034225304637011723766840527320604974730527421373092501977056870768466770692187e-34j
