Npts=38, Emin=0(0.000735), Emax=1184(0.435855), step=32

k                                                                                                                                                                                                                                           E (Ry)
-0.7911564885821112581592460609387683911053144585581646725157402919207551014442809817352024689710850111+0.6131978964300670397130716436849072039864901296975157302115431950130425632148339059453830084324759941j                             0.2499169292393171176329488236187820692823131471408729714174373059099265273116501781701409037374491617-0.9702709890910979514709193448085553998647753833672924047825407272166216822354216974194319321890304773j
-0.7888966063688441783440093315077594556475587420836709137150109187900023063904867012749232529156334894+0.3078409758111068866725856976124542245048768176646251571999096995328792686288997550135855255506645725j                             0.5275917891519445817100403965600270175780711159216191402163154784607553055627718525683020147079600139-0.4857094022373113435657905225499433931405430911226601455336057154405134895445356856539088182637136143j
-0.7132530243393825837890155109433498341296297404557638661595111584527785378153085186034873881630075775-0.2071865966102964042992548050991186693483690453875147970484367365474153459103072784376230758353770088j                             0.4658035909143181989880114825949476992926411293778052418184631521246193855579672160486840862327691793+0.2955529332697551647736499343105142832256582784276939739211410922563124592956614769689305905346485383j
-0.6950596152117011043779286623498388442846635600414336699636434719447955217671478556598170207007586015+0.325598769693723220532782392604471878946636002098977492189014090707686833402689155378319917763510586j                              0.3770933098721717865071823296353656815314274054907061122310718410318093217307054046705697344070812916-0.4526211111534450974166637596655412719790988090029004173597544385796192728521696736983117095510911442j
-0.6866020202193616639187115540900251730558612084811305494345241574063612062883117545361844102264782302+0.3167138576265040849350879582308328047589158913174271989574689667874284776197920979584239435705877728j                             0.3711146665566472234378145050568510356603291865418240389338444005423395141090588915629752212417018482-0.4349127489556499780994936205770242217972107032193536146452481467419862668651947349507210456520887057j
-0.6301103004103447823747244556648426735820848994060303627232803637615162185162034514792650824090366068+0.3867093339013090876997631670268263906753216487053466811884683006938087071214523975441170841505516806j                             0.2474948817568207859447416100467787821296292668002125204322457426380668791695305949119684525081349657-0.4873390691120763942104628217153676448530625245555045321159186898223491555530706847033003473130057818j
-0.6171429105748124415958127281756632429837332861953006095611511109752840929405363099696298248649789478-0.01199360013604608431280140933543800283144617550509873182310978802450418738476946062238171854412226501j                            0.3807215256285275814995625977532183404091762710525893024175760157977581056318189362225257314755122646+0.01480353059245989388926426687882436832681290279324975818119850465336198839351259052102691510158882205j
-0.6171429105747481326061364538492197474377675243557502611479757654279645413070091405334932989786272638+0.01199360013602407229957852763900272580641459200683769501532329564518624829564288728643606587663288404j                            0.380721525628448733832002287602274113167051391558136695015535393386528510848745739393803487259982378-0.014803530592431182180833648074400851269192008039185890428515513923837379117247029138573490335317724j
-0.6013774194623296768897714965876331987058766445494945154918323084819540515568065517952009793424875778+0.000000000000001368415743623149536356516812350468729538500314288298039611600461137019574864896841066142398967653437j               0.3616548006391708168438981903664042713199972168109954203942457590250672841384406659520410826870678209-0.000000000000001645868657303429170850591719684679180266027844252174397254491496069562584412152635612041593663233702j
-0.5968437636088559892325772751109770124383593924393059204993648521109623769521782336153160133402082506+0.000000000000001602992120348123831545089577291160044783325702371500403984821759119165711321611545855449882735650411j               0.3562224781587839688480234217528541964498484529690073332973369806042457045570088200708670663721684307-0.0000000000000019134717002878289015518657332146483780414232599816079515622353228966285623240066407315452140820149j
