Npts=38, Emin=0(0.000735), Emax=1184(0.435855), step=32

k                                                                                                                                                                                                                                           E (Ry)
0.2536515215533753051018263702337994163392196725231677669281235773818396742118756435647497277722311102-0.3336948277125962147736682528499386396448507696572387080004287308174104580419762270106682885909614824j                              -0.04701314365579685377524264321810087747066957289420379910771153303751139817145812747694172842427530085-0.169284401567582915665085877697580855746007364591042050937202504668758322728257700878855287104766792j
0.2645881013133138762689530194641579122959831032451986425516609902259174468345042335423220225159036031+0.4185266567021267732382222126157875570860825552039831731502654642304770974786651111923434353742601011j                              -0.1051576990136754292998407993407791127959192248778864505505807379231417284976123590694550753434515706+0.2214743468916497094511751213298919674620184661136428298498010083175098488142293179477901072397586147j
0.2768441149338956005506335741722131610766528880395190517527081402097613964423883748366348880185559301-0.001179337350482136265497837041754282928476726495212208731140875745444792912648392240901724521895731274j                            0.07664127313694575485292550600203419968984580161442366282299084402102446057537190667080109004993291566-0.0006529852100054249008586502842809480279583717960381495394462645958732474235822491898763440785249974123j
0.2969405835271682759644856281124011743581926344734501358473325211547002066050002424331972783974166603-0.00000000000003157111826478887781156484513480089374178915424188062330298720139346615917651868180331317670623384967j                 0.08817371014545519968590488960026775559717145357170187416338516634852550770516447829109012811448690567-0.00000000000001874949256030329947040293008313341461845818524247890201945839974653466247876800925973051418990595887j
0.3101602546237170078203102813360785590878918849149009295211267010570210936221849822341889994224137642-0.0238106902636616738746257887520262941486627634415415692429314784736183841649393679132236435537829952j                              0.095632434577416934695820646966010670035528642337253436270669024084613223389518964462187134784454861-0.0147702595098875284488127058259220857459604264996152269294986036556039927931281762278979672804401616j
0.3101602546239161615354465498421375537567520351854698374137665518106708366044528702014874311491388411+0.0238106902636200914291237616452988299357863159227287014010160175884706142727185147558128292575736752j                              0.09563243457754245404327304210460774786690534268412235179596908701691716302999052202939257440714251485+0.01477025950987121797989505253456879722610742081688637356646374087982066900284776041309879948124849738j
0.3224725624850416389364405315175395274919588007718991096415443145150525011202454573486316310832935016+0.4339777088065361897569936828815143221729532577840606454862645646043944112709924112566627402970588263j                              -0.08434809818530163454579575810217238175744566151515493903372898514627463057882178572345583735185514424+0.2798918076404618931961191304483704959516829271874581343760888228662822599581927096487144008648699707j
0.350283564512313904802275971244469139228623530449864747289474716400756061996213706153569037592499109-0.3121620592791372767595776585408445341687803558357801252193536275769139051092654656669623777796549453j                               0.02525342431406076199249858309413283284686526824619396746253831042565350056209654821616520574616908702-0.2186904776596008793380271933418663426463806193305839949493781786380860122859937353323581617659920253j
0.3602135552032076895114752234229924267908221875354593857841730604770798697385439327844929599568419106-0.2479099902898813035845815037788976286938840087930014965007733417046052187882560847880217045824583978j                              0.06829444206660531129611047244390360703845836134972867704885822698255285790053557772833765241284666355-0.1786010779454216824517107682429635900816182007093052948916691429791024442552399578910320988443468579j
0.3682850015079197413123137117190252604345063902860599640446268619283163870549390158498792668453145735+0.000000000000006116622391323240279850994999015406088712619167427939037886347619757344080633861179510896926495464401j                0.1356338423356884461322328568428644702699498630465105624297019117897457607411631155885024113646066232+0.000000000000004505320573223710400988339731007860218269604463643161495096527359280043682411449581168491840938049754j
0.3699516876797725934168940879077085268428229618693632406795504103842621447946968206057889911603067038+0.3353318656455032415502343444534842608278346278645063635057538443153978246257255159428201846016573557j                              0.02441679109981816776213532032715738660584567628788662171242464395096861666625129425750706679315561258+0.2481131792567213602812938410981721374363323895968064612082678089648619294207850487251650211563423093j
0.3857375857647692446987088565236595717891455269908968584029427956553532481270350032222033178307022504-0.000000000000007508856548499357990367007840480596938329946692815217256112754843478846916095117563065156733156596204j                0.1487934850716327086495800114477465749498178220999625295103391119632576148725649839887093803443927787-0.000000000000005792896393744240552802861571287132228106584826202794563604066674645503022470824871519608704183464755j
0.4001890008064530781854125256628060370116581792302898667124020104188642242636205494387746606957036567+0.000000000000003081892230010143394443845165328324193179882949895251730644554614229940912301042845340654074636453085j                0.1601512363664673024622506737701743986493456975816642451811389026862281480205433820592149539743093498+0.0000000000000024666787442418615008129469734498840002497185437578599151714454308818897780213487039327807286813527j
0.4052773528787855182631766911061216440540955936009456876800369859125278732325396988606597201003182461+0.4038602756260813516377105007585848833351230199827511639340690463540717276361979999805994198953520898j                              0.001146610527661241326026978786299811172512208473509561834768051502417893092412390897884223456924062091+0.3273508468772699079005749220151944067337200396848916526491098840194884687776271938228302222870642412j
0.4170526327523750904697765495403817033751067039243483748366686684570036351899619176707123287495073221-0.3891262459631069095605787973550173559693912090111262942916329852193250318360941483924902127214082258j                              0.02251366318834707160008495550871702892212141728637034041627609579740043323214395139258651640625571025-0.3245722507039240120805648676094344174754334493237686509811359206118175933645576843951414108124425894j
0.4390226875860054066613295398277116388508284915678222819476224071269443887027262188712109046314894345+0.000000000000002767879512514150805269774631506082570106331115578698999710758514240936328660617360553308446692942966j                0.1927409202152393058013715237639200119135524781844340712494188308846920826638471645188341597717463527+0.0000000000000024303238049964099427463354526102212394128570188166457680748680113342859401740717427303468232957466j
0.4491983849485877906385716478091336590974382751611723016702969377424045115936575228785103664838974386-0.01122730942863435047781726259559981970547001840295709040132028500607248836997813185399745065783159964j                             0.201653136563413360388387310561796430721221950498482415771391068149227087145228880138755349239973335-0.01008657852532120441449800985078253155400654461440818271156701566855449695084402464087506555550759049j
0.4491983849486191800435321837828700000625775482483964181756865334852952152914641362183252438481938505+0.01122730942870728422225209630030032897770705103318552027389286372156917903156115211889006077581984291j                             0.2016531365634399228289797284936344524314242516351402679593710600022709609113857478284324536920701658+0.01008657852538743269203932043016928504095410240580513744278600737048714197731857380110349956393773149j
0.4570516733705153396929000194546927801174048681746027358413993460327432804904508960303272750821520378+0.3234434056210303507436524991773677433150768458549878184035246149832731818099376784864697516878923404j                              0.1042805954910578730034669476885857704821979522554279629887667931969492595095208775538867305550081463+0.2956606995595005381925353537240487535832225938318392498624303175017126234037156249515862520871862847j
0.4611517221216773853454753843579394059150418377655158220548154154631012188280579190474781630170192656-0.8219460398337509833400228247760776159514926499050236481769641795091321799072009570872423048564273477j                              -0.4629343815825974026566617412939685840511854138176238472022372749128165776989695560346553352911061173-0.758083663520854209416967231183672588965675935053585776060305437789025384042917403339853046980646037j
0.4616966279545068114014182223922335021924989193856784273860920365985027156950882638030487277064840194-0.2526651591050048489900480014077214456402234682597688084813575762853411385657002694253962589310446969j                              0.149324093639004865713494171903311623182251446772033881515156571047271214872163760545963452780935647-0.2333093039207393859337994207908908595780146216726980947025611699588240615185897626574858298632445843j
0.4744327098362925209730039220524215218414862170107828446215071962668324423461909707648240098025983447+0.00000000000000085366408644878845991949285880155710007071974174789785450620509828912630612261168444969950939964053j                 0.2250863961626077341827083138485638276947684700035825949166002742087715274654227711669983894392568458+0.0000000000000008100123316476435794558331504606750052339358480883229781311728663246402568294082836835242395721926424j
0.4767244702802171384948467725730138614968040736761372443208781163069192097969919408969317784453674899+0.4216501107792747239920870848746285813232203677118809038484219760511234251821373519597878204347612296j                              0.04947740464377898695603108309152481426469790031402912162760331185675829889857644491025691688875122083+0.4020218514096892345362550181553655285907166138613959278557659905943417598501022246144060327273879683j
0.4857555526498908832254029283958812091627433786059367971383978316469702222601849259651886713646030935-0.3560172732142388942414557253560329950908486278035315642541857995099413608775337158103300824825814007j                              0.1092101581032988910215491943214245147700062117677880716506119665824263489985106823723974305576101614-0.3458747346061796169296584924948188945479767214671514682470345116165590173265329603480758962550812148j
0.5032105624791471627541681218876392965371224709077454288038160689472326628177497784527009324878863995+0.000000000000002911342414311056216450970512899812713525302959390275271701021783726005395669402306166575966047264039j                0.25322087019057967033004282048202030298952803489075603052344664688861009436366263403923710102106418+0.000000000000002930036507749729798233797858698955895146787543985016513100779979906003669048355287929489590914216154j
0.5140469559019824272333923181919355603648316998519430702420551810733429296800771361583465250359364744-0.1874238570914250507229448166850770933503486945483505074056567676984948504099277510727859402258939976j                              0.2291165706650677459050526382295097900856893678617143041876529114000421846991334357065991964690460983-0.1926893264025104589512366965614373553314997903985640966167270680385502622586387473554394957285662257j
0.5140494863025881249614562308768650223418180372021895098757373299767521456813823056515202846392213209+0.1874230255674851524275556592700437312294747409364834999785261239944654239414385647381483523823253516j                              0.2291194838550845431606837156969415826549851210583668691330023638490429959454637859750752287095692472+0.1926894200284851655981700845934356176314327886600915540404496591991517324216344608109596842675055727j
0.5144948847511428985347176754266697985229779115313907037720944315603410973029782637310374492524474614+0.000000000000009559023217398870632308167740957908928200769850018450006164334318373948724740858525812310045410002031j                0.2647049864350918134623023347105505050735423978139775423566424151649325224473874745520548458688699281+0.00000000000000983613709713826226875609559394564222257620795126029971080047648979787006007659186263925332522382159j
0.5205472124516646104663363863637375155638008980838132499928627303145351827668668938172489053510032892-0.0000000000000005823703452055694080101529172094278438086685534488566697626657941320696945169174186140309239114124102j               0.2709694003911984516786357718989649924031547486278545619625205861863784793307040249327777920542875824-0.0000000000000006063025196225455946531898551048773698165069186391496033983282689975631960581722171025641292834107933j
0.5366562300139990939918378507497634809248946496580078047155742379406281001992864127835570619557272087-0.9981760868532970759676951475292417716184988909835245252613679650431895932384033152930866435119801247j                              -0.7083555911529225656871264313169469512364068850858303721744011397251567661623678076246133756872717736-1.071354831321633065438222174879639895950837201508304423634579002762181544090721128401507345548129326j
0.5367217541766735778672843174349582086994079981449673122221753670094611499930701429517862187999589527+0.3195138252091944614329741640629886953706717990526350395188843836347836805349141062787573900493255909j                              0.1859811569066739511016909539910762434834279037032432054305277977060984790166070057432492826600420931+0.3429800414999558378903234707402238240937570527263921688808528655258255716576804082890292659416560815j
0.5422343326303892614938297395868656212966218489794635802616366424469723572530322102763556318343289952-0.0000000000000001197783052466172495592826079135666548050734699287536346217802952412892667005062086997907759918079018j               0.2940180714831236246095508029399577758725108327900339993992437184708289076535247253372044103015970016-0.0000000000000001298958188179971139237049185777051284153209730990933802749353492568152646132253358340819930745264262j
0.5427268325458366868271092686332822112205649291585724311666065917221973037539370678516154307533238984+0.01405403766977853780860714778913477537624605328170315803042100662664757769835878471188920776398560454j                             0.2943548987904131018071045615967304782768495096567451153961156701737631199833808605775323529924323238+0.01525500669799755464934576780384774533439406276610806144338292648360626254617419575151850381829934278j
0.5427268325458636108510671364242219895771160726312406432854999743233862973321804706223408661815507551-0.01405403766974815403016370333025286365046820959434595791999835507186674921154790723247326326128255436j                             0.2943548987904431806171222337608921973643522005013390031992015485623334129455191011459044590950657719-0.01525500669796533124816884778869580310471599147139337728210026907316871592750231234846752581512363031j
0.548096682138606391098187718965627546688682464480205964758725097338127436047128699723609614473210657+0.3733410946920372189534834777495406700590979886840729006413132205356501345517719547397867541931527307j                               0.1610263999854998288444961558049336573927123242059553496394100779959981268565434965760515826779605506+0.4092540306134017466256437046742094053161777343782509568317334516851559172370037300393939107222832323j
0.5795278264871538779878336446513033617247192118623543087002591357633875461467383519491233302621208405-0.2827987833817741167411043775557569801931662321812350997939820795140178430785055507113229690325786717j                              0.2558773497907131315765159095965062691511376188262309030348954346942411335035681514697243818607476291-0.3277795285329020118254300195272460130741723296262608643537964854809929532792384181446180159151312625j
0.5807011056708976902752579479609709470904231611059466169440480724381799094930904481947366117588332073-0.000000000000001143073787905620279872007656063330784593221589537426510889399039669762198814066962920174765978205429j                0.3372137741274030856196837998973059769700918012038565354220378418056406316275413806349340480804932186-0.000000000000001327568425000429792704309666909189474532079064141554587427530521114692577987688672186820137744683559j
0.5924490352730992403161672687716175393111069513607827354415879866162947980261573651118817229867295708-0.2055486926102720396510445539702147614390376625632273007953740773378409040857072379121838363110238893j                              0.308745594362233884442355330241480376204521979912452907843550573582684157631967699437945284612602577-0.2435542492772049855571795234115515259330587258905785799066673125072270464994674081555504571787372348j
0.5968437636088559892325772751109770124383593924393059204993648521109623769521782336153160133401740834+0.000000000000001602992120348123831545089577291160044783325702371500403984821759119203497631084611701317210460866139j                0.3562224781587839688480234217528541964498484529690073332973369806042457045570088200708670663721275246+0.000000000000001913471700287828901551865733214648378041423259981607951562235322896673667370324227906401025461132169j
0.6013774194623296768897714965876331987058766445494945154918323084819540515568065517952009793423063273+0.000000000000001368415743623149536356516812350468729538500314288298039611600461136309895636229583661151426362790625j                0.3616548006391708168438981903664042713199972168109954203942457590250672841384406659520410826868517633+0.00000000000000164586865730342917085059171968467918026602784425217439725449149606870901428578877193902714526142044j
0.6171429105747481326061364538492197474377675243557502611479757654279645413070091384230432674852084802+0.01199360013602407229957852763900272580641459200683769501532329564518624829564288216020309462722020379j                             0.3807215256284487338320022876022741131670513915581366950155353933865285108487457369118689140656838015+0.014803530592431182180833648074400851269192008039185890428515513923837379117247022760713030443531364j
0.6171429105748124415958127281756632429837332861953006095611511109752840929405363120800798564375098471-0.01199360013604608431280140933543800283144617550509873182310978802450418738476946574861468981889286052j                             0.380721525628527581499562597753218340409176271052589302417576015797758105631818938704460304766895303-0.01480353059245989388926426687882436832681290279324975818119850465336198839351259689888737502732401171j
0.6301103004103447823747244556648426735820848994060303627232803637615162185162033477504412676290540347+0.3867093339013090876997631670268263906753216487053466811884683006938087071214524409516585453314886762j                              0.2474948817568207859447416100467787821296292668002125204322457426380668791695304306185648927291789292+0.4873390691120763942104628217153676448530625245555045321159186898223491555530706591805696001118108939j
0.6866020202193616639187115540900251730558612084811305494345241574063612062883117487246109673240703301+0.3167138576265040849350879582308328047589158913174271989574689667874284776197920967149910338237836552j                              0.371114666556647223437814505056851035660329186541824038933844400542339514109058884370123955233051199+0.4349127489556499780994936205770242217972107032193536146452481467419862668651947295620222620105681252j
0.6950596152117011043779286623498388442846635600414336699636434719447955217671479189700799800116968209+0.3255987696937232205327823926044718789466360020989774921890140907076868334026891617409323893556804923j                              0.3770933098721717865071823296353656815314274054907061122310718410318093217307054885360661717309292211+0.4526211111534450974166637596655412719790988090029004173597544385796192728521697237705891191186155931j
0.7132530243393825837890155109433498341296297404557638661595111584527785378153085189399049053048597708-0.2071865966102964042992548050991186693483690453875147970484367365474153459103072780601152019405933637j                              0.4658035909143181989880114825949476992926411293778052418184631521246193855579672166850148524888118665-0.2955529332697551647736499343105142832256582784276939739211410922563124592956614765698157258332919698j
0.7888966063688441783440093315077594556475587420836709137150109187900023063904867142227827281164861811+0.3078409758111068866725856976124542245048768176646251571999096995328792686288998223868337504682022181j                              0.527591789151944581710040396560027017578071115921619140216315478460755305562771831516853859916153514+0.485709402237311343565790522549943393140543091122660145533605715440513489544535799926725978651948142j
0.7911564885821112581592460609387683911053144585581646725157402919207551014442804515633988235258594639+0.6131978964300670397130716436849072039864901296975157302115431950130425632148324357837242576253346095j                              0.2499169292393171176329488236187820692823131471408729714174373059099265273116511422724889852534139148+0.9702709890910979514709193448085553998647753833672924047825407272166216822354187209630912776645136012j
0.8194688421490564389207896994568371700209688813439866065633818451312289726718171128847472988230879231-0.1678121958425558241953484703846518332614686072866337132850644596485335849998789126211179450877590683j                              0.6433682501796148685659329633668070839403050257106449823035247148993419352168381209889082788613205811-0.275033731651179847786974628316707337870974185058731636198113785578470049350258674275853281714571618j
0.8438789244261483463658534374954621587471312422994048156288802635849333553949103144140062279457402264+0.2353530303024006542154334136371679525324645604269012564596310408372315830687258068381105613479106812j                              0.6567405902181102715941786224656713905846533161685567124263447653452881398437159007215514002222404801+0.397218924144049126743553294156224088484127021735711532204306464739486942298910189282158163968095205j
0.8509657142537897796011377936612697012064997549941788664871316090211297593498484549409485875419876364-0.2757157124896793257177470195895017385900020304351592688680062482813503327271017546189873425672649397j                              0.648123492721771085949096064701305971009541241710498349447271073745523655873137134624924511903013163-0.4692492364195450298915350918698383566373855454327173816164017274827981438756695246674294733464914243j
0.9252007694033328934809857267250831244145525733543485561523733833204515245920541335422765135887247415-0.6973117586849129659737401284148844730695701725799048667423502291415604858032535640947934586369133564j                              0.3697527749042728743564919929326823016308514315585682347028112540780682485534328781049391799044383317-1.290306751298545348211352051280035380835697749169419675188588122563810748761718800304923214418109452j
0.9628555954148593146279019868152704597160394055168127133756816412124496897051548354642773063345994289+0.1873848833267423479666466772797545623069901043623645202774869436625764571408106738260520105118052277j                              0.891977803122326407230278480163363006668816443199283280632583113643971048525709029877410533510919331+0.3608491668146288942633686709583451262658200905757347596901165912638157342389569043068891628323166312j
1.01936703193530483907100310821577547436399788506349666570220009674129325779886656416627444596132636-0.06618656606492693622315274333124247343996335979205791983531606134714722500843228251376588173615196017j                               1.03472848426912585773903912862053450425218670626733478684508633226219481214009463895450012827288311-0.1349368068071890794634807379455428286387463859043068226509494317524461492927038140798058188432378446j
1.046048359972801969132531040909928629914519049896702045160861101573402037081964618957822526576291742-0.1195404048167060426351340426066401625622278682961324647948554570584910682791947572673558834842576199j                               1.079927263018046731593750112697471955590081706023592894346599170793728024519560660558397215102732498-0.2500900888180003857609150753290413355147841958891187986451935025652407797221391810142984023340184341j
1.341982211634629462224351848284224582755361748884250866431400775510292729047446070629191582569227904-0.1131179640269865239146929242187889076564354426349459103306251369619571898434466005122648155123297312j                               1.788120582558160801883844878109300876903007224726237252092558041847484461583903991231541332358990319-0.3036045910810836634172080425720406901405973099230516995671567018515306139136148216137067542004480262j
3243373533982912835887141497608283938567404593864.193879780095255306821833676323777932425510415094878-0.00000000000000000000000000001326991508285955220285963302285970860025734315790418256859332467637890120107367264026411671598656087j   10519471880940809044290772259689084610504664200346657085106342488820442659636643772032027346351969.3-86078582755894686874.12363072544399648155431557728517364901928948452019112637343851102124208347769053j
complete
