Npts=28, Emin=0(0.000735), Emax=1188(0.437325), step=44

k                                                                                                                                                                                                                                  E (rydbergs)
0.4710761041175545365780437191777641744995251022578133194380128156117206965021760969658774581697973271-0.00000000000001240161789821568363194995038566635008228096090387370403897586680864372005517998558822763636189022315j        0.2219126958705730822112397232601409537401285590412770873745389557323094880465550238263080098601662759-0.00000000000001168421168849195848375653960331158686469129279390544936555163749384454192482069877775158873874523779j
0.4982459584557879729545803753395210469009348025095343535788745082311871367233708280726366721259721388+0.00000000000000491356312773275413156154557205337211316448303473256297348095655365702886439713862865154051824580413j        0.2482490351175267946670086554639806676236454098702039318779012111246977908019260976579699794104988158+0.000000000000004896325940020450856464040415666023801912768874993202279274433671755491382139978446579614761931811222j
0.5009940021448471520911581426727700695172809735992003362725751585848251006711314639981533337232004129+0.3767932864089725281119601689303277049756996498355258294346262626560551957784952538524269843084419003j                     0.1090218095022371111605604462389205931231059616674669525718075619981315544716445653254293741834974403+0.3775423530786815800605523664017386739539723995749667667112856523883544754959083537395491806640266552j
0.5291632500755198088798067457166741272916124547780144850363669972025682548004439682101747663433486558+0.3592864150838990679670343325431434011962445814704228289353419328192983269281335577656237019575924997j                     0.1509270171666472993076647747555355612351615116017757412481855936010888481757953208555707992194056875+0.3802423342275565897553075068190706587814412901620262107732602222225041042370715671474415626862260816j
0.5389094210564299207309887858292072490104944983038545223199330505405837064003596041438837763405455205-0.08674292639792183101843431611490070769956091308445832127639505767593844604206809707557318567597384631j                    0.2828990288233011887776355739728335710369707274424651967968779995072411693100045866328924268547173649-0.09349316049168913203602600232305009198632069803387341794601056829508492351007773377441640948363598154j
0.5389094214667748065688348905291904491462815389723841467450564236762008051929089038703869391335198657+0.08674292661353666410355609356002873306109943527380340171762072513174322621665574941653624139548604184j                    0.2828990292281725154270038517263689304957733147476509228641875366959163439671421766763219611161440345+0.093493160795271894411134229893348403780229200319642497350420953845835434305884824134215229975015468j
0.5494589208762711527628979330613704869955592063283330598035899836993772761060026768218730301051634719-0.0000000000000005175772982164840217959723174423107927611874025433557841374723369968982338050446601478016640074414946j      0.3019051057305164032163649619044159626555042003223872602126353262888020677340040020772338414358539769-0.0000000000000005687749274961705851306721201386864793305097011814688396134863543153113126910477456966024930684668883j
0.5670414951746004045639661157412644226546563768939084176005555081118564007952374184393967802566472124-0.000000000000001363674257760855919385020643157605262165701473744195228425569465834099430896414496520225823458372276j       0.3215360572498463738935976400705802549630656550566776000312755533605046582492972127694439024602516253-0.000000000000001546519780103658340212386478596215535240810446632185411586470961595042543583368428140111968588627164j
0.567506682407158566038152875681932038850291557152732340186554953464364865673957577144851066860017329+0.0000000000000008326779817586859888408993536700025906075982536598448172352812506081804991127849126441211719704460197j       0.3220638345767795378861581456715750211178614780866262929119533724711123590343290008865375183533040746+0.0000000000000009451006378827207664627952457581629932413447742968547622399352499779344340781411489741882643693344867j
0.5734233726471962663542006112045617818336793426963796442523418263549538058249179494934395857152766667-0.5579910275589827551263952323003072197862072266706538393267701632906564624206300344173678047773493506j                     0.01746037746175586268713942737857944821707370086443838834695266517910009029505397376288679323110063975-0.6399301938594930600594906743892280084792345036755550754217087467539622994394649304962100901584843667j
0.5833647688759966069801049957137384411960783325471064766365043075359478851552827281098255872029855166-0.2824020865882199368753080142207969729698384331409653751802405407280441843335047039577047943063830726j                     0.2605635150563644688200890139664957723454397371126174754424993892243645822534123152006407957159046941-0.329486855945272209327242369587716171871480130682583262802014736277685641714448249437941125654724006j
0.5924140145025374070737154624456316147642296338473552744568319838876907973381666998922486341479044599-0.2055187124903067719449943287306560584797664365312163888404440264216106508994835827195458644218692488j                     0.3087164233953392245215007183197602331804471967196182536559534679747371431168069378289911881435925458-0.2435043310435508234786477244615900939488028430943625529035599825002909904529498877311104762986115283j
0.5979978742233016932480898662932091768762595748800620002806606121748134053000240635539984308952715775+0.4554731004561045698897038804399564323479691804235006148468981746626831239315311986359408123439216696j                     0.150145712336491026744087887729726308343069127253919750464189339379669891075216888604199091141374602+0.5447438916772937553530656364527204909351176705210210648076295580451373535024968546316439032147145761j
0.6375911116389501737227715565153076210491289385333167781005110364752875847184569750589175613504399543+0.3483643264115597458345633698810188668095590034954667847433559489914576399541493813036787015094674036j                     0.2851647217248124805811877938387584243507978832504112779350460172341401617108265608891076573007113475+0.4442279962642009369380385528761255557026854387146282128501054106660133999203251971025586307975585242j
0.6801578324394441370634041178681826700973722052894902600531755545648302291995364070986078612505440571+0.322536249636418142286363867675042938802760853854058196434621707126996987263749766783359053405810318j                      0.3585850446991971250712105090082831919923478129265452411858039734949900713977955532191030337248031726+0.4387511128717072315922064641957510164568425974842478744597026937271136856951264059634213451252409249j
0.7134131433041752353872309732707629299572362376733548733987559093122008793995302026452882994006793811-0.2069742040460001674236474742417984663578386261681419548869950789209558942290006328588787292082561713j                     0.4661199918986683584183927663203482329614875164620965602671589131459455699289139522344446555721147921-0.2953162349826734465100148626673088487885293828212861044557342619526136326390017821725250496878149254j
0.7304308677091987521710361104752067501821829516604699667837742751329105922668458383174710289950056729+0.4078141976847743791376647687280662995506121148812567731763330759665709640479738324551318298430690715j                     0.3672168326691367717728623764549524006219827522791075834114553937377007470072345124049184173202273281+0.5957601565580409251371708452639470403717117049036128767679676028620152758205924837297271023731888555j
0.7813718593580488543392411985938415031609688904900687169802990814028582596009497827703818896886691715+0.2857871637092855497198938041839164184356722563364248157538280890411772461951659972382615772691699461j                     0.5288676796556564994581714251235094507692628493437143420913500126084989925744455715272696815645847992+0.4466120949763751041948824225064183597115042976511064437580060356607512916000838939519080893163156316j
0.8241746793339069591855391643480217321476851054605736236407252449355533238786195157422491496763735082-0.1703546944844871067468504838212519520416526259139802526369205439801652815111463267770576345856539681j                     0.6502431801222454210483716859552746785015889738229477696807405622038665852030118231705330404081240758-0.2808040513995556994020417238206770668821113718294950153926895165978538230224654455169969669299402445j
0.859071735413680352212843930882806770091834929491658684479079259821861568895104486103146091607465285+0.3083314009440662918056563191016674163150418753536798777425018914986683703991921137939120874125207404j                      0.6429359937785418572111750388837580545949776453833075866021972081451820649221466838777084330209086288+0.5297575833831006195946448003228390366349936488268022683731564872234111390600250453942493041222819504j
0.8645472399840920171511540374350846747305352459604232443812440898599496832174578681709376044518626781-0.2670331154976197674518298352646819071993564011201283333375636919214728557085326586913987428796206111j                     0.6761352453917460562442779359968945244887750234629663251727378609336595722818610209046039952902426413-0.4617254859756408765970225575259645158975299514585470260844027872947184880671979940606977345139347615j
0.9529796597038818842004140769559247500141127175892801039879391108686422107341387401983298072803545908+0.1622588702646492014990947212621295630682575561696777903182013303424940077961002512662127454453601856j                     0.8818422908297662566252958654940143117182246143311949737042252481770650523659421754960593308279562962+0.309258805937483430258682793078727025001871426197368932084483568788189449990922470869422772880079236j
0.9823320289278159232980213148140997990351068136711019489474423405451201355341068966482944140485289951-0.05311998548044189374483564311904868490675141340342005762678834915066208539750360271842208243173258304j                    0.962154482199997022339898901017459587829960492646048304354767925055380592851876496087263786761393675-0.1043629262272372163852771876806782655156813958536785105300682364485899246618768042414163454926297893j
0.9883345961956622132938736705783746714488494116068622815786292996966763883400492719548199761984225606-0.4150860668066106972053746369357388465128646989593560838808812828239539548040451944344028023942797479j                     0.8045088311802606062512035076334785166913190218969295501887003084179912838972718067600103988424217188-0.8204878404475145041811648578552115622959743006044949990139296871190121677338944307079119986868940805j
1.034309797239196133431576038789438784721186713892995714469691952920942479888012310477747963882160488+0.3386347033484811443844499783369441975129843365264062494635479417948573577365437883800790661719570873j                      0.9551232943530731907019156619328825014960016300829672155704296191752028221093926550682704423942588137+0.7005063827170457287866272241565768899342099186127087554555129091767502228247284978356852121453712327j
1.051761823845760774446656637515519963008813880723534479396375042376880033732163086956185136006463539-0.1071221719085956004661227893949557178723515356059887426871515137044450416038403583949821116601229465j                      1.094727774384946409231620754757834240168377753765971748611047556822018526425816234427409003898655766-0.225334021801807258379701312254318528736703829899533408012373496373664452818596915382875655043985011j
1.167890952432820258302555447824204373063569844701250753608881698194840401635641045023570246170729474-1.067053383643295775967493213274649963647099743290350389888213066989873837885559697730107361521333169j                       0.225366353229833473769771230095352843345761446088108850388066690507058935895886838013752594985940561-2.492403985039664506686722883939921005670999937077027960792461070899241933571718615557971002256622259j
2119498617931936253464431049360263813784175487066221744807733811.156363437717599117450383614139615352-2119498617931936253464431049360263813784175487066221744807733811.156363437717599788947078291008757051j                       -2846472632626975043142245711764774093452740313535.533559553698876452403438453841436468982841140599185-8.984548782830775781137102632286392098384863547346442124654734752770815854516118242564971797169543143e+126j
2119498617931936253464431049360263813784175487066221744807733811.156363437717599788947078291008757051+2119498617931936253464431049360263813784175487066221744807733811.156363437717599117450383614139615352j                       2846472632626975043142245711764774093452740313535.533559553698876452403438453841436468982841140599185+8.984548782830775781137102632286392098384863547346442124654734752770815854516118242564971797169543143e+126j
complete
