Npts=28, Emin=0(0.000735), Emax=1188(0.437325), step=44

k                                                                                                                                                                                                                                  E (rydbergs)
-0.8590717354136803522128439308828067700918349294916586844790792598218615688951044849579397474556559286+0.3083314009440662918056563191016674163150418753536798777425018914986683703991921164507730425108001815j                    0.642935993778541857211175038883758054594977645383307586602197208145182064922146680271692309268320952-0.5297575833831006195946448003228390366349936488268022683731564872234111390600250492529114540958165355j
-0.8241746793339069591855391643480217321476851054605736236407252449355533238786195157795940608305481924-0.1703546944844871067468504838212519520416526259139802526369205439801652815111463268396828578278200095j                    0.6502431801222454210483716859552746785015889738229477696807405622038665852030118232107534992137304128+0.2808040513995556994020417238206770668821113718294950153926895165978538230224654456329489753580327993j
-0.7813718593580488543392411985938415031609688904900687169802990814028582596009497886178369849116879552+0.2857871637092855497198938041839164184356722563364248157538280890411772461951659944974315823463350573j                    0.5288676796556564994581714251235094507692628493437143420913500126084989925744455822319314630154634006-0.4466120949763751041948824225064183597115042976511064437580060356607512916000838930109484438443750194j
-0.7304308677091987521710361104752067501821829516604699667837742751329105922668458375323403088367052545+0.4078141976847743791376647687280662995506121148812567731763330759665709640479738404760329932938369492j                    0.3672168326691367717728623764549524006219827522791075834114553937377007470072345047158762455763798395-0.595760156558040925137170845263947040371711704903612876767967602862015275820592494806779786193268435j
-0.7134131433041752353872309732707629299572362376733548733987559093122008793995302025173241668658425331-0.2069742040460001674236474742417984663578386261681419548869950789209558942290006328727128014313253508j                    0.4661199918986683584183927663203482329614875164620965602671589131459455699289139520461354753542054794+0.2953162349826734465100148626673088487885293828212861044557342619526136326390017821392933186308589898j
-0.6801578324394441370634041178681826700973722052894902600531755545648302291995364078541412561843531056+0.3225362496364181422863638676750429388027608538540581964346217071269969872637497660077850900371054891j                    0.358585044699197125071210509008283191992347812926545241185803973494990071397795554747168381113580907-0.4387511128717072315922064641957510164568425974842478744597026937271136856951264053957697488366297436j
-0.6375911116389501737227715565153076210491289385333167781005110364752875847184569800973549543093734384+0.3483643264115597458345633698810188668095590034954667847433559489914576399541493814649494323033673024j                    0.2851647217248124805811877938387584243507978832504112779350460172341401617108265672016715148947583493-0.4442279962642009369380385528761255557026854387146282128501054106660133999203252008186318969708835876j
-0.5979978742233016932480898662932091768762595748800620002806606121748134053000240675345931938976997543+0.455473100456104569889703880439956432347969180423500614846898174662683123931531208136998230317206309j                     0.1501457123364910267440878877297263083430691272539197504641893393796698910752168847100213444295667585-0.5447438916772937553530656364527204909351176705210210648076295580451373535024968696209758575859236636j
-0.5924140145025374070737154624456316147642296338473552744568319838876907973381666998919993002821747481-0.2055187124903067719449943287306560584797664365312163888404440264216106508994835827200211890767092092j                    0.3087164233953392245215007183197602331804471967196182536559534679747371431168069378285003941687405791+0.2435043310435508234786477244615900939488028430943625529035599825002909904529498877315711687224130732j
-0.583364768875996606980104995713738441196078332547106476636504307535947885155282728286942052994228361-0.2824020865882199368753080142207969729698384331409653751802405407280441843335047036386863079769695639j                     0.2605635150563644688200890139664957723454397371126174754424993892243645822534123155874707803760719608+0.3294868559452722093272423695877161718714801306825832628020147362776856417144482491657689535824229289j
-0.57342337264719626635420061120456178183367934269637964425234182635495380582491794913122050756279129-0.5579910275589827551263952323003072197862072266706538393267701632906564624206300145938500364321572582j                      0.01746037746175586268713942737857944821707370086443838834695266517910009029505399547016712115376038923+0.6399301938594930600594906743892280084792345036755550754217087467539622994394649073574432660066955836j
-0.5675066824071585660381528756819320388502915571527323401865549534643648656739575771448510668588512465+0.0000000000000008326779817586859888408993536700025906075982536598448172352812506076450213002460404153614154615126648j     0.3220638345767795378861581456715750211178614780866262929119533724711123590343290008865375183519814471-0.0000000000000009451006378827207664627952457581629932413447742968547622399352499773266596043479934684603274757046512j
-0.5670414951746004045639661157412644226546563768939084176005555081118564007952374184393967802563824043-0.000000000000001363674257760855919385020643157605262165701473744195228425569465832034173479829494458135020147411634j      0.3215360572498463738935976400705802549630656550566776000312755533605046582492972127694439024599569436+0.000000000000001546519780103658340212386478596215535240810446632185411586470961592700370276526843851450918990270457j
-0.5494589208762711527628979330613704869955592063283330598035899836993772761060026768218730301054417624-0.0000000000000005175772982164840217959723174423107927611874025433557841374723370097869289429120375132649176393955285j     0.3019051057305164032163649619044159626555042003223872602126353262888020677340040020772338414361464536+0.0000000000000005687749274961705851306721201386864793305097011814688396134863543294749297349594497296594712849347801j
-0.5389094214667748065688348905291904491462815389723841467450564236762008051929088913691707784417961338+0.08674292661353666410355609356002873306109943527380340171762072513174322621665575529805228461106123514j                   0.2828990292281725154270038517263689304957733147476509228641875366959163439671421621819157945112245842-0.0934931607952718944111342298933484037802292003196424973504209538458354343058848283046398943550541841j
-0.5389094210564299207309887858292072490104944983038545223199330505405837064003596166450997757838909156-0.08674292639792183101843431611490070769956091308445832127639505767593844604206809119405782102242395066j                   0.2828990288233011887776355739728335710369707274424651967968779995072411693100046011272982891462803136+0.09349316049168913203602600232305009198632069803387341794601056829508492351007772960399244793222603271j
-0.5291632500755198088798067457166741272916124547780144850363669972025682548004439669415244635290508445+0.35928641508389906796703433254314340119624458147042282893534193281929832692813355597786973581110941j                      0.1509270171666472993076647747555355612351615116017757412481855936010888481757953207975559914239776095-0.3802423342275565897553075068190706587814412901620262107732602222225041042370715643437965259767743715j
-0.5009940021448471520911581426727700695172809735992003362725751585848251006711314695760886337540432555+0.3767932864089725281119601689303277049756996498355258294346262626560551957784952548612855025269780415j                    0.1090218095022371111605604462389205931231059616674669525718075619981315544716445701541914003159418491-0.3775423530786815800605523664017386739539723995749667667112856523883544754959083589538704600949548402j
-0.4982459584557879729545803753395210469009348025095343535788745082311871367233708280726366721269079709+0.000000000000004913563127732754131561545572053372113164483034732562973480956553656276668414061671744763398617838456j      0.248249035117526794667008655463980667623645409870203931877901211124697790801926097657969979411438757-0.000000000000004896325940020450856464040415666023801912768874993202279274433671754741824922908902451348548553323406j
-0.4710761041175545365780437191777641744995251022578133194380128156117206965021760969658774581705833662-0.00000000000001240161789821568363194995038566635008228096090387370403897586680864435973384160453657423007054520237j       0.2219126958705730822112397232601409537401285590412770873745389557323094880465550238263080098608909783+0.00000000000001168421168849195848375653960331158686469129279390544936555163749384514459948430394904822090808159682j
-0.4617555822813320297099852410742828751329033880805134746163513286348251772187090504951903960948293439-0.25268085564369436571930952382580502727936223210351784619031090145507267381094137621129334715376828j                      0.1493706029591424835154806859093928362613883754427224601597346108146221301778342126983287974942753371+0.2333535912581985889198738659701065492613344010176071767055405709656402796713917458179237493188266845j
-0.4534823850687009981374192745396593041948037166399603967481010824930860572128696986430659541033262564+0.4851301268415847378655036298964573502715625377894585794699370006553142572362484828893842063670099446j                    -0.02970496640173448656980763718689325847184044780447278634928848007692981262062408363017349117506628173-0.4399959339776065760947961695848694915613242841250406786420967282310124789713229504649974753950840753j
-0.4324218713721493872785018697016795927839604557591600764743979211472756149112208542090517100817983235+0.000000000000005508500988987516052189898324046133507289845145860823377659833704159291040762611103199978682518094431j      0.1869886748409917098154419195682177888158712737727467660358985375876767468327538480838105787891006516-0.000000000000004763992612226634709610430309490996758858709700737585090241626698392638075277865404997956011345645719j
-0.4250555303859517383741130007735306712899021634760613410874820674257139689927606454564272243876097427-0.000000000000002411371309419036131943476026055987119365364937350473126681417973446962016405179217658317363086118471j      0.1806722039116827415670186239955520371747205699048111713611053228563482878553675142356225280944243398+0.000000000000002049933421765150687776244508503713673693094033019289532658221124217649303815771192034365033159407678j
