Npts=2, Emin=0(0.000735), Emax=1199(0.4413675), step=1199

k                                                                                                                                                                                                                              E (Ry)
-0.662065614547478813833027667232768928569414051537433768370999376949399357065235801757590047285679738-0.5920488987147682140804672086120034937796601025528118104084785205139522922323268409507085529376189263j                 0.08780897949676091891001237533939449172070373996589380425010067731802319976899599179886119284558075702+0.783950435939502114644759216551139012742890365959535769364544750083336398808354297324618393742350386j
-0.4982645729125683701691220887976145208382979888478229383535265031213025143901668702449758457298350145-0.7744432288678272074172407048384825744035688829358757965562490374859859616655168540767826500761436756j                -0.3514947301194816308710995299357192217815431394399950142416453251364948150082922282030117436509481468+0.7717552493537167264602642837060481744564934777001267898899436272672000807950559191757322577658191965j
-0.4931328367762926599359611265729259246144423292876228640789432109447568059411927771175308396680912868+0.7504330467433812656439263442422587897173826638225778547056049346213884869420810215794996848276565189j                -0.3199697629375201530625908305933178078317186689303747300938262794871633626584603537596959633994291947-0.7401263543024796674330513150325891731946242309613722534247208899153632487155551906459167331164425251j
-0.3573415808727558219291774776295378504484584570568212547081814946501711962607470407966308033977352578+0.7617738746126006090482042578465132285239557590520032640641352857885134617675598650998737003931692288j                -0.452606430621653865227654946067915788550504502680983474058344816361485659977477769485616380735033153-0.5444269612432623472158840689863640881593293479757374684558332818560940011627063473800119339335671212j
-0.2610293290839662547152237644086794019484349038138001102448165367950894354302174781326244747657336154+0.8838706527448959174552884190346176489226462122627672123940880823324784432950008541868028290438510966j                -0.7130910201416628337605916168541041126644256783828692537467200246069306963741540250193568282177035742-0.4614323269660149957437646936745039466798331712682614194895391205703166610257456046453371826019879452j
-0.2573578929831888300727576791974202035117144962716984955079150942038517459199707954664766206914392052-0.8643452335270865228905454503434361877738179166201727720803253446671187066763592014492649399409741935j                -0.6808595976402472616981943626912614506854277896610143854026489604614917906232597985085380961155826983+0.4448921362211865827263624975937680473039326931759405056516956741005130248815856367620994280658134413j
-0.0271010875877298630228974090774431952584608713275284812945772991130880661622279092937343169028640183+0.00000000000000530351710488018145270388341857601487925011952859513115839587821359633572871204223777552999618142316j   0.0007344689484378056459896432117512130635639919465690578586957449212829037219905210257785237120531618241-0.0000000000000002874621631647626074326736141542781959002056692017124269647466261453535643585325408806494715268406787j
-0.0270332033623578457223794565134988508314881396475731137655542068002754407342895915648499256600135916-0.00000000000001805418671419374975305124504931149472825792101685180722746424121415949291965102220116206047036143017j   0.0007307940840305955354147390125282672294559622988626854115889739302282991975015686214697250539906999073+0.0000000000000009761250019735576448605716723964530670055244334514860487808878513772176614201997538480370955229001016j
-0.02607290379070194816233707737781898265003651454781796223758344897009458238769509127434977452054998322-0.0000000000003424202445593449829421688857879338162436046526616567164266395328156069786872482451322472939131426064j   0.0006797963120792000179047393196420439476485084841973655300637836221917952610083829630612891660927040835+0.00000000000001785578018476886789417161064385734460496618232646795825110243352174064079082640779139272385334711271j
-5.812616269593751604817233188856063162695187770747337108954445668591838771599901568534320516139464238e-94+0.9024035132977495821895610359890940263659627850752694266081541240436395319879088140258611361888702684j             -0.8143321008121217070129390353030139206543316739419575972316279141982844302641363462610030877928004181-1.049065068626612119347248672916263766259859992867604442472461115531566293453765271378955652781018714e-93j
