Npts=12, Emin=0(0.000735), Emax=1199(0.4413675), step=109

k                                                                                                                                                                                                                              E (Ry)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-16347837980337340073848595630801531009264674136.75061016036429446744105420094080343819696761881037342+6771496038877933415039007420492163708487982575.081903355981020440371456983575586893762088276163428111j                  221398648026820499415090287363310201719698700968082760427498581635663296765343616612771433091.1198371-221398640256145066880212687078247421361561018318019750366418479215289979040591860267601890662.7136275j
-6771496444600479290706178483053574157039500177.777287372136788546538970309606483789590740671954813125-16347838148393121136090213333566994409046982802.02083678909797474752372896049736737842645776396027046j                  -221398648026820499415090287363310201719698700968082760427498581635663296765343616612771433091.6205364+221398655797496204686045254433942675949712271457274462783534649229789256951826141909269876070.7136275j
-2.448755014465357121618994158533242738121974016229086802501767099864556361769697524398133433303752109-0.003373928025150474319765767083494450161442261354363870328768396046775962382888921110569080977065759541j               5.996389737478912470167122713622975243904408545822573620303235005084294550468153484542599827745722206+0.01652384634006484705867668702274713106311625600528307394696212838594002307903436993190741332998156122j
-0.9558403436230442349352651888387053274601665867796786304675331567131410848703955252754369819744346408-0.07490533428975314118953773514638823558719389546852767973290156370447620561220826039006048802294881867j               0.9080199533923596121169171949344739783694122774372714844450333048693362767504876963278600087549589461+0.1431950809334332811101294165896571886308575241946286918850096869098473202709889174920792919408676846j
-0.9409453016878659558317471543919435781090164456786009326056452993672168219522252869205008365395220216+0.07457474816506557091009504142423288211192895587336663323224025723439435327715379634420491717552536922j               0.8798166677045861284532320568423657002824839079708578653792826522329770556126581651670621144810358876-0.1403415178209485034644217676780282544464047353895410025717963763315926934237319976526277986618735521j
-0.8893025955682524044524467984973911582779125153497706885596690439875336486896463737421853913735665919+0.1089428361142129210320137646272769266518172066925293326775133141419404535336443302678949922056625669j                0.7789905649438224460488239352226022187991806631125433392831824524559428566571225583188909513557525867-0.1937662938498725912521405346443243264354332537659924852978732185574636498467404096945673069878742242j
-0.8738968605054993368745458752398919258401930088497966718781795006946273443857819721990091346625044513-0.2064652462893063245817911025889189011545840312438403327913700981369981777780898344396201030074307297j                0.7210678248760642476770564445005027943054773108198488344176210848173874039861880698924378354718523655+0.3608586610714389874341043964555824537777514230075879076377218396914178619754930939622180909975998591j
-0.7936819649341577197403195973031224488979645139466796519651827373037041927949804062070763978115750293+0.3026347034429971566801624418706558496868337819365980403212087744804788232267001671592886932532916549j                0.5383432977337147291714301672996263652246643260174895352381950744805866257531844618276439817743711661-0.4803914121718081796858502377872673358593025007943702083135077262987213878369848747554346548882708202j
-0.7599023772376203512343205059380674279782928735852940780072698508871017321977036808397336826029818683-0.2347777380910727191816613725646290848037479124781119761115170917341483546234642129455197217021395687j                0.5223310366282263304952799277605424474189359307092122141874201053889512917361085226221715351715195079+0.3568163225957551407463959593838205604913509909574466873731274712658063867967594230497170001477461273j
-0.7361371075144067424282727700255015438592893498280880242867419374003278735243492722347442557895162841+0.3117466649823674460319617321385365118748138199324594177964614023397672994127366517717555228273948613j                0.4447118579320487864391260267595054770762051288594932830960711000013028791069251709777652596582117728-0.4589765764747655282588093442990879641668532751555870128313976506935185669420588089860839800779644919j
-0.7322692460617291556853118055282223653574124872974948661546832491273714583111067305682475418746918697-0.0008075360755279231501847563554390318384793422837215175686504192011583868867967961235766229133737468922j             0.536217596613299961544007784509524803126273569290597177132074169233651290398495402081855822981265143+0.001182667666388959714519010356012213809833191957561958763114987453615497142111901078461443771721081292j
