Npts=32, Emin=0(0.000735), Emax=1178(0.43365), step=38

k                                                                                                                                                                                                                                  E (rydbergs)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-27704122246886025651275110351105029759154290.84747313335262384683689045774937776393252319845143928624-11475423156480687067430391433430478885178259.00902456663839601946491192836667147519861103476049149484j                      635833052850112035083827932739565805212034053943146366989097250052510679643888105133888.5521385865609+635833051923775321860082185377789284636902045150081079352242740124063441149838050837419.0466566444773j
-11475423185020766257244766894416497695145355.34210102779781011754930121128241762584880934346208249095+27704122258707713522898359172168933403643204.31821404950286012999037841790579312476280618234943497256j                      -635833052850112035083827932739565805212034053943146366989097250052510679643888105133899.0314147629523-635833053776448749657141312154925044775908570802400834002491764755384785276448125076395.0466566444773j
-1.182868224097861610676132319467469332150773668402548555500655973222564930974008487301633439513973454-1.138967275311849676172834123976444459898835581628483569818720237943361647442613567110064258941816192j                      0.101930781349130178388428203725071316043585411632367310807387085629242212027758141080527943020462353+2.694496396507415689357917728634019006024406872341705809393537500916227118611247544068741538763204298j
-1.152327403663899158877453327583851262928763946627969554980715745557334354054267598310157705621987088+0.05263683634581713881354676128781733531337109113965345723165785606237903867154135102981909707564564534j                    1.325087808694286460484017185213341346951307314440409445922490737256544855796497921859639767717965637-0.1213097379269140497157260062785163074305869286854483481767140123585069979110909127344011362514981989j
-1.024726797649398847844506320915250740158247422575287504816705182093717641045713299924554990078821013-0.1829387467553696068505179832116819021655477342998633278235409416733664317226214628704142935805234455j                     1.01659842475636675821802471458535588677627650608267326361532402993973895338278632066779041652843448+0.3749244722572485022962709849004003970641052532386697701176751711925359951710292063786578945083690593j
-0.9503802538694018289638254027816085612678378272964818841604575848087282135222372715201827414643623578-0.04748204840335129146439118348267459851033351564839787909805574805411305551735322286434049186382289966j                   0.9009680820242904751674250792366742425418150819259573995899602915219874723678214077525450967665563179+0.09025200243163245230925466400358418011464826454942569596307647665495266557459538868305847299557159484j
-0.9326604308569753144773130221225852611151599311075408923443563880229495320257446333781274025216453172+0.1497018175520897137086417278370740550048322611593110473753099287277227701886031034925542797349957912j                    0.8474448451079196754508086640370403971535408875325502094158362727935071174008703104062283079481732584-0.2792419233164086039212122186302672547375062963506230216986152299502609229938658516638077656465657321j
-0.8602064104020296100870264980001617826606866586811547583370417989761229582526847061934601403694558348-0.2535342615753856280824577077266430225706219998485054868590224113275970129887214498958526076605485243j                    0.6756754467041689340320673652376080497016471843975269278245705671509657473942831894090418943735450858+0.4361835941273833916465211946118463350696392912913338856974325156667797741063507866889185654344110939j
-0.8537644165782168396807228302602673986789154938594825068414593564718912210955120397880667374240284173+0.2990834733254481153463205410757525198557289174654407044292606737110662885034231981061156171285771721j                    0.6394627549987289468930098547855889759021101090895999317695621805424424820073736135496336864637437382-0.5106936542237757777678527409211418902074580520456453595557430810630682330693442982767204748951741715j
-0.8238034046111990449399229928788874466551485724039124280443027737896539006736440773433239944315082188-0.1704145602116991397242564586328180682167301272530930119197763941871239880996672019889542095281836504j                    0.6496109271168560923178874493883344385701355582542670694082051775925253307521732586529063649882871954+0.2807761897954358567479232145402166166952399130922203809022577933573917995629114778174003365630939734j
-0.8169789505359642413160719887849441070855446585650631370008240488982141377952627182355141649944548976+0.2758672605702701467535884272614900120967911729938576371531414947529338782221971683173009009411771342j                    0.5913518601643001804885311815423510853181859660963039741617981289069804582922930976634300237970078617-0.4507554900558613854531611241901776009316727515793553875863896394085522344177007911900899424567895621j
-0.769343111811159040253432811319148664749378058821905306544505294111102030382992412944714536400595673+0.00001389367433803221060646872273467563820776697420095449328145998017110569263024980732494727854935287961j                 0.5918888234982433741353846579673570699121075434973450445996773969743708495537421575898077040484898078-0.00002137800529942509213563960052910596990829327198081304668292400148302550670367555914822038396152582201j
-0.7136415824875029634674886915539869671152241180005603639734064035479096696665774377204985779249289082-0.2079428370155774882523481583779975457673721437210144640313950995203081265587724656319458695287021773j                    0.4660440847891804731936152561350339080872504336004712734091801046434303710426010527231141009013043256+0.2967933105494752532738463648664288593483303817851191846453816282199086567631946242839660463240641707j
-0.7076173091398801028012999753181590476160188293326910344352914846995908188143571973394715552913304862+0.3972825497157573148505596426557080091709331125622448874315178131885954547663235081921315120508033674j                    0.3428888318857114623426046320488457156805471532478238846673907926515686806491678884606365520258251055-0.5622480175961896598540429059402954873177931341954101850282068304660063066839407964861935595828185039j
-0.6951361847650825884069081840943542669088240001606580390502215267875604189239462918725971551129845561+0.343421923104077962010617141255970941389352360135381595734870690244399502922765238332917016187203983j                     0.3652756981012518017633465634327925026857958165173846869608847472153378792706533723072164387688494519-0.4774500107825126463894070373899691672652537788504104542921719508968635128561291127513027139256355466j
