Npts=6, Emin=0(0.000735), Emax=1195(0.4398975), step=239

k                                                                                                                                                                                                                             E (Ry)
-0.2269026092121902308528773052431961230003281422857543790511531060615488549632032789667897704185936257+0.6583411936215777432019918284108956795431365615517272950989503337690171699159203575648536254930941878j               -0.3819283331517838003753677659261034869299383557007755160426762908154054975248295828110417317611532438-0.2987586691692074369667706746051691552281340594572857254691572630739125026341643005028994487306246385j
-0.2038930454844699056387511984294795465598442799291058878408675087965054772841501102343793350036070666-0.6051517490907780876474762864993760849455214275605980434464918434684022113125587869435755913437611701j               -0.3246362654306959242519254084591858419007426865005418382526874326503752554537839578526144270317765949+0.2467724662047450729777106561634698072124100963522511890271116186986584304264551154065645637817758637j
-0.04143602945795894675478749064866990735547798648551795481575563192399505449283758086870581467644705264+0.0000000003668561952217175837806943932797148487558584844012281641593068857970006849327094535632654189331068798j     0.001716944537240841472224589642910350747904202391922957301380127612606634484884935471540808660934013266-0.00000000003040212822408365601110654103653590359443156803087707907657841935000066379810529558851692558514561074j
-0.02462472864527674133043681132896354800272422061862514657670611735421326913045569815681023759828400897+0.0000000000007003081217020366699605270226935181492325297252139505113777798415905703257406189783902450481605160092j  0.0006063772608535128963583116708882284991195758276013792146213010178861830632582213837863436152690413889-0.00000000000003448979492999218548586585361619184294212501451089759826359552518473808104218272840429262367506564356j
-9.337951330085764563410862584326716162411100600545356353675492539949745842088338524331312442512242874e-89+0.01225515555981812061054363737209181187322051468811173702557855695308536289584577939474803059160152147j           -0.0001501888377953409931781419844387385334502058294294911218415946479397853924038783321712413530790554595-2.288760923204231439588927539600796096272473504922540325247411670000728531138877341296896818151357838e-90j
-2.293814897139077172497594839455552889501707086114183307047315044811657893967283641843664995441195558e-89+0.6537948839903852659681188275140315374857250148714715276374312672159567892966682474415854074975209018j            -0.4274477503320013281579632361760083288327802956655915275279155060320922519283496953428087211726914712-2.999368889140920943411507823870460816827617819835508937080697127135225985597778588158365307145202327e-89j
-6.347681836710795360491449961680543183696052259713463353370909115058288680030128878170798081093561621e-90-0.6923310372247939670684747868412683737832511753073047162337872683020425621794079361367771773386742971j            -0.4793222651047590497142543259947211021850688294056589358742250362366537543125410056892538719227201808+8.789394299965940405573112926237862927644706554488791734809169480384765497241761188277006918279552531e-90j
-1.82427859161699671200710169923052941328349605144839219034537208742811325892445209335876143954462536e-90+0.6327211848806491453267094586307715775445721496012968974170754902663211951449257719849345407104837037j             -0.400336097796772596614950268142385458675041797806984572453562557954712369029335561003674992570211671-2.308519424080616033381123593002626458315274866977456118255686417975126385986988956793141882320310203e-90j
9.337951330141584365046593028015063066347521896954489105330237976924939959185291533368105503688145136e-89-0.01225515555982490431287390450626265497191183608427558885318055256672356889857161714199107149946223182j            -0.0001501888377955072638327998792773178213219969529600763501466435261320373461525362777238311260679974305-2.288760923219179964280172922024004861638579558323525762771832032739102218528104583823533414037615625e-90j
0.02462472864527674133043681132896354800272422061862514657670611735421326913045569815681023759828401816+0.0000000000007003081217020366699605270226935181492325297252139505113777798415905703257406306158756724023723337032j   0.0006063772608535128963583116708882284991195758276013792146213010178861830632582213837863436152690418253+0.00000000000003448979492999218548586585361619184294212501451089759826359552518473808104218330154413414759486467378j
0.04143602945795894675478749064866990735547798648551795481575563192399505449283758086870581467642090826+0.0000000003668561952217175837806943932797148487558584844012281641593068857970006849327097758033739699780613076j      0.001716944537240841472224589642910350747904202391922957301380127612606634484884935471540808660931610196+0.00000000003040212822408365601110654103653590359443156803087707907657841935000066379810532229321818649910128061j
0.2038930454844699056387511984294795465598442799291058878408675087965054772841501102343793353258810979-0.6051517490907780876474762864993760849455214275605980434464918434684022113125587869435755902150344994j                -0.3246362654306959242519254084591858419007426865005418382526874326503752554537839578526144255342558895-0.2467724662047450729777106561634698072124100963522511890271116186986584304264551154065645637115462144j
0.226902609212190230852877305243196123000328142285754379051153106061548854963203278966789781528049974+0.6583411936215777432019918284108956795431365615517272950989503337690171699159203575648536231146163742j                 -0.3819283331517838003753677659261034869299383557007755160426762908154054975248295828110417235879241335+0.2987586691692074369667706746051691552281340594572857254691572630739125026341643005028994622788845006j
