Npts=34, Emin=0(0.000735), Emax=1188(0.437325), step=36

k                                                                                                                                                                                                                                 E (Ry)
0.275526295629362467129968160833854128821553428543590314967507011230935680616585897658354445042740636+0.3954044656419265038800310555601785173302598463104531580649089512543986562675963364968709800065936673j                     -0.08042995186633859412722190712100271867377529708477583425321531495228347470544113187905116490209689289+0.2178886553872550725739553510460612127541775640902404609164080419406362685071770272923334092679767733j
0.2768441149338052719478673501560285396778001825978083936891825459272044692442036011100582968378232729-0.001179337350471086478635841230888454526775499653934665139914432483810694765275936082962245126169176084j                  0.07664127313689576703160617503288259614597477009620083160764448969669047704169729699982737567202814458-0.0006529852099990937081404993007760426678481908555770434425814728884569063168645598644034353452835225791j
0.2958739252778589121867277879444549498420173307713499477916000810325644858599282387057703656624016168+0.5305637463291528005349118739383742039850525518623013653910912570537337101220134567621128389655887674j                    -0.1939565092594975628576883192002438240158469265754598009962495038075676184933600454198967539536356352+0.3139599564730652928394797228504024952324705532199634944838357464608289795732118816380077979165094118j
0.3192860397447694403917863163491601048709074071649790819071231397035323146448705182495234194661078321+0.00000000000001262995596083702877915408633806142537397213877462614083727611929446414767102944691531324110907470503j       0.1019435751758984907365616413450273051569806191308329333125573305677254747563832439108489193296554744+0.000000000000008065137241772998553101227548413153063261745047719227307908714138157005916955889323350509062807524369j
0.3488309073044504916666356244970436320490777496859007533494769859740907912225741215299534910532763764-0.3177483045114369567946157767705820266462870956394155920435827049545685625397852621132827951806306444j                    0.02071901687095326387163835536335870893620503749468535526144028996385593896944757920265902081368915368-0.2216808587143507460934649402998335616966265972127730109175522883854749377304605353744927286494091642j
0.3540100867689917279897146702763153022753005418789261003410515988983943516684509132156056734604626826-0.000000000000002953754222747201027507372248108476525097562623182207181042081099166524670424796895124629184937800888j      0.1253231415341890521092032727878427008803670308954631763133716605517700943284954892888283797083252579-0.00000000000000209131757737802471162891980877896770310407451154114350119580142278427570496090438515159562401628876j
0.3602036562024683360347673256669062753968259189309425503324248922124796302883199604356556432151161042-0.2479206423664029720559361418524701705445788407670326568355831174188763927101528348053879928372462488j                    0.0682820290302561215090302603962539491940959525498473492054759094281934097848305069599312903634823445-0.1786038436568858440648205691362311820584627606782118445519383855882068372353128996820625528139930518j
0.3642544304350092384066300746643220769980416234981569642183645617351639575789789900508257785785755197-0.000000000000000776510616787217807418369339763071716380687982074559210497105315627169977009761053445312980625748885j      0.132681290091532984550315329633933512269259982565945590896845960112813767851453912562696195166744022-0.0000000000000005656948648891314915005961840235895636640605322358647445132102503221031067281667315515725400101873827j
0.3673844968891804302625672385223049251408108490539034268778263465652679192692467852474887606286076307+0.4268588786287534452681882058674384084540171919250959031499800293289090956331238382606445499212143632j                    -0.04723713370968063952616268549225033376290020910079284201934610549407769865874223719370684520118034574+0.3136426687354086339172577293471633417399850618747769953186764541841052144977356163753172575831851341j
0.4116696590014435595586639454768093823142511788344571337100243027647670541608764492230955111620961685+0.000000000000006235522951666914718470952811938383522058952619623388139683217276622198381852948931214142990216498343j      0.1694719081423648203425248376853830852148944737200063388916404283057160197142971124177055086421681954+0.000000000000005133951214416787224990330679058570866595323489188115714753393096248254668947671169286573267717496633j
0.4172083841022635213450577362500758837244195434519008548969315437957587324188320656660966841989924608+0.3757937772079633657686055938979310785772061314768885836505015879151049874090336593849963516157810013j                    0.03284187277699344653261754704280565595672984948319023481383153148133167963509089726680840791454054605+0.3135686290892408454407345816925395332506915040192933717744086033273539459851807454117233282818494919j
0.43344353527995427329655751452159781948357631467330385366950305500866009052472531794513707123185487+0.000000000000008310847014995206806109017384773243249518788787553944446812743856265710093191214409112588073272144918j        0.1878732982759849647904063799180438231929597254488681269674775673670823247849271504883368689186269764+0.000000000000007204565822700755165315598889715381163207049180446999544851205256114439173636029860143198442773165103j
0.4349613610824468747003599796420601767531182309144494058496938004854884460885094382229205812607931744+0.5084307007355705128548401502256352360979981600281764299167070544748622116318505041022011043501491631j                    -0.06931039181576853137482715629823988762618664542963946238157654514937589961194943647614184726532752254+0.4422954192160919473203421435752154001111257388536434153251482827961583841465363797603365822544152097j
0.4385803464809878297083738617150306325539637880001785164226868671850205054258560004654060216166927503-0.00000000000000459093430506339771399444342113612717386868087513513361316490319922593653475274876517472859142774855j       0.1923527203193833337819246670431635518939357903224234033677271157008504881252703274749315689102386415-0.000000000000004026987116372316098130914548189652353629835567962577027301154345888415116780461263419570854492178804j
0.4507700199240425502646329625461654699975031004843381661043479911313064599956929674473171898928828563+0.00000000000001743010973432635124953877103285632668704581701866471185138129149147832739859245358812731063574583239j       0.2031936108623217177330487455056806043456356502799266851984437203938056304039178991648412325854399659+0.00000000000001571394182444107471050918255407265559006159106041062274787629271828729876182894047110351047905850964j
0.4591229950148073970035831344725059295798432709690555798278359772389417843042846415052726930445014931+0.0005590185511726225825631694796215461206916920947621664478132140369871312113886036474788750585456032727j                 0.2107936120496263027830445093867381161774586626398760724602536120843652558571957804437817126377766145+0.0005133165429664257034612360498581815870891758140456423916768770379466774144900514803085510327827489796j
0.4591229950148115157989087620397394396689246397855886426078991316000240690038997528981117889005080003-0.0005590185511746953754348834715604162943074751613369987474242894383111102073812154442385625128112993307j                 0.2107936120496300825328766835815358355421191694428964576854719419552138240219882579766300203613265442-0.0005133165429683336421698404275774493453110861207655928940613338741560801218758128732495930910992563083j
0.4617457872769246432912383195266801652832774436072451304241725733251618517273487041591557928233987925-0.2526655794754792071386983875657315713819067045961191532393850343700008141058524216269219221673061954j                    0.1493692770163072442147006749482192014758642346628604121514384329487054781244959869549874575178923288-0.2333345338253710383412308211633005125717376465339301393018660067517975286608971225518272465498950848j
0.4933806083142425552666875537115972230781099423463152021246860899172913003533408479770062841923098472-0.03355999241434526677252218534803518251746132725272829719503486720532381830203966192903255459919344207j                   0.2422981515696811182047227775160604375112998786021183632041997074233853460058932923156833028135674297-0.03311569894482206682632740212563552795014571152088927362675176360066364482195968317439511682131436187j
0.493380608314740641331248884125639159292814102130180988039800614712182000317805671802164774597189701+0.03355999241458626041865123575094862238140331099664763465199811368292028112969024110881513746395769767j                    0.2422981515701564347259032074309590471081387028374945753416072721071715434904196205091457144300972145+0.03311569894509330153887841725462039900249658001035728665074733916590979592224566420911422004765746559j
0.5075405191839297920873355151197749233942119724435880794070359524028940584231879067609428170971735863-0.4822472542449771169657089688297465231778556278683374662832933773977534680599609338940972204817253351j                    0.02503496438667340534585317715987193210516010858233587376381230149387241213674550486914468217080572091-0.4895200435890405525917334115512980707784015297036092098627658745024194430090738114298471814363181913j
0.5139199264624021841874905699900422672145036779922915502614674560978200343867283466683582593500189959+0.4018999487224525966010201592088195714929801511056263347178243716860659670669957873409773591416365443j                    0.1025901220320108422387951158498136607807161786952559666171486777452197941071689797192572561415906412+0.4130887841853720941956133454296577356280648521025851769440122740263745316035848100792322044687890399j
0.5213123668425555600185760083864383555124284882034596640978267287027113978978804280331694981452158895-0.00000000000000270798964713889367290903212425380182004228129293151176204571679876847195078028783114578421826088857j       0.271766583822987221669377597476423073219200643472814647362677764180192590628790943970116997557156522-0.000000000000002823416984670227049832508468437444267548285175831365082478887687709708149083236613325577849905725693j
0.53030360953693217256595359928420820137092389049131715097896049908075652734957171161871493075947615+0.000000000000001430692186587250018680742565322737868292978459112704262217462295010376869856576822782346708714614095j        0.2812219182878990190881681263882589466061161532288350835168137190131565547368699715671213626297940804+0.000000000000001517402461367009484618284027389411900277805453927526811412480584848176272399770322351585654764291744j
0.5353358281019273247742287139523473591306375347178545932366121378371664785756442073486136167876946879+0.3537930792258964822507993871601635993400080293463992571975455609763611943568111760311654889397727966j                    0.1614149059414348165854749113430407361754831657647200740569346031767942050555243342041774515541346447+0.3787962220882521489143027485168460037319231493823784449712819004117716340249889886091618222386320321j
0.5695589629182183380819448912106597444424009137800065390897335809779464636547353137222151435473670888-0.006756013868081231413767415225574539945723428082961855811519568118348839028963663711753229980809663277j                  0.3243517685170907059752202563429378478631009224389194520715334769263258372704252510321616124888970529-0.007695896504330893843430563808963524388685953263360324019380943515974777817238101538702340979133315445j
0.5695589629182408214295887595861499559170900421363324727788716299508634303369361271532629522092374669+0.006756013868086166636710359189818570496163232265599200785375808241208487455625018449649917792526701263j                  0.3243517685171162504746849104993355157226575285935489407654593013181270344112037374479098531532931768+0.007695896504336819439969836486747836406536034330376730943833475327996724526906297483067193722703410071j
0.5720348374300912891724904875803327774289633968470343861258449668645839576284507320536801109276992337+0.4666996272295499046390820441886273483643193172211613402815505362034891890501466838246206575789135276j                    0.1094153131774701313802059609059157403628233489472220413587753714370933713743526714990119810224303605+0.5339368907818795712301214092150054667487054073983768090132193180059962580132565394661071923306774415j
0.5778609624616231974131945004655159678423469472761468082298048246848287746752895381023723416604877344-0.0000000000000007023440152276746234075753033736759781537896890644478922007229917219357183396332484737038801006422548j     0.3339232919370734940905049474537128646379018444130417888752776942709378025134469702763110831199441153-0.0000000000000008117143772372499937974194199101478959248269453547863827386064527929809235741491208945893520448792787j
0.5822220588725445902171623215932886741828178953397729471533434386513437346218454751258965667263903608-0.2823131093965601844812736487159457417628898188974462535230282523326172710678435570755534649220199851j                    0.2592818341006306204570360775000736694302082360625245203040636681068198866059620125841627956435622264-0.3287378395991503701618026600957627102772814983691098023042128264210461379546474341034646455012934814j
0.5875497602565866449403966925773983321662447661422028053378326906868269093092552538219937864674511648+0.0000000000000003447135526887373971469950196593811837497298921681751650936061993970637203135943078437607164381667593j     0.3452147207775724433737072884189387151825621299765866751124872923382910812453866702122530850205516353+0.0000000000000004050727304789278126932587973768014147421732114859365912200144215874236350814589618980626980928561724j
0.5924142036023528860680823489348358744305772860657654259280908702175966003185883859244779253405180975-0.2055169156462935775448729285213755038208418861325572580185783625276760526087581886936460636961732358j                    0.3087173860130442693120081112705376942413101063787282621952098417629375254374153084935951778091276157-0.2435022798188218938412403173734556607258456394362624006740082703300713535837610879523797333160199683j
0.5936602531164304540367620461427232375287215609103676010921302465046599301065452337498986917265940882+0.000000000000001496036515548844868703135770376519806632202334113003747381326964152412085652173017641763314568918064j      0.3524324961302642746142941058527419367907882227988431976895756221180139599609446711682040074340980805+0.000000000000001776274832984299778745965587979113335807619276259534281352163090632160631083629196364149454261370256j
0.6172033718534335698369833318424778463003247898597769262147324460339336993213862930578466890264406354-0.00000000000000108330346683787079717273707767141929186917798584837021775297523369042165222083836488904051302470705j       0.3809400022272477941842489238915014949337132536838396791373325966103202359427433438566068752244484338-0.000000000000001337237104945696222795389514995922478776693375074883355170032463802254677874820880132078000666668998j
0.6525913841872992558767663313450971558820706250899651487055025067537502607468220638537383609517936631+0.3621619154731210460070702216982890230241739553072261857061201923488784728886976115775509351556137236j                    0.2947142616963351439433683242519113892772766623091406647403672506055090684371121335656952935544154615+0.4726874914370554709766030963749995136984120263767740239426844732473226731975171863437893074616467856j
0.6590598305687005726826702626853954126711701335801569962417858416038016791805554373813205478909553632-0.6967492854179172466512914173691749124373728901825811640556835656411549430353039133340801762514819114j                    -0.05109970646113400493185974789323353943138872646485983058255915024384777479109889181455460870881329278-0.9183989319927914743309580114663061778017847989431608577694733409114279990272520136280815397155795787j
0.6846904231809578433193341022165793646185785212373021001607312565366121124182318892467770175323452042+0.323783203712318472205504839548368310352018002968978762756692228108896027700997765457541943596479107j                     0.3639654125895064111267836539016464947838343309331494455701765129658363105368569665740384509216329116+0.4433825175373472305838132268971281641187817307813907462394414230662796398592589963529776645779982936j
0.7107455318032035860055240413610949938842216572767017409298764026334979229088448203332683764699997597+0.4029298559995438707615836419092430991268991417094681954904368167773426132467072005320747041692030637j                    0.3428067421224055202950414856062721917130519923223517372101247296848853107799644162221028829042797594+0.5727611895635680988595203850397698054575776138781629445844111543181278381730971846131125335945245482j
0.71355823508876910484110046385156252213164076756657299833863656241703143736599619595583033069972057-0.2071984995531421844490547205184727040350188667253075854567267226888227908507270274450734589765353979j                      0.4662341366459256145449543225238386303915295710153385413335954644100856568620503601294080372991703117-0.2956963913083625023385270399464413001611948091842471984687322185628296853001427018448840992953903849j
0.7977919607824008470116590988310821302883365551987125012405220230043902678661111356351461347437990906+0.2910365901751537380231223226750844615245235406516989000822912840888253709226916503855877987829923074j                    0.5517697158682474177876498401891819441046733300357694325457313916499262913972127280426198863550167763+0.4643733038705198372464373409590567010441717020072857551630975109159927808264221408409071218856665508j
0.8238688964250075977840501896984878393838022048365149756742077745007660665550341979538948580281178923-0.1704051612157959533540252130357539532663914858885858923398318981607603386756683958840840789748632558j                    0.649722039527578487541096204230329954005165747442713932975566371487107687628991641792504220396447564-0.2807830242319666361387549699481919679301697340972369680471527161458192125074438529137448875687496933j
0.8533344087147152619750385218187661770960806422221863364282006915061956765458662182580681537989160484+0.3016129456083943487894931882177453278460912659538693970177786808046105809499223262675905221976199241j                    0.6372092441379204665532305865362933524106691301563702303697457474842121544172044478599788918112163547+0.5147534092028855337807885956424853839480338130650564302334695535833965697177169629588896802133090824j
0.8550562494512987724234981848365305767653323568970801498236775921005088524567891411501238577654704678-0.271181668826098720695211774590281757524928395088314382719416554320823611851977203804184542839666531j                     0.6575816922184137895531261831326906700764012815710415647985603488130503413344897983721170585048269752-0.4637511613327763193326408619022277388907097484863958776208637367368101819017980346624183137795536525j
0.9586996381764612798356054833654903558863096064723189272899392054617805748428296740749899163886371531+0.1793280404618757713606931992602051366814651928565337332508245095798244485511972881523276088368885549j                    0.8869464501437816204134302190084817036741383539513160753455333322691416091373768527710050813729163577+0.3438434550113882206695623616887438819059479330334299730537930612860019088396392116194770565567964635j
1.009297322704588507618585224648133714386930623481902587901830342087253415984584637796561483897059973-0.06163319044760245289856967830591375426380589742592009881344168725127046321852547179143072806397871714j                    1.014882435453899837950999147137093821121215058838487216451258503760105272682520035613263908713814274-0.1244124282170143494168115378414253065159845558429780431027568131940303181190983000394175649855502371j
1.055387954625049621892608155079312361803486708407851487108819082912110311570856021916704410476474646-0.1423360345201705119710902693251394626806579626198435309803987099366695488482252701641760284877467864j                     1.09358418804471862796010730214610220194909645049602017312664914392790312255826331823162523982773929-0.3004394726833664258376545340592571042502458907921278780872595671124291513790811299696491235961172862j
1.181690059092414068005163917099583827928819453957633152866808598212617401594061515893402787099569865-1.115335357003298507395122375693623986010961189866014548160921104482627016253721237769157359702519867j                      0.1524184371761577191092218929125115670504236898817907319285858718172706306355597602424725786288313564-2.63596140785017310785804140050825960508387441944658656383999784545661136621050429678846851346550024j
1.698937150353989594880670970073293691786177360982750597410177613597044796225135410067404969624289295+0.004423372657994668698327086252028100943184463675039281230190966757717782602584272811867501734153516244j                   2.886367874627263152217456192256136471610484855949527106692766937214378570696821983804746051699126819+0.01503006427705443009747959840244393145503870313358792281964048279283732866256702197232091205918861694j
6455770231375039942293781.439593759269486550514838580027861050941289172632056996158424824390032153124-1.200896765842721524820138966383995182424526334362523308195401252416016921538340336769980190342126031e-53j                  41676969280308136750932959106615154562881306431375.43560465455420121321264335156614732968572379291206-0.0000000000000000000000000001550542718376400700343844762185673331116347019911739951149472449889545863331673366812506895074973904j
complete
