Npts=34, Emin=0(0.000735), Emax=1188(0.437325), step=36

k                                                                                                                                                                                                                                 E (Ry)
-0.5778609624616231974131945004655159678423469472761468082298048246848287746752895381023723416652295845-0.000000000000000702344015227674623407575303373675978153789689064447892200722991706084967637510450140365322738231656j     0.3339232919370734940905049474537128646379018444130417888752776942709378025134469702763110831254466408+0.000000000000000811714377237249993797419419910147895924826945354786382738606452774661863461213261079492593450092411j
-0.5720348374300912891724904875803327774289633968470343861258449668645839576284507181169500280843301995+0.4666996272295499046390820441886273483643193172211613402815505362034891890501467470592982789698398103j                   0.1094153131774701313802059609059157403628233489472220413587753714370933713743525965312207787618782696-0.5339368907818795712301214092150054667487054073983768090132193180059962580132565988024507896001489591j
-0.569558962918240821429588759586149955917090042136332472778871629950863430336936105312473793738251839+0.006756013868086166636710359189818570496163232265599200785375808241208487455625004784731435374593387048j                  0.3243517685171162504746849104993355157226575285935489407654593013181270344112037127533161658708737224-0.00769589650433681943996983648674783640653603433037673094383347532799672452690628162200024641703281684j
-0.5695589629182183380819448912106597444424009137800065390897335809779464636547353355630043019661441508-0.006756013868081231413767415225574539945723428082961855811519568118348839028963677376671712362686055764j                 0.3243517685170907059752202563429378478631009224389194520715334769263258372704252757267552997114847667+0.007695896504330893843430563808963524388685953263360324019380943515974777817238117399769288242195334642j
-0.5353358281019273247742287139523473591306375347178545932366121378371664785756442004019633256903972726+0.3537930792258964822507993871601635993400080293463992571975455609763611943568111716115776577554399751j                   0.1614149059414348165854749113430407361754831657647200740569346031767942050555243298938350547240155423-0.3787962220882521489143027485168460037319231493823784449712819004117716340249889789618808057005344298j
-0.5303036095369321725659535992842082013709238904913171509789604990807565273495717116187149307623444803+0.000000000000001430692186587250018680742565322737868292978459112704262217462295005041818717213336215688840533161365j     0.2812219182878990190881681263882589466061161532288350835168137190131565547368699715671213626328515178-0.000000000000001517402461367009484618284027389411900277805453927526811412480584842517878647233163375324475773924814j
-0.5213123668425555600185760083864383555124284882034596640978267287027113978978804280331694981452641647-0.000000000000002707989647138893672909032124253801820042281292931511762045716798765944807596748610404237752538332569j     0.2717665838229872216693775974764230732192006434728146473626777641801925906287909439701169975572205418+0.000000000000002823416984670227049832508468437444267548285175831365082478887687707073287094514889407926094522803108j
-0.513919926462402184187490569990042267214503677992291550261467456097820034386728347003820847538659208+0.4018999487224525966010201592088195714929801511056263347178243716860659670669957605749366166285278754j                    0.1025901220320108422387951158498136607807161786952559666171486777452197941071690015785998772853676089-0.4130887841853720941956133454296577356280648521025851769440122740263745316035847828376736182874253814j
-0.5075405191839297920873355151197749233942119724435880794070359524028940584231879247676302519897318022-0.4822472542449771169657089688297465231778556278683374662832933773977534680599609399375723721268777948j                   0.02503496438667340534585317715987193210516010858233587376381230149387241213674551731849306518979073493+0.4895200435890405525917334115512980707784015297036092098627658745024194430090738349318153607675699311j
-0.4933806083147406413312488841256391592928141021301809880398006147121820003178056840773894268006235261+0.03355999241458626041865123575094862238140331099664763465199811368292028112969029234615890539068302807j                  0.2422981515701564347259032074309590471081387028374945753416072721071715434904196291828115902482198037-0.03311569894509330153887841725462039900249658001035728665074733916590979592224571559205078578058263856j
