Npts=24, Emin=0(0.000735), Emax=1196(0.440265), step=52

k                                                                                                                                                                                                                                             E (rydbergs)
0.4007858218541424591695809788919754977631777195239920818593848311299883391494932290373297040121140227+0.3667168712584020011800271090372839852227265677117271797216109523959036011524507342834673879033502324j                                0.02614801133374902749551102980216750776544795347143713339239389991423947462540815938065516836029206425+0.2939498452701567988532124988007920081670872765633623233734712281930019514543264555246109418411881572j
0.4020764714988556204283381435879426163252908359414803424425123124696266595666950581377625431681026934+0.3845564545895517544870611703561826619782897807066178945180480187111555550717672717461717230017351244j                                0.01378182216648407539192341204470557745896504076103259452855049566289022855192577226707852228728768018+0.3092422047069537433200177088166479472622288218694492243348093686477800339542029484469327654044685164j
0.4516020428400158804343576373940336951138411001069455632107707702127193707860418434167687557910122735+0.00000000000002600024141992428354464227185415657183446533040224831864364275074715557063491438927060135855119356811j                   0.2039444050972755385387941907167788229752926018451122273296760053954866020587364936157864907837487599+0.00000000000002348352427914280324402199627762247804969260579933626551500366253101662282481001556878153986630875816j
0.4519646515622212229252124864791631772445848955182033240975835116390621902575105290764547311538488128-0.4720669268162590019814211208239104435394576760474308565213783796056292711773010704573240532911982339j                                -0.0185751371319871935122070889410257472904097260726845141774933925516926592904686771176357519087105086-0.4267151281851181717066504521279013297685398585939633565230387960708315687035174256041280858924499019j
0.4530659096243533803838514389899162968812291546418357932451431849452560291204878302046501407967873003+0.04818656923659524434110494306085927689876035910461802451020034291559614152070376140066097940959667064j                               0.2029467730089495578424756504556777405369166417020745022039352191068093734739233396040327315072922108+0.04366338364570981566889712306002102337274082962526555605134723259256208973541503511423750426191960545j
0.4530659096266724043959997443234236101944587240555788396903460086984145518446677511517951872251910786-0.048186569233266388804850641132897010083403213315483653387284696758113047697431752353251778126578265j                                 0.2029467730113717115450320086294375471500844783256575641791215467825554022738676735619646150349686009-0.04366338364291692536804486615007930450269332324637459429884353209268481603610472634845222533045127289j
0.4617065579785636758563581917376730557854482356275185941429031560630236890003204984566413071152223109-0.2526738950970091834600044056525522053145188993867326378258389150353442474130854629943108735103522899j                                0.149328848416918379646764640775043854571998009995711401732759067088210733077336340420603623403582642-0.2333223887925535733435462586372632437233898536098663367873001579047883603438923791727777988471889775j
0.465546592277834239947758848143474878274426950278603157822882902658107072863185344537958404586423055+0.4256805162282023951892471361720519878499953918107415266426729494086263558015046339824071813093852082j                                 0.03552972768519514844910503414483731738156845248622652476931343056826334596555519341584110847961238655+0.3963482274582178841068468756672026701534407428445426149458117513440273603823896317684444291650567086j
0.5196997058736893181992685589905590414319911699892176293901102495433749275314299514187472695020690471+0.3530867958524679112481160604291610308996403019210739580943163897404445589304256546164258482465835365j                                0.1454174988798368366503699885441965437016388943626552166387193986410623824904986235388659232804702237+0.36699820790482191786223822682832638046967455037799023293059675216232536780506601522893554270612784j
0.5426309432177211564688742054664081532712280081018968963243010317099095223072964864871097868033644389-0.8851788027035923262082933388864926789829482671582227235160509815233558080402163543868430558383533784j                                -0.4890931722184115073750287393640790464158780313453168020108188422975130077239875882934288514098846096-0.9606508172547668121286587666574962563348276569245749820344975416445791585379152501392649201910012678j
0.5440648969410259534393766773166177752209398980143183033251160065133587622778267976182091199238329163+0.3644796471226131691807014029725627228515010545333808600089490803803140476621779987322929026094420281j                                0.1631611989168245736120198311524462119077786555793183229980293596324155891135485804730227519371251961+0.3966011632977320811626666713924166328374040772895650063532571202511706848394447273422165120381311741j
0.5480311326687501755098613774233217528427994191453627845321991763492991721429409004231417010643459732-0.001115083347603856592766252288838934556225405913981097033940625495249522616735827177144218202765891011j                              0.3003368789633211524436923086492685257092269065537037408290540676211409444044232806726430874859742523-0.001222200780014806401035110223776876465898251370140842253808787994776360863157415408729853868625099739j
0.5480311326687579131300750063671925670439099064068843461929110770965576045104942926641499248655714663+0.001115083347603947648635322657895259175652936069366223976298792506001847637589363172547216872452885729j                              0.3003368789633296331541622134788265752599016557111546663272294298695989718919675263397320781194037251+0.001222200780014923460120136369987474390273294841050009539919428470431939039189266102633526576454380458j
0.5833187922633872816446476119712935697793995504588173571057447899449967266922156993549051513318174936-0.2830650854271565497640025077658596972449585087334808974987445415374109905667607182918689620348017155j                                0.2601349708197333306666411790855171109879113942807747877587297723357246489974798871358445646691059028-0.3302343675266030119647890929434007825377330023863107827807672876442102443401135754480909742497062086j
0.5924620262430974989024828968624272532824293212984420061831479460206085168019961763207640061507851961-0.2055193408378632867869495607883255420090128668023522023327844210089299802774751849459818258384186889j                                0.3087730530816469293663079049451248841055328756565017490040844211218593069884024371018741067532017348-0.2435248102098925162691732918180736223456546711672234727991093766216099547018791600591698642367413625j
0.6145930986847754809827114096294660356876560034747448112869716170707493601122128408847833306222688247+0.3913179370226170200230755227041078073254738933748542877679012094525552617776422783197473223882905623j                                0.2245949491153173128185800972490844250508734316724876183237774802852347633903302187610419611833379431+0.4810026069713280378906699184678973877829254903775664110835304158695902533845725319713045115789867192j
0.677187952618385552403468257551834099198196409448703909333192338775801097098744685615727768839694039+0.3210979308157846982849219049657840685174216895520049934328709435598289955150780574563404742252255307j                                 0.3554796419973023393839567637302516865144890159875280493480090926053754590684286502516659466371586187+0.4348873007182825008552676618310737132462401277877236482705596975876161848607218638096995903119267844j
