[(-311036.9353785059111422012599011200555535275547416420486593961987456164620133729009650043701042314576 + 3.972209323677948021796462896292040555495344967664525089956565600414290135043456295588532287912586215e-84j)   (1746401.653040415524473054069853149679962716433084828181954766875640450270674445795303864670852041949 + 1.942493697267008451984566844182486879818812898497013841882037003224521863503708816260151820512826748e-79j)   (429760.6879795404053346400622036638061798259125654457118381112460924522917591608438147059345753655507 + 3.258818832322015241631974614486543069271600025235694906431543701634805751500164436449488120345163029e-79j)]
[ (1746401.653040415524473054069853149679962716433084828181954766875640450270674445795304293257784674159 - 2.210199587438009327577296340736056270208528679896264437824122213568061854620410534461843540530257832e-83j)  (-12358194.25307071190328235687742908642406480561228725091798214674987898424737123510198668791566453158 - 1.131150360902962484621145199527730457406636480191315835431950122394340466771801881497063179352549948e-78j)  (-3895567.269673766976840542251378326272538950785770728908695895582235519711646956809537646163307756438 - 1.897966010362283576334644963332595540164063169510993246784708476480756306593184334939524671849347067e-78j)]
[ (429760.6879795404053346400622036638061798259125654457118381112460924522917591608438153762693296117289 - 8.225584329238792378309259298711802290532503979891323165132421996486693975127265114308535072930195714e-83j)   (-3895567.26967376697684054225137832627253895078577072890869589558223551971164695680954019528281519905 - 6.140107633485898689714396569385487148068227440884667847437852111314830014106229090936990619429153933e-79j)   (-2041207.996948337091444426221170926010516229297203995890196764766162305274926687396081346267329355469 - 1.03150181046116211004086134606553955994270925015964334331901892846528059955757617257467543281851927e-78j)]
