[(-20919695.32898853438664167363129397774284830316473817834946799852334781757389019627451171646098064566 - 3.503080126856618364646502622012325147492806266782982635724655847286560227708256744818757977186433306e-82j)  (-478877402.6253532661101295836784669885777616129510909043661955248976209811259469050334866233710611726 - 9.203995586985688214995279563842160231671625191273354767959788150960741236673653947839829952686463889e-79j)   (-311833391.2917738393887140631158535581069254239560470564112967199306900434189569317361443163598225784 - 1.62196618852749028357705837411675779143019585080741078821989564404991616526698626578937157084735522e-78j)]
[ (1447623.577331240637603203902945966912984187454822750892525633232445996965359918248197086001502718408 - 7.290605831494746341521573017371676212432130143463372388974701782250378640346515379273092998019774649e-83j)  (-53676448.88231364702237134859666222871325098538215839384527397411741546195217890864803782281778939804 - 4.639683723570767759052924458397012227740860306246714179436332728801964967590716850132457718777583964e-79j)  (-17678819.06684765505890831297899439897934112932529363182886332356041710267460875242774266137531500854 - 7.848732187589384727814724770028655683790478321426929487367398662588208941910303804318588802796215242e-79j)]
[ (-3527717.077668483880909130572592848116865584014429112431799841042079436321397534555224879280327892016 + 6.95997459026099328982934884073290791428812766348093131134920891931877790519483087023860002690007474e-83j)  (-59355628.02838548675562456630574017270978661522000685138408771475748680536712324603903226433582317966 + 4.923434838895226041189056095565565478584392357475301962241741624752273412503165093826900839502346996e-79j)  (-65777396.11247031666684761069752071454938537089811226066255895333529932479179360114501138430314679976 + 8.173478629859509603186935327705254606537609911795376963926606021640191878490750339149946826697755996e-79j)]
