[(-2575164326557.522993978681502253554049939914948667250092604675000881013095983999464327355378577069089 - 5.385067044563481148297363365260736685156789880727912501172668971653643911095136864268307525851940271e-74j)  (-60121115113633.9762028331165933276964526710602652296416004630748568900926608541250873974568783517047 + 5.325598718309306969764009651795755170594082344449739565738751095882498439437063104874035975814398036e-70j)   (-37129434995050.50017468178551576819091606528788627543922595718226731571948126507375732078272794278433 + 4.28270389424459318908118945024128247624004352717416862043942580274575486704298824532914934305667933e-70j)]
[ (817538266215.7612722705940698492064242036602854380170569116305015694865964706498549161002447490554752 - 1.535897767571186031163731243958494714488981127667407329201476579772275835710089622069300370023153558e-74j)  (-26637049464140.9947844525645856990699958716217356852292857264125881567634469434204542655227963312769 + 1.531664646837897543221790565019507258309934345015730908451701431237042533299070933902438903788068976e-70j)  (-6421583679352.413929945343518965170927050805171545256991345038720782312294529617250023476202641879981 + 1.232670436494213910416050669161409972231945278979699989556150817320948834644503455380909397826494317e-70j)]
[ (-1426137191890.306098855049095825566504624974847858614349144229485522654109865409393895155363915663481 - 1.33889261410502993932274018635831920852862871236864442527069504230402042982530475413611692232971151e-74j)   (-9909830400642.39143564432629191183029695631106632121148022456692097145371349979942738035283916785323 + 1.34219743188530626574278381156160874333118869430162195084103707456381454123340229564490532344753866e-70j)  (-27699821733684.60775448373227346896484023331415743341781592381302104551300725826923848848625939560456 + 1.080727400915669392504767225299061171569185137828912089005108263475777258796031344337423925632160151e-70j)]
