[  (34378864882101.87994917130653998861244939455694144797556129876028556080405391558729033391837447108515 - 8.65128783229862650482208645626938973536894018935249639067724241179110199195987224223313601803271502e-72j)  (793735886654226.9975415382850526603052654267547455620797657477829313855418568047115123104711888936282 + 6.033843179327778385475766589685750988217556855103413355210199761132631950769442768206445443936103195e-68j)  (488928989325270.2236561908809789733784886544995047440256176061384931903600860917878977007558404191063 + 3.920990915145505743860272533763660081923610293207591354955667794203762266859264553655046982063628332e-68j)]
[(-44886142524811.59278818859968445964812818049470095662360261536030411938842581966594271022746310801564 - 5.140406976234044251617292843561604694919155892881746351432618477838198530973352930953143178977649675e-72j)   (845323778136984.023656171213008808978550905513492100337290442809026281941803631807368942322095547371 + 3.484296052828135165798809172526424287604449934750156182864624459197699947604800937042485893422173847e-68j)  (488501993410729.9384753348483498426656817167143886360643884868889266863249694840047788039988202213878 + 2.283406925232003983007866378176908068444422433517765954976024259232661152551142834344529765886458249e-68j)]
[  (24841285038659.59297674453383675209010322117910818306662016527520617671238204159839058590373307431404 - 2.44563298249997563622478189380619341512182544055720636815709462881070345679137710254384503956723664e-72j)  (134373092563681.7496422104824618296098920057301929612572043152844389472591430564565649405413162724283 + 1.727296848735947609419637421738467598318844196683802644114005254445901785042919801434925551510442392e-68j)  (200084390767783.4635910158137697886241303637732842632579175047313768530023605287028702498278856801571 + 1.118353341454682416075741144664221062083816582473082220821854689295860145495210825932671808485666769e-68j)]
