[(-6911.451910265957691720288841302455753263022251246106972788900911535917388332227722856954622802390514 + 4.490250235210665150715674826825888948873136295902897988206909354036394696484746809446881975446057308e-86j)  (-266399.9776375387747754594915173634811580798847677184295636235584765490349078567135748354647801454225 - 1.668966884558151457493662817893025699211397333856001404176316813091665572297859759783418541146574926e-79j)  (-165014.5846427380856170836052168171809146632948434502595608143071542838380842087891670364711788114999 - 1.149986700402894743039691425685199203355601513860784326846086432735643773242774855440674914902442398e-79j)]
[ (524.0892604193020727841515460176542052421435258785450360899555439226533720598806453327069192305972119 + 7.911813525337340649809729341073698024658255517368966223626301756507826377685808745567213502148575821e-84j)   (25.96559105330982590644277748469225778017716048376556776952042744718219544474982750687630506727927269 - 3.892986619029513023520108123628257212496713451511464920775639942315511766145026283639172072711453667e-79j)   (1645.834892131378667309948653695048920985650251934773289997232876626108592922769365165277512402966395 - 2.775991033296840967559406784329585039201190404597361118168980921000847225765792206187212801554815612e-79j)]
[ (73.02598033442451426149255288601126888215491656304036761203567694334745371551550764385007933783286271 + 7.590906751719802786112048853446048957796396043255731593775732761277424988307574773724809522991587347e-85j)  (-609.9566032696265539131787514353842655042270871183909539255866697627007335168252369150463346170051695 - 3.626863448362730009107165207453191901229060002778723275212100464452334927351041857370161235338305439e-80j)  (-2337.474661532788471894234804999930313529274302664502754493111570048443429983255225476884852353205466 - 2.585413286074929674883013135843151331519717802615502940097161388283209198386285039917427446051140595e-80j)]
