[(-6528347.459528523764210803526702747929066237492857884932297717583103309071935609307236011518868018818 - 2.039816752993791586588937931181151372981058200678625266109467823453411920984992879369286141934544348e-77j)  (-159304134.8912276764891889538892315914458469394553258402061317242174799275402163998469971623144034674 - 4.387663056292002959494347220632528234042641505038667097187255661246404799404510514614483037883929584e-74j)  (-98604263.57802456775091259724953655893012942587510913512932574230802594341276220189460919539470215946 - 2.845187910265120600980048302006963745553970667969105137458648568764468540807075532756082941203217393e-74j)]
[ (-528.7793384991592968679313173864862752065810074021316015986035342134032625568703484642524229988299603 + 3.41492177883172204952221411557547781414964588511373950080928466938116280367101266767893083559976763e-80j)   (328893.2697040239811748285046863959311876947125654633171550041530060395837081184411486421200429145968 + 9.263519444772035328491844235359733501578010617162828375941324309319849177590605573601174536863558487e-77j)   (252450.3661240823330957650435974505647598354335002954198605702983207251097737487571371928967351353608 + 6.795591544958872428678554725903366498095399095353615568784620807556179156509242970119051405130064904e-77j)]
[ (13.99901088309561570958249425026834922274777483878273714729624512916568138509122937315908414489343158 - 1.254947312020231082597654307394036160636215668901919373413759933676508959464672775551064258334064765e-80j)  (-120215.0111813932214207206137813319824971254169203907284451024260118604455998715719564890445616316611 - 2.579426928363929699824816658579896889985558002333983191120372898007159192078415250369020050002293088e-77j)  (-114856.3701177152014164040178563990629183975514222991753868940435923787690302003162524104228746841712 - 1.623128629648411271239173399228778887748226207182502855844048858850925497775805999607974267504601418e-77j)]
