[(681205585118.9840944683887836702741751107299765006642159820737830525408847492430999696554108329395516 + 1.889352378166508856865460764539422321594713115369286409413439858782230954562244155603774533154195749e-72j)  (14317453317569.84417814127174693812214309917177596712788749718712399103477500594272720345435475120345 + 4.054104144066752118247235048239362037532206114884473394163472632509795274217040180237616084232059801e-69j)    (8691366283521.1320716254936064311845187412429768449813524606095288471940922695466024007811738659068 + 2.624824384055851183172683767766120482401302184821997508758676007372728622134765614186554171421490548e-69j)]
[ (281011361889.9712296548664836557079938506129091849320156153306894532062108858239535428655421641729502 + 2.24195682394708222044539096861693229056189001001288507915357467911128417279153765692287161646296341e-72j)  (20024060951793.49189213375610591229171184339883968687308064629754481915170950421436927904172380050039 + 4.880890769148400946172224876595589932118330360474383344392579236349524810700348242322536962961164974e-69j)  (13118503365223.23305906457171331980483320524155186224909853359237447946017816854078736681815893072648 + 3.189005779895289964990533823810854659298630325227262932328484970247211593031199087124859783512830381e-69j)]
[ (146374687185.1276852732803072030503151951672850805295423424749170743691326821111876528379882373482812 + 2.12447466093176976875965867667144391608901114870059693942583707855313914335236654573965325408563735e-72j)  (19584629768928.03405956794510325691979536369576654578034354576409942996957342607506500608404941225294 + 4.638029206253333255647464379585908032154818014519659470304271590031316176648613393624562805460668131e-69j)  (15303594955876.02103190747830260620691128517466012343969641102111261816652890068926887060415281863874 + 3.035493995457894101869002086192063100409800572489032928432050399788940412069121053325246836052238135e-69j)]
