9 poles, Ry

Npts    status    k                                                                                                                                                                                                                   E (Ry)
34      REP       -0.2768441149338052719478673501560285396778001825978083936891825459272044692442036011100582968141521427-0.001179337350471086478635841230888454526775499653934665139914432483810694765275936082962244990009302808j   0.07664127313689576703160617503288259614597477009620083160764448969669047704169729699982737565924287529+0.0006529852099990937081404993007760426678481908555770434425814728884569063168645598644034352698375708703j
36      REP       -0.2768441149337817893208031103853720411159055043416734261036841111764768227605273705730217777369564153-0.001179337350465698259879003280920939285585878966369514212731710831210898216197415181596033071698816596j   0.0766412731368827776864496002883565887900877844420532691998499040157688208834442871496029656251702444+0.0006529852099960549269565184099533854795300049850492569042565918344054306492760066276481186009673724893j
38      REP       -0.2768441149338956005506335741722131610766528880395190517527081402097613964423883748366348880176873082-0.001179337350482136265497837041754282928476726495212208731140875745444792912648392240901724534316547719j   0.07664127313694575485292550600203419968984580161442366282299084402102446057537190667080109004942267328+0.0006529852100054249008586502842809480279583717960381495394462645958732474235822491898763440854002084867j
40      REP       -0.2768441149338009541792925341911565723798349548351805613736294930738569716310553960728688549643897356-0.001179337350469026032451739925447817464650719789663395162108383898776954125891253245718853358243299157j   0.07664127313689338119388929429273583973543187179779614517819433877630431295727728588290236821306058224+0.0006529852099979426791285848524103452640868590141518441154513642284990326181058508319573608389073537632j

16      PRE       0.2768451703825398659161811909652471078383076275477403047302770791839327008661006360491453331419661593-0.001179285471016271385765297780884569176553928672282513598271205032452693494561012957852683986573725577j    0.07664185764991537849996287177378651722611562716672649293006052791367081377223375330710465760664059703-0.0006529589743063068610355889605746623132636139257384324730149668290792465526647983493410705437892401096j
18      PRE       0.2768440661703261607602783562165105502232192153792925880000015526993261224771446629153231199268250461-0.00117936406048117761232030435577242779971879039513882845227892324993377011093184983832397212582635481j     0.07664124607413277516033609800066098340146433397483568566666415843500942835843327541806026703320490047-0.0006529998839975113584466729129549893188054622826798639531613110347703367478106248914048407980115331208j
20      PRE       0.2768441234495504065728748858285351922526852158729955928917939124829230949693374969650991850570924281-0.001179337678550950336679545743114784675226032525892073324689550612644504581337196154533735541337927197j    0.076641277851189855361351725268001971844590828095200678655500797693829756062809171668756814614559331-0.0006529854117389309793077874535685754869093342421293703071160772982966215868754125706632473407457138694j
22      NEW       0.2768441147963344471491211884488261178173698359184276644642523103603928731542712400059589105031614527-0.001179337361316384283075095013729098897649287673793054688679691495360811376251450063589341766648427332j    0.0766412730607542088795730868877298811450344493856788820806697456417512155019329853449241805921683203-0.0006529852156797584923152722670906986904036262413488841182459070677703931873468660984913900449003385519j
24      REP       0.2768441149379263698791207125361266388856059508606538939602724553875111225118363192800488779436325772-0.00117933734500485501037845511876807767853222630980205893833811896101101313194854727121268169201545192j     0.07664127313919046351213369746386943710071713682938590638861020154443199499118619801382781180459557514-0.0006529852069822260118199360927219338176848797959838354216603177249390933895936966956491875895341791076j
26      REP       0.2768441149334837663859976192398545547245692621457745248341658083793500338967505467799253974512594716-0.001179337350473623030270365803722026163426368380127641579668387553051808638183946619073515650779363053j    0.0766412731367177472032618675505657672894900995919876927201477673263858890516919087253235535888693694-0.0006529852099997398398899910418237835024209524393176124336365717346944135730625493532957361810971662512j
28      REP       0.2768441149336551636482032264126446681058098735207369712966043723840547343880490680146422079289679731-0.001179337350478204369145430339351306796497018327485859409377928845239926377172199532519629837389779391j    0.07664127313681263704408846295667246040340755121837492901180587099597849212243017229162609469009013938-0.000652985210002680743688323806554265566701623264042706567553477638299932753222870632718001972805971608j
30      REP       0.276844114933729873708460898034913204171950729782441680460808220256643433179688740062134428455726563-0.001179337350482789909371072697085519387582529511420429216327610784018843003095986536723604162584658132j     0.07664127313685399230930809836767904544199305760957208323298444634921964454811465880861543678296411326-0.0006529852100053959200678824544522334697038386224904488234374763774240295917801006033916144164513927671j
32      REP       0.2768441149337839246548889755399092277572366981775927486036149383838399305038262915768830733349532106-0.001179337350477593282295042923924555762341166875751794817349138420047531479514556048419862569209148382j    0.07664127313688393193931133897629168652767909008893926311869787280794676271958515634338389565014271327-0.0006529852100026460974207768067071797867806987367336557705786465274598531101862926331579046002406891166j
34      REP       0.2768441149338052719478673501560285396778001825978083936891825459272044692442036011100582968378232729-0.001179337350471086478635841230888454526775499653934665139914432483810694765275936082962245126169176084j    0.07664127313689576703160617503288259614597477009620083160764448969669047704169729699982737567202814458-0.0006529852099990937081404993007760426678481908555770434425814728884569063168645598644034353452835225791j
36      REP       0.2768441149337817893208031103853720411159055043416734261036841111764768227605273705730217775128878358-0.001179337350465698259879003280920939285585878966369514212731710831210898216197415181596033308371584051j    0.07664127313688277768644960028835658879008778444205326919984990401576882088344428714960296550054787521-0.0006529852099960549269565184099533854795300049850492569042565918344054306492760066276481187314817932696j
38      REP       0.2768441149338956005506335741722131610766528880395190517527081402097613964423883748366348880185559301-0.001179337350482136265497837041754282928476726495212208731140875745444792912648392240901724521895731274j    0.07664127313694575485292550600203419968984580161442366282299084402102446057537190667080109004993291566-0.0006529852100054249008586502842809480279583717960381495394462645958732474235822491898763440785249974123j
40      REP       0.2768441149338009541792925341911565723798349548351805613736294930738569716310553960728688549670572191-0.001179337350469026032451739925447817464650719789663395162108383898776954125891253245718853345793146706j    0.07664127313689338119388929429273583973543187179779614517819433877630431295727728588290236821456690231-0.0006529852099979426791285848524103452640868590141518441154513642284990326181058508319573608320201426166j

24      PRE       -0.5924620262430974989024828968624272532824293212984420061831479460206085168019961763207640413377665862-0.2055193408378632867869495607883255420090128668023522023327844210089299802774751849459817969097268021j     0.308773053081646929366307904945124884105532875656501749004084421121859306988402437101874160337913694+0.2435248102098925162691732918180736223456546711672234727991093766216099547018791600591698444216489816j
26      PRE       -0.5924148879718892056144877947168544320164054770518873417952835061874488402908690559981562424665478367-0.2055175498760214697524008807802021993976377909452268854522268378905978068939996918853586688039805342j     0.3087179361837030653486259856961558258623611541548365967438760974470905941715463721355441270861468383+0.2435033125721208226035697331312479391732855066065300497858507229893325100369439973580936201972670694j
28      PRE       -0.5924140145025374070737154624456316147642296338473552744568319838876907973381666998919993002821747481-0.2055187124903067719449943287306560584797664365312163888404440264216106508994835827200211890767092092j     0.3087164233953392245215007183197602331804471967196182536559534679747371431168069378285003941687405791+0.2435043310435508234786477244615900939488028430943625529035599825002909904529498877315711687224130732j
30      NEW       -0.592414364569167984811269765713709751190730029491034253284378122049570523948384942085336119694679633-0.2055173096192043881209206959049131851048792762825844914090313477722738152249065488689891066109461634j      0.3087174147947751552675918211917805969994758715741288912516342835655792505030258446316747557131718472+0.2435028127720518454689214761091368421854730775115689247181448928851858243062712396818379399016114917j
32      REP       -0.5924144610741804994940862340795892865172668678524668539020345183416135233545438509116020837886797565-0.2055165481397557903642372870233895904638281553604667841864555197992609532371097880547125366084504861j     0.3087178421305311630376313839005544770712238367546768221745353863466966594372362854127512004116154507+0.2435019502160785988311322592936614238162698865836575279945531682245444780265179949389580293759362166j
34      REP       -0.5924142036023528860680823489348358744305772860657654259280908702175966003185883859227000510592729754-0.2055169156462935775448729285213755038208418861325572580185783625276760526087581887017452427912511948j     0.308717386013044269312008111270537694241310106378728262195209841762937525437415308488159665242495024+0.2435022798188218938412403173734556607258456394362624006740082703300713535837610879612451043055300995j
