[(-316222.4794202732145061322627167524446105353122072012046133184181071658938216633630316539478773102097 - 2.962198242231387083484617566646182048363646533380367572335859954370656623509812899616888733206894426e-83j)   (1809121.754811009605500061427401718396910764261555503276223349124466128613233629585920437244277258729 - 1.021139612264386930371459860973578020861599506497527495336468206036053655026907731955261128031512588e-79j)   (460496.5163547008528662741105694511394652402973250338552719584038527527224514639467953556195386880187 - 3.439686941191299702357903449034333374489422917486668766778888434797635809551455012670595432408791467e-80j)]
[ (1809121.754811009605500061427401718396910764261555503276223349124466128613233629585920445626337203296 + 1.747877194556264255427014782241296817622718055565639644251370279014596508304739946821726001607707705e-82j)  (-12005371.24576641094602314065820776131948481585023483585042843507330817910933797886100160553284437885 + 5.946455769317967116699170166352281217167603634855217761677576441767095063229340718440461578755302235e-79j)  (-3540263.366149053301400535180092399552055064213705418091608347483860379561333161827324246501119518459 + 2.003073798019334696761925644617858764256166296274540155280679615664517597877523800613360047686133878e-79j)]
[ (460496.5163547008528662741105694511394652402973250338552719584038527527224514639467953582280936734833 + 2.316992878089002831978826723219942480022222555528369602554298447986420684701672563629712880776091846e-83j)   (-3540263.36614905330140053518009239955205506421370541809160834748386037956133316182732423322947361465 + 3.220207538483200802826941688047065186040589055731368349930186008676642743932180232736263067312389213e-79j)   (-1718210.21751648413830620365274233207500919822815620705324870365022886596982068025048051459331417155 + 1.080781862327181723155108174908932128268991886780394564646195590465253278798269764259093555370123334e-79j)]
