[(-162050603100675759685311.9545493400562857852165738549971594313618065642594295150961284527341343325375 - 8.384940628729810250698091774799242044647726707192875265062036336145087323311799071611279769255483572e-56j)  (-3794400824248043509740564.528494535769726841731475400816548027844823724463768708982424988751466884585 + 7.616699120930557463027402938474896736796980961058889351997847272563557178197693707370215468973757027e-50j)  (-2333667110372054462772201.847307185305800746989345447817399063624923764808294307757981856577453042366 + 4.684243554371717727945773389976472208533163589115965824306482126450787513855796077786766698957855121e-50j)]
[ (-1493759217032201860157.579445230595798816326152024372379378242838198283799925075937801267446081063105 - 7.69044066985980173849080712872446454025379637297009713060418642383279733756781646496577097956258688e-58j)  (-34863246844099043795207.99913186157617916758389008551939184789465258156585267224610514103968022535945 + 6.998724892651210186950226834693479439141816879374479125477317775884008877632778299524416081160761171e-52j)  (-21434092057124379980817.38814843020884652016510512273368309879480474847154740884008464560689001923199 + 4.304191290558229065761857508129836917428524096564180105371205845835521764561958481502677566443777992e-52j)]
[ (-413281484205408687945.606631455853049792958205849540661576081851417415875439627700908042299786895631 - 2.131231917949474952831098788154420777441936223302866252902459971537346047320002575065654338864455478e-58j)  (-9631650539413132840159.376308729619877867490266727828926297857905031467017335415713788030104558310011 + 1.936104849608895479644244462921851651802272886097433041941323498869034203669438348625627934535833442e-52j)  (-5944295690314370229425.121661795678822931484373108201019375540746456339051599480537826829836480225283 + 1.190697705828120466121563329527762477216863763621346282364256927705766475418767988565748044196768627e-52j)]
