[(96696531443191.91663096944819018517635871121600930973635832011788554326972035759309233128084090014121 + 3.889808742362566324983145398310271107379695487537283910027736662274710844008021133666980207321837845e-66j)  (2268029118184392.728218981033279042779665709873919641338921797385970549606207558765889392440148850517 + 1.137151328361423240656107019034202036237004579895314330423704737652001474863751860812854563590622638e-61j)   (1396241611082720.42285400913436285767644681175621369941089670205835928321967968939904970805282023744 + 6.998592656950856940426302613588902028096350372057793689655762089982295289061633180013227657921641811e-62j)]
[ (153884959477151.7173020892089456550584052435141107723287131995760943522545948119234669487142743609876 + 6.22543735950481979962840610538269927179344350955818767182125543719059170975270279485192254353289437e-66j)   (3639921475809017.460495535261591327138366497805875011546169385524480908672485845915432236512035826856 + 1.82030076015895556142978533549226141277396539450817144820110159496205015795885937056270464883186712e-61j)  (2235322662843886.339009805156416839054724439518633282235618181613181940817905982482748342603733817931 + 1.120295711366415978971609929404938656356072512903018503160998323953706428414624381467850297848468699e-61j)]
[ (91199790490510.3256629492163780613557386905919619995848653995488613541384388449166511462893131120647 + 3.665820656626309669744038880813138354448462139041031014002719514804580681145043811821575346773412228e-66j)  (2139729861379252.151869246211630747103876499111329397229573191588374267121142731548900468849059276119 + 1.071745661121768460240362422947005834101138229498855701930989315651060110259071988657233171526163624e-61j)  (1314619541309383.486346710636594905443134704561650827709524960231446458610055374212091281860577419056 + 6.596034081105795041485972151042405179866739165808978052124316711255671614903948486184319224031691315e-62j)]
