[(8432071922.476919360140054048078793446359355563811990188646703919712936870188824859702123867841690567 + 1.603802398726852282419281023699873433801573486733687383456415809950950944125345872098961343129391704e-71j)  (198191705496.0251600005230813090043597345997984912191708104864927367164116165007735607255576717188995 - 1.982457980752019576060617067828243274079192125819485707195246330048538637094353150578716211263016994e-66j)   (121940679405.6807695841543733239612647893929492356030140885348294943657486629612631392452812173634853 - 1.21440500065176485527934628823722363696985854915366370356726992788293169225102822891447841679810276e-66j)]
[ (198191705496.0251600005230813090043597345997984912191708104864927367164116165009784560246716424744587 + 3.77586144988124247645399770060248949865883582374300811301945861876604866516575272212082303351551234e-70j)  (4658255108366.191695118206335551291427242720506267071490075368845813378712440113054859406220835835928 - 4.657408190928711361942861140686152023066236185177536166766384663893887231929932910252759772391354424e-65j)  (2865913279810.366542100785821858154530757864724590086786974180048328631755737564251644758978275468601 - 2.852880555575714586094745350758366102785785673809349336195469481001242508964036530302350440480625378e-65j)]
[ (121940679405.6807695841543733239612647893929492356030140885348294943657486629613898809037404193723943 + 2.32289046700816971546623423325932075180897476579301527599197326177168708461707451502095708525121063e-70j)  (2865913279810.366542100785821858154530757864724590086786974180048328631755737564266227480912060074787 - 2.865459113603521506627663251332632971099168913912264018989962916907742546050689615370319082555974132e-65j)  (1763177763599.519040930249772409521552325444559246422295238050696029502623045706893055124698665822784 - 1.755231073253618348191619474985027779446558270768057416272376978655030255152523987697881352658073488e-65j)]
