[(-2148538097835246592.324354357583055253447866197807649033150106930588065150632850840105078482548276596 - 1.869344693563692371494022289371044604577240601921528516347539893587830672371388112213166357282862392e-63j)  (-48318130767315299421.66918897508893987639742243270936875005358834740015674398306243802870681184774551 + 2.763154082626334896058885198233706338372642850187719450695587859460324384743529374572812140605119669e-58j)  (-29894530132326166860.1370142955335870670000589352531445150826411263264458876425061503194949575690262 + 1.694852696897798258240183636063288872782290427437229085076731569287038288872869649298067510715265533e-58j)]
[ (809704048753529976.4206419628399244242602301904156221417614436165763906766038039249874190558984061161 + 4.288514130575715024135595296784128779172818685524938489766410523407306277831495505231001536659137908e-64j)   (6035396703966073533.242706263247389752276801559155976668084248604523288829229398055268187298227906343 - 1.466031498616973321087269404477315326186832853650881364299005878082114735423358247738650780249759831e-58j)  (3589686918080956504.887299582062915280654552972584875751144884490239614941879469797877224130115545383 - 9.108087656343057042537126660334958186434563798137889198208862511405331294000338221425400869778341134e-59j)]
[ (615279598187672111.6805184094416124637993867220958340948822290892352760253809249889501849023131427843 + 2.088884790874211161817080832630192036152277955185212096144624766010585313721791258556241730535682339e-63j)    (20381584241779075789.85521326119110154957401357930388175942181796595257724770101386901586691657615233 - 2.07827910172448944372319581153439332838302945506634804815260662267439340183928143493738426674049959e-58j)  (13107942158938231785.22600368334294972630021471785203943861761788693955419509253769774484105951542516 - 1.267244617089352543608348280928926613833814663597920749926760166744225010185671220627407147188877477e-58j)]
