[(-23092407896472.15498189595587719655878457170098386962991211856702772778910562536573145606581235674866 - 4.469031851316675801361751679418973941810831745663794662998822495398185333824821547791916740563241621e-68j)    (-542465985321136.1736913721422871209259087767550079900396585161889448076145789059004902989169215172127 + 5.5115544757268893620820083745112579892748954390491641347362519650474444365600876006646726451935747e-63j)  (-333709717671202.2066522210970705840685797667383878216933001523058928455131901162708988105621901993904 + 3.376146337196117528209758601616972301522539872146962339031292157168652460920823096465934767921349306e-63j)]
[ (1367960157212.993303697353302697425808787158089482164321365515982256869167319856232396585776614519935 + 1.927171263288586863184770629072372093685166858407489213020611778782767717891081618163135141722335459e-69j)    (24154157762693.4731254083124872284499229602396108961148043806090151655074208781472292117813593045916 - 2.942793844012609540460731473228548989298583526909930381539610515264713107105157138093034821950570899e-64j)   (15291693728152.21045266769736941406234857217535945318288471265905674015206770594476626884131980566803 - 1.810616227395673493022021159123788713081039070535245400000608445533695848417995267828318174802705131e-64j)]
[ (-26465212876.16731654767056032052324725771060109493439627578075481880443815215765449107915772792325304 - 2.56792581698426347274798408662550963655398204405388457683997413597739004643855935465330616679271343e-69j)  (-21772190483216.65937840599959955488896062356009583950436503872594791993005300513741653474374517474839 + 1.517636436635205329495851306211282444349227431098124269518113924804616902415918775659244577962495539e-64j)  (-14172931790588.29545560590707749656199702457738305907414048502014731143847863811299182470696031844331 + 9.087313213363636560047367439852372331897721676496346493624563303060557662219697488567581168179396732e-65j)]
